account_value,date
10000.0,2021-07-19
9814.395750575,2021-07-20
9840.845750575001,2021-07-22
9998.395750575,2021-07-23
9869.595750575001,2021-07-26
10022.546210575001,2021-07-27
9920.195980575001,2021-07-28
10289.345750575001,2021-07-29
10065.095750575001,2021-07-30
10136.395750575,2021-08-02
10403.195980575001,2021-08-03
10643.546210575001,2021-08-04
10617.271585000002,2021-08-05
10449.264749425001,2021-08-06
10397.514749425001,2021-08-09
10237.665209425002,2021-08-10
10274.998604400002,2021-08-11
10253.398604400003,2021-08-12
10350.599084400003,2021-08-13
10198.199084400001,2021-08-16
10117.798844400002,2021-08-17
10074.599084400003,2021-08-18
9762.599084400003,2021-08-20
9829.798844400002,2021-08-23
10024.199084400001,2021-08-24
9991.798844400002,2021-08-25
9859.798844400002,2021-08-26
9900.599084400003,2021-08-27
10146.599084400003,2021-08-30
10174.117844100001,2021-08-31
10161.336344400002,2021-09-01
10161.336344400002,2021-09-02
10161.336344400002,2021-09-03
10161.336344400002,2021-09-06
10161.336344400002,2021-09-07
10161.336344400002,2021-09-08
10161.336344400002,2021-09-09
10161.336344400002,2021-09-13
10161.336344400002,2021-09-14
10161.336344400002,2021-09-15
10161.336344400002,2021-09-16
10161.336344400002,2021-09-17
9770.060843850002,2021-09-20
9799.760403850003,2021-09-21
9800.860843850003,2021-09-22
10041.760403850003,2021-09-23
10017.021404400004,2021-09-24
10121.480374400006,2021-09-27
10096.917373850007,2021-09-28
10096.917373850007,2021-09-29
10096.917373850007,2021-09-30
10096.917373850007,2021-10-01
10096.917373850007,2021-10-04
10096.917373850007,2021-10-05
10096.917373850007,2021-10-06
10096.917373850007,2021-10-07
10096.917373850007,2021-10-08
10096.917373850007,2021-10-11
10096.917373850007,2021-10-12
10096.917373850007,2021-10-13
10096.917373850007,2021-10-14
10096.917373850007,2021-10-18
10096.917373850007,2021-10-19
10306.506973350006,2021-10-20
10281.511973850007,2021-10-21
10256.364473350008,2021-10-22
10327.364273350007,2021-10-25
10448.364073350007,2021-10-26
10580.364673350008,2021-10-27
10224.364473350008,2021-10-28
10240.364073350007,2021-10-29
10511.364473350008,2021-11-01
10485.579472850008,2021-11-02
10485.579472850008,2021-11-03
10485.579472850008,2021-11-04
10485.579472850008,2021-11-08
10485.579472850008,2021-11-09
10485.579472850008,2021-11-10
10485.579472850008,2021-11-11
10495.099472350008,2021-11-12
10437.837167075008,2021-11-15
10194.90744235001,2021-11-16
10255.907042350009,2021-11-17
10368.907042350009,2021-11-18
10020.907042350009,2021-11-22
10153.907042350009,2021-11-23
10155.907042350009,2021-11-24
10103.907042350009,2021-11-25
9702.907242350007,2021-11-26
9594.90744235001,2021-11-29
9503.907042350009,2021-11-30
9798.907042350009,2021-12-01
9832.907242350007,2021-12-02
9755.907042350009,2021-12-03
9598.907042350009,2021-12-06
9826.90744235001,2021-12-07
9803.07244185001,2021-12-08
9803.07244185001,2021-12-09
9803.07244185001,2021-12-10
9803.07244185001,2021-12-13
9803.07244185001,2021-12-14
9803.07244185001,2021-12-15
9803.07244185001,2021-12-16
9803.07244185001,2021-12-17
9407.682842350012,2021-12-20
9343.682642350012,2021-12-21
9540.682842350012,2021-12-22
9659.682442350011,2021-12-23
9562.682842350012,2021-12-24
9584.682442350011,2021-12-27
9647.682842350012,2021-12-28
9579.446682050013,2021-12-29
9507.979102375013,2021-12-30
9691.729102375013,2021-12-31
9667.555476850013,2022-01-03
9667.555476850013,2022-01-04
9667.555476850013,2022-01-05
9667.555476850013,2022-01-06
9667.555476850013,2022-01-07
9667.555476850013,2022-01-10
9667.555476850013,2022-01-11
9673.625706800014,2022-01-12
9673.015886800014,2022-01-13
9619.015886800014,2022-01-14
9720.715706800014,2022-01-17
9591.115526800013,2022-01-18
9753.115526800013,2022-01-19
9673.915526800014,2022-01-20
9517.315886800016,2022-01-21
9363.415526800014,2022-01-24
9732.416066800015,2022-01-25
9709.256815900015,2022-01-27
9709.256815900015,2022-01-28
9709.256815900015,2022-01-31
9709.256815900015,2022-02-01
9820.303316350015,2022-02-02
9822.404156400016,2022-02-03
9643.303836500016,2022-02-04
9696.404016500017,2022-02-07
9662.203656500016,2022-02-08
9732.404016500017,2022-02-09
9827.803836500016,2022-02-10
9803.479086950016,2022-02-11
9272.047267850017,2022-02-14
9693.247267850016,2022-02-15
9561.023587900017,2022-02-16
9490.940087850018,2022-02-17
9533.239727850016,2022-02-18
9471.140087850017,2022-02-21
9229.039727850017,2022-02-22
9234.440087850018,2022-02-23
8765.539727850017,2022-02-24
8950.940087850018,2022-02-25
8955.440087850018,2022-02-28
8794.339907850017,2022-03-02
8671.039727850017,2022-03-03
8572.940087850018,2022-03-04
8183.2397278500175,2022-03-07
8183.2397278500175,2022-03-08
8388.440087850018,2022-03-09
8694.440087850018,2022-03-10
8673.348587400018,2022-03-11
8673.348587400018,2022-03-14
8673.348587400018,2022-03-15
8673.348587400018,2022-03-16
8673.348587400018,2022-03-17
8673.348587400018,2022-03-21
8673.348587400018,2022-03-22
8673.348587400018,2022-03-23
8673.348587400018,2022-03-24
8673.348587400018,2022-03-25
8673.348587400018,2022-03-28
8673.348587400018,2022-03-29
8673.348587400018,2022-03-30
8673.348587400018,2022-03-31
8673.348587400018,2022-04-01
8673.348587400018,2022-04-04
8673.348587400018,2022-04-05
8673.348587400018,2022-04-06
8673.348587400018,2022-04-07
8673.348587400018,2022-04-08
8673.348587400018,2022-04-11
8673.348587400018,2022-04-12
8673.348587400018,2022-04-13
8673.348587400018,2022-04-18
8689.768427400018,2022-04-19
8669.296427800018,2022-04-20
8760.924428200018,2022-04-21
8740.27242860002,2022-04-22
8619.54675817502,2022-04-25
8802.29675817502,2022-04-26
8662.04675817502,2022-04-27
8836.29675817502,2022-04-28
8645.89658817502,2022-04-29
8555.79675817502,2022-05-02
8362.84658817502,2022-05-04
8368.79675817502,2022-05-05
8435.94692817502,2022-05-06
8299.09658817502,2022-05-09
8287.19692817502,2022-05-10
8310.14658817502,2022-05-11
8073.84658817502,2022-05-12
7767.84658817502,2022-05-13
7943.79675817502,2022-05-16
8152.896588175019,2022-05-17
7994.79675817502,2022-05-18
7816.29675817502,2022-05-19
8069.59658817502,2022-05-20
8049.94458860002,2022-05-23
8049.94458860002,2022-05-24
8049.94458860002,2022-05-25
8049.94458860002,2022-05-26
