trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-07-19,SBIN,Buy,23,427.89999,24.604249425,9841.69977,9814.395750575,0,23
2,2021-08-04,SBIN,Sell,23,456.95001,26.274625575,10509.85023,10617.271585000002,23,0
3,2021-08-05,SBIN,Buy,23,441.85001,25.406375575000002,10162.55023,10449.264749425001,0,23
4,2021-08-10,SBIN,Buy,1,426.45001,1.066125025,426.45001,10274.998604400002,23,24
5,2021-08-30,SBIN,Sell,12,422.70001,12.681000300000001,5072.40012,10174.117844100001,24,12
6,2021-08-31,SBIN,Sell,12,426.04999,12.7814997,5112.59988,10161.336344400002,12,0
7,2021-09-17,SBIN,Buy,22,454.10001,24.975500550000003,9990.20022,9770.060843850002,0,22
8,2021-09-23,SBIN,Sell,22,449.79999,24.73899945,9895.59978,10017.021404400004,22,0
9,2021-09-24,SBIN,Buy,22,440.75,24.24125,9696.5,10121.480374400006,0,22
10,2021-09-27,SBIN,Sell,22,446.60001,24.56300055,9825.20022,10096.917373850007,22,0
11,2021-10-19,SBIN,Buy,20,488.20001,24.410000500000002,9764.0002,10306.506973350006,0,20
12,2021-10-20,SBIN,Sell,20,499.89999,24.9949995,9997.9998,10281.511973850007,20,0
13,2021-10-21,SBIN,Buy,20,502.95001,25.147500500000003,10059.0002,10256.364473350008,0,20
14,2021-11-01,SBIN,Sell,20,515.70001,25.785000500000002,10314.0002,10485.579472850008,20,0
15,2021-11-11,SBIN,Buy,20,509.60001,25.480000500000003,10192.0002,10495.099472350008,0,20
16,2021-11-12,SBIN,Sell,11,511.35001,14.062125275000001,5624.85011,10437.837167075008,20,9
17,2021-11-15,SBIN,Buy,11,506.54999,13.930124725,5572.04989,10194.90744235001,9,20
18,2021-12-07,SBIN,Sell,20,476.70001,23.835000500000003,9534.0002,9803.07244185001,20,0
19,2021-12-17,SBIN,Buy,20,467.79999,23.3899995,9355.9998,9407.682842350012,0,20
20,2021-12-28,SBIN,Sell,12,461.20001,13.8360003,5534.40012,9579.446682050013,20,8
21,2021-12-29,SBIN,Buy,13,454.39999,14.767999675,5907.19987,9507.979102375013,8,21
22,2021-12-31,SBIN,Sell,21,460.45001,24.173625525000002,9669.45021,9667.555476850013,21,0
23,2022-01-11,SBIN,Buy,2,505.95001,2.52975005,1011.90002,9673.625706800014,0,2
24,2022-01-12,SBIN,Buy,16,510.25,20.41,8164.0,9673.015886800014,2,18
25,2022-01-25,SBIN,Sell,18,514.65002,23.159250900000004,9263.70036,9709.256815900015,18,0
26,2022-02-01,SBIN,Buy,18,532.29999,23.953499549999997,9581.399819999999,9820.303316350015,0,18
27,2022-02-02,SBIN,Sell,2,539.79999,2.69899995,1079.59998,9822.404156400016,18,16
28,2022-02-03,SBIN,Buy,2,540.09998,2.7004999,1080.19996,9643.303836500016,16,18
29,2022-02-10,SBIN,Sell,18,540.54999,24.324749549999996,9729.899819999999,9803.479086950016,18,0
30,2022-02-11,SBIN,Buy,18,529.59998,23.831999099999997,9532.79964,9272.047267850017,0,18
31,2022-02-15,SBIN,Sell,2,524.79999,2.62399995,1049.59998,9561.023587900017,18,16
32,2022-02-16,SBIN,Buy,2,516.70001,2.58350005,1033.40002,9490.940087850018,16,18
33,2022-03-10,SBIN,Sell,18,468.70001,21.091500450000005,8436.600180000001,8673.348587400018,18,0
34,2022-04-18,SBIN,Buy,16,509.5,20.38,8152.0,8689.768427400018,0,16
35,2022-04-19,SBIN,Sell,16,511.79999,20.4719996,8188.79984,8669.296427800018,16,0
36,2022-04-20,SBIN,Buy,16,509.29999,20.3719996,8148.79984,8760.924428200018,0,16
