account_value,date
10000.0,2021-09-02
10026.953575,2021-09-03
10000.313575000002,2021-09-06
9988.103575,2021-09-07
10137.953575,2021-09-08
10014.373575000001,2021-09-09
9965.163575,2021-09-13
10047.303575,2021-09-14
10150.903575,2021-09-15
10443.943575,2021-09-16
10106.503575,2021-09-17
9805.323575,2021-09-20
9832.333575,2021-09-21
10000.683575000001,2021-09-22
10271.523575000001,2021-09-23
10068.763575,2021-09-24
9835.293575,2021-09-27
9754.263575,2021-09-28
9659.173575,2021-09-29
9648.073575,2021-09-30
9616.253575,2021-10-01
10032.133575,2021-10-04
9917.433575000001,2021-10-05
9680.263575,2021-10-06
9976.263575,2021-10-07
9885.613575000001,2021-10-08
9914.843575,2021-10-11
9838.993575,2021-10-12
10147.943575,2021-10-13
10274.853575,2021-10-14
10361.063575000002,2021-10-18
10599.713575000002,2021-10-19
10682.963575000002,2021-10-20
11068.873575000001,2021-10-21
11274.223575000002,2021-10-22
11261.643575,2021-10-25
11328.243575,2021-10-26
11346.373575000001,2021-10-27
11052.963575000002,2021-10-28
10664.463575000002,2021-10-29
10623.763575,2021-11-01
11700.463575000002,2021-11-02
11896.193575,2021-11-03
12003.493575,2021-11-04
12355.363575000001,2021-11-08
11995.353575,2021-11-09
12107.463575000002,2021-11-10
12145.203575,2021-11-11
12042.343575,2021-11-12
11999.423575,2021-11-15
12164.813575000002,2021-11-16
12104.873575000001,2021-11-17
11886.943575,2021-11-18
11592.793575,2021-11-22
11787.413575,2021-11-23
11779.643575,2021-11-24
11661.613575000001,2021-11-25
10742.163575,2021-11-26
10420.633575,2021-11-29
10446.163575,2021-11-30
10720.333575,2021-12-01
10758.813575000002,2021-12-02
10745.493575,2021-12-03
10767.693575,2021-12-06
10866.853575,2021-12-07
11079.973575000002,2021-12-08
11092.553575,2021-12-09
11168.773575000001,2021-12-10
10956.393575,2021-12-13
10278.923575,2021-12-14
10084.673575,2021-12-15
9891.903575,2021-12-16
9461.963575000002,2021-12-17
8921.023575000001,2021-12-20
8722.333575,2021-12-21
8712.713575000002,2021-12-22
8992.803575,2021-12-23
8750.453575,2021-12-24
9054.963575000002,2021-12-27
9003.903575,2021-12-28
9002.793575000002,2021-12-29
8903.263575,2021-12-30
9042.383575000002,2021-12-31
9292.133575000002,2022-01-03
9308.413575,2022-01-04
9285.103575000001,2022-01-05
9037.203575,2022-01-06
9031.283575,2022-01-07
9086.043575000002,2022-01-10
9091.223575,2022-01-11
9251.433575000001,2022-01-12
9267.713575000002,2022-01-13
9214.803575,2022-01-14
9205.553575,2022-01-17
8945.443575000001,2022-01-18
8881.803575,2022-01-19
9071.613575000001,2022-01-20
8905.483575,2022-01-21
8580.623575,2022-01-24
8670.163575,2022-01-25
9220.723575,2022-01-27
9233.673575,2022-01-28
9126.743575,2022-01-31
9510.433575000001,2022-02-01
9536.703575,2022-02-02
9384.263575,2022-02-03
9162.263575,2022-02-04
9055.703575,2022-02-07
9214.433575000001,2022-02-08
9250.693575000001,2022-02-09
9402.023575000001,2022-02-10
9179.653575,2022-02-11
8626.873575,2022-02-14
8975.783575,2022-02-15
9069.023575000001,2022-02-16
9489.713575000002,2022-02-17
9346.523575000001,2022-02-18
9066.063575,2022-02-21
8947.663575,2022-02-22
8732.323575,2022-02-23
7944.223575000001,2022-02-24
8380.083575,2022-02-25
8355.663575,2022-02-28
8143.653575000001,2022-03-02
8216.913575,2022-03-03
8096.293575000001,2022-03-04
7594.2035750000005,2022-03-07
7744.423575000001,2022-03-08
7894.273575000001,2022-03-09
8024.883575000001,2022-03-10
8109.613575,2022-03-11
8270.563575,2022-03-14
8103.693575,2022-03-15
8246.883575000002,2022-03-16
8395.253575,2022-03-17
8075.943575,2022-03-21
8162.893575,2022-03-22
8148.463575000001,2022-03-23
8120.343575,2022-03-24
8198.783575000001,2022-03-25
8291.653575,2022-03-28
8349.743575,2022-03-29
8357.513575,2022-03-30
8434.473575,2022-03-31
8778.573575,2022-04-01
8761.183575000001,2022-04-04
8698.283575,2022-04-05
8672.753575,2022-04-06
8724.923575,2022-04-07
8969.863575000001,2022-04-08
9091.223575,2022-04-11
8775.243575,2022-04-12
8797.813575,2022-04-13
8652.033575,2022-04-18
8314.223575,2022-04-19
8282.033575,2022-04-20
8552.873575,2022-04-21
8235.783575,2022-04-22
8151.423575000001,2022-04-25
8600.233575,2022-04-26
8481.833575,2022-04-27
8485.903575,2022-04-28
8931.753575,2022-04-29
9140.433575000001,2022-05-02
8538.443575000001,2022-05-04
8632.053575,2022-05-05
8796.703575,2022-05-06
8598.383575000002,2022-05-09
8623.173575,2022-05-10
8324.583575,2022-05-11
7915.733575,2022-05-12
7892.423575000001,2022-05-13
8106.653575000001,2022-05-16
8241.333575,2022-05-17
8159.563575,2022-05-18
8017.483575,2022-05-19
8146.983575,2022-05-20
8447.793575000002,2022-05-23
8381.933575000001,2022-05-24
8303.863575000001,2022-05-25
8521.793575000002,2022-05-26
8490.713575000002,2022-05-27
8708.643575,2022-05-30
8740.463575000002,2022-05-31
8805.213575000002,2022-06-01
8864.043575000002,2022-06-02
8757.483575,2022-06-03
8811.503575,2022-06-06
8763.403575,2022-06-07
8733.433575000001,2022-06-08
8678.303575,2022-06-09
8659.803575,2022-06-10
8427.443575000001,2022-06-13
8468.513575,2022-06-14
8546.583575,2022-06-15
8492.933575000001,2022-06-16
8539.553575,2022-06-17
8464.443575000001,2022-06-20
8723.813575,2022-06-21
