account_value,date
10000.0,2021-07-19
10000.0,2021-07-20
10128.223969650002,2021-07-22
10222.024109650001,2021-07-23
10197.734109650002,2021-07-26
10197.734109650002,2021-07-27
10197.734109650002,2021-07-28
10197.734109650002,2021-07-29
10197.734109650002,2021-07-30
10197.734109650002,2021-08-02
10197.734109650002,2021-08-03
10197.734109650002,2021-08-04
10197.734109650002,2021-08-05
10197.734109650002,2021-08-06
10197.734109650002,2021-08-09
10197.734109650002,2021-08-10
10197.734109650002,2021-08-11
10197.734109650002,2021-08-12
10197.734109650002,2021-08-13
10197.734109650002,2021-08-16
10197.734109650002,2021-08-17
10197.734109650002,2021-08-18
10197.734109650002,2021-08-20
10197.734109650002,2021-08-23
10197.734109650002,2021-08-24
10197.734109650002,2021-08-25
10197.734109650002,2021-08-26
10319.266234975003,2021-08-27
10519.466494975004,2021-08-30
10529.154414750004,2021-08-31
10521.213914850005,2021-09-01
10521.213914850005,2021-09-02
10521.213914850005,2021-09-03
10521.213914850005,2021-09-06
10521.213914850005,2021-09-07
10594.342034200004,2021-09-08
10579.391774200003,2021-09-09
10631.391774200003,2021-09-13
10645.692164200005,2021-09-14
10635.942164200005,2021-09-15
10641.141774200003,2021-09-16
10496.192164200005,2021-09-17
10321.991904200004,2021-09-20
10425.991904200004,2021-09-21
10498.791644200002,2021-09-22
10495.541644200002,2021-09-23
10503.342034200004,2021-09-24
10407.141774200003,2021-09-27
10563.791644200002,2021-09-28
11034.391774200003,2021-09-29
11124.741904200004,2021-09-30
11233.291644200002,2021-10-01
11206.427144850002,2021-10-04
11206.427144850002,2021-10-05
11206.427144850002,2021-10-06
11206.427144850002,2021-10-07
11206.427144850002,2021-10-08
11206.427144850002,2021-10-11
11206.427144850002,2021-10-12
11206.427144850002,2021-10-13
11206.427144850002,2021-10-14
11206.427144850002,2021-10-18
11206.427144850002,2021-10-19
11206.427144850002,2021-10-20
11206.427144850002,2021-10-21
11206.427144850002,2021-10-22
11206.427144850002,2021-10-25
11183.898014525003,2021-10-26
11334.697754525001,2021-10-27
11107.197754525001,2021-10-28
10943.398014525003,2021-10-29
11161.797884525002,2021-11-01
11208.598274525004,2021-11-02
10851.748144525003,2021-11-03
10949.248144525003,2021-11-04
11008.398014525003,2021-11-08
11025.947754525001,2021-11-09
