trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-07-20,SUNPHARMA,Buy,14,676.45001,23.675750349999998,9470.30014,10128.223969650002,0,14
2,2021-07-23,SUNPHARMA,Sell,14,694.0,24.29,9716.0,10197.734109650002,14,0
3,2021-08-26,SUNPHARMA,Buy,13,760.54999,24.717874674999997,9887.14987,10319.266234975003,0,13
4,2021-08-30,SUNPHARMA,Sell,9,787.20001,17.712000225,7084.800090000001,10529.154414750004,13,4
5,2021-08-31,SUNPHARMA,Sell,4,794.04999,7.9404999,3176.19996,10521.213914850005,4,0
6,2021-09-07,SUNPHARMA,Buy,13,769.90002,25.021750650000005,10008.700260000001,10594.342034200004,0,13
7,2021-10-01,SUNPHARMA,Sell,13,826.59998,26.864499349999996,10745.799739999999,11206.427144850002,13,0
8,2021-10-25,SUNPHARMA,Buy,13,813.20001,26.429000325000004,10571.60013,11183.898014525003,0,13
9,2021-12-28,SUNPHARMA,Sell,13,815.09998,26.490749349999998,10596.299739999999,11178.207005175002,13,0
10,2022-01-21,SUNPHARMA,Buy,8,808.75,16.175,6470.0,11098.831845175002,0,8
11,2022-01-24,SUNPHARMA,Buy,5,800.84998,10.01062475,4004.2499,11182.421350425002,8,13
12,2022-02-02,SUNPHARMA,Sell,13,890.65002,28.946125650000003,11578.450260000001,12227.275614775004,13,0
13,2022-02-18,SUNPHARMA,Buy,14,862.90002,30.2015007,12080.60028,11930.373554075004,0,14
14,2022-03-14,SUNPHARMA,Sell,14,892.25,31.22875,12491.5,12576.745084075004,14,0
15,2022-04-20,SUNPHARMA,Buy,13,923.5,30.01375,12005.5,12814.531074075003,0,13
16,2022-04-21,SUNPHARMA,Sell,11,944.09998,25.96274945,10385.09978,12749.968344625006,13,2
17,2022-04-22,SUNPHARMA,Buy,11,924.79999,25.431999725,10172.79989,12402.136474900006,2,13
18,2022-05-25,SUNPHARMA,Sell,9,911.20001,20.502000225000003,8200.80009,12482.234604675008,13,4
19,2022-05-26,SUNPHARMA,Sell,3,899.95001,6.749625075,2699.85003,12479.43498960001,4,1
20,2022-05-27,SUNPHARMA,Buy,8,903.90002,18.0780004,7231.20016,12320.956719200007,1,9
21,2022-05-30,SUNPHARMA,Buy,4,888.29999,8.8829999,3553.19996,11951.973589300007,9,13
22,2022-07-08,SUNPHARMA,Sell,13,857.70001,27.875250325000003,11150.10013,11886.39872897501,13,0
23,2022-08-22,SUNPHARMA,Buy,13,880.54999,28.617874675,11447.14987,11959.831244300012,0,13
24,2022-09-27,SUNPHARMA,Sell,13,897.15002,29.157375650000006,11662.950260000001,12044.423868650012,13,0
25,2022-11-21,SUNPHARMA,Buy,11,1003.15,27.586624999999998,11034.65,12093.287243650013,0,11
26,2022-11-25,SUNPHARMA,Sell,11,1033.85,28.430874999999997,11372.349999999999,12326.106368650011,11,0
27,2022-12-08,SUNPHARMA,Buy,12,980.79999,29.4239997,11769.59988,12441.282248950012,0,12
28,2023-01-16,SUNPHARMA,Sell,12,1035.45,31.063500000000005,12425.400000000001,12921.418988950014,12,0
29,2023-02-01,SUNPHARMA,Buy,12,1014.9,30.447,12178.8,12803.371988950015,0,12
30,2023-04-05,SUNPHARMA,Sell,12,997.15002,29.9145006,11965.80024,12648.057728350015,12,0
31,2023-04-21,SUNPHARMA,Buy,10,989.45001,24.736250250000005,9894.500100000001,12520.321578100014,0,10
32,2023-04-24,SUNPHARMA,Buy,2,979.15002,4.8957501,1958.30004,12435.625588000014,10,12
33,2023-06-02,SUNPHARMA,Sell,12,999.59998,29.9879994,11995.19976,12730.837348600013,12,0
34,2023-06-23,SUNPHARMA,Buy,1,991.45001,2.478625025,991.45001,12731.858723575013,0,1
35,2023-06-26,SUNPHARMA,Buy,6,994.95001,14.92425015,5969.70006,12764.884403425012,1,7
36,2023-06-27,SUNPHARMA,Buy,5,1001.8,12.5225,5009.0,12992.361903425011,7,12
37,2023-06-28,SUNPHARMA,Sell,12,1021.8,30.653999999999996,12261.599999999999,12961.707903425013,12,0
38,2023-08-23,SUNPHARMA,Buy,11,1123.7,30.901750000000003,12360.7,12871.406153425012,0,11
39,2023-09-13,SUNPHARMA,Sell,11,1148.75,31.590625,12636.25,13174.765528425014,11,0
40,2023-09-26,SUNPHARMA,Buy,11,1125.85,30.960874999999998,12384.349999999999,13298.904653425017,0,11
41,2023-11-08,SUNPHARMA,Sell,11,1176.7,32.35925,12943.7,13670.795403425018,11,0
42,2024-04-12,SUNPHARMA,Buy,8,1540.0,30.8,12320.0,13640.395403425018,0,8
43,2024-04-15,SUNPHARMA,Sell,4,1540.05,15.4005,6160.2,13614.994903425018,8,4
44,2024-04-16,SUNPHARMA,Buy,4,1537.55,15.3755,6150.2,13430.41940342502,4,8
45,2024-05-30,SUNPHARMA,Sell,6,1459.1,21.886499999999998,8754.599999999999,12951.532903425019,8,2
46,2024-05-31,SUNPHARMA,Sell,2,1459.8,7.2989999999999995,2919.6,12944.233903425018,2,0
47,2024-06-07,SUNPHARMA,Buy,8,1506.85,30.137,12054.8,12964.09690342502,0,8
48,2024-06-12,SUNPHARMA,Sell,2,1506.85,7.53425,3013.7,12930.26265342502,8,6
49,2024-06-13,SUNPHARMA,Sell,6,1510.8,22.662,9064.8,12907.60065342502,6,0
50,2024-06-24,SUNPHARMA,Buy,8,1494.5,29.89,11956.0,12963.31065342502,0,8
51,2024-06-27,SUNPHARMA,Sell,8,1516.25,30.325,12130.0,13021.38565342502,8,0
52,2024-10-22,SUNPHARMA,Buy,6,1887.55,28.31325,11325.3,12703.87240342502,0,6
53,2024-11-12,SUNPHARMA,Sell,4,1800.85,18.008499999999998,7203.4,12411.163903425022,6,2
54,2024-11-13,SUNPHARMA,Buy,1,1779.0,4.4475,1779.0,12374.316403425022,2,3
55,2024-11-14,SUNPHARMA,Sell,3,1768.2,13.261500000000002,5304.6,12361.054903425022,3,0
56,2024-11-21,SUNPHARMA,Buy,5,1780.0,22.25,8900.0,12415.304903425022,0,5
57,2024-11-22,SUNPHARMA,Buy,1,1795.3,4.48825,1795.3,12432.416653425023,5,6
58,2024-12-27,SUNPHARMA,Sell,6,1861.25,27.91875,11167.5,12778.597903425023,6,0
59,2025-01-10,SUNPHARMA,Buy,7,1784.8,31.234,12493.6,12482.063903425025,0,7
60,2025-01-14,SUNPHARMA,Sell,7,1770.85,30.989874999999998,12395.949999999999,12618.724028425024,7,0
61,2025-01-15,SUNPHARMA,Buy,7,1756.85,30.744874999999997,12297.949999999999,12633.129153425027,0,7
62,2025-01-22,SUNPHARMA,Sell,7,1798.95,31.481625,12592.65,12851.197528425027,7,0
