account_value,date
10000.0,2022-09-23
9968.5375779124,2022-09-26
10170.0765219124,2022-09-27
10120.285021752401,2022-09-28
10107.8365539124,2022-09-29
10229.352681912402,2022-09-30
9934.157760792401,2022-10-03
10019.515549752401,2022-10-04
10127.9905668724,2022-10-06
9969.130813752401,2022-10-07
9687.5690537524,2022-10-10
9515.0749539124,2022-10-11
9689.9396259124,2022-10-12
9690.532861752401,2022-10-13
9736.175267832401,2022-10-14
9758.7004457524,2022-10-17
9891.4785699124,2022-10-18
9868.5283232572,2022-10-19
9922.9659534223,2022-10-20
9898.2203791572,2022-10-21
9993.206715207,2022-10-24
9968.4531139619,2022-10-25
9968.4531139619,2022-10-27
9968.4531139619,2022-10-28
9968.4531139619,2022-10-31
9968.4531139619,2022-11-01
9968.4531139619,2022-11-02
9968.4531139619,2022-11-03
9968.4531139619,2022-11-04
10044.732285146998,2022-11-07
10019.9401540768,2022-11-09
10019.9401540768,2022-11-10
10019.9401540768,2022-11-11
10019.9401540768,2022-11-14
10019.9401540768,2022-11-15
10019.9401540768,2022-11-16
10019.9401540768,2022-11-17
10019.9401540768,2022-11-18
10019.9401540768,2022-11-21
10019.9401540768,2022-11-22
10019.9401540768,2022-11-23
10019.9401540768,2022-11-24
10019.9401540768,2022-11-25
10019.9401540768,2022-11-28
10019.9401540768,2022-11-29
10019.9401540768,2022-11-30
10019.9401540768,2022-12-01
10019.9401540768,2022-12-02
10031.6418016476,2022-12-05
10023.7333739676,2022-12-06
10020.2459790228,2022-12-07
10077.7442099028,2022-12-08
10067.0742639828,2022-12-09
10147.0970799828,2022-12-12
10118.0516430228,2022-12-13
10211.1155699028,2022-12-14
10086.0429908628,2022-12-15
10046.327607982801,2022-12-16
10132.8706830228,2022-12-19
10126.3504239828,2022-12-20
10058.7754830228,2022-12-21
10011.9477908628,2022-12-22
9988.277337678,2022-12-23
9988.277337678,2022-12-26
9988.277337678,2022-12-27
9988.277337678,2022-12-28
9917.141025133202,2022-12-29
9808.6660080132,2022-12-30
9753.5389420932,2023-01-02
9811.037172973201,2023-01-03
9752.946299053201,2023-01-04
9771.9144331332,2023-01-05
9742.276353133202,2023-01-06
9808.6660080132,2023-01-09
9835.932923053202,2023-01-10
9717.973246093201,2023-01-11
9658.1044430532,2023-01-12
9642.100116973203,2023-01-13
9575.117819053201,2023-01-16
9608.3123500932,2023-01-17
9613.647323053201,2023-01-18
9471.3845390532,2023-01-19
9470.791896013201,2023-01-20
9518.2128240132,2023-01-23
9499.837332973202,2023-01-24
9489.7600300932,2023-01-25
9432.8550350532,2023-01-27
9437.5973649732,2023-01-30
9364.687451053202,2023-01-31
9498.651454093202,2023-02-01
9455.380212973201,2023-02-02
9330.307041133201,2023-02-03
9367.6512590532,2023-02-06
9349.275768013202,2023-02-07
9304.226004973201,2023-02-08
9275.1805680132,2023-02-09
9333.1178128805,2023-02-10
9220.0980629205,2023-02-13
9261.196328960501,2023-02-14
9352.382564880501,2023-02-15
9329.004788970702,2023-02-16
