trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-09-23,TATACONSUM,Buy,12,772.12137092,23.1636411276,9265.45645104,9968.5375779124,0,12
2,2022-10-18,TATACONSUM,Sell,12,765.00822184,22.9502466552,9180.09866208,9868.5283232572,12,0
3,2022-10-19,TATACONSUM,Buy,13,755.32645892,24.548109914900003,9819.24396596,9922.9659534223,0,13
4,2022-10-20,TATACONSUM,Sell,13,761.40228508,24.7455742651,9898.22970604,9898.2203791572,13,0
5,2022-10-21,TATACONSUM,Buy,13,752.46147416,24.4549979102,9781.99916408,9993.206715207,0,13
6,2022-10-24,TATACONSUM,Sell,13,761.64926908,24.7536012451,9901.44049804,9968.4531139619,13,0
7,2022-11-04,TATACONSUM,Buy,13,755.07947492,24.540082934900003,9816.03317396,10044.732285146998,0,13
8,2022-11-07,TATACONSUM,Sell,13,762.83480216,24.7921310702,9916.85242808,10019.9401540768,13,0
9,2022-12-02,TATACONSUM,Buy,4,785.95247492,7.8595247492,3143.80989968,10031.6418016476,0,4
10,2022-12-05,TATACONSUM,Sell,4,790.842768,7.90842768,3163.371072,10023.7333739676,4,0
11,2022-12-06,TATACONSUM,Buy,12,788.02717016,23.640815104799998,9456.32604192,10020.2459790228,0,12
12,2022-12-22,TATACONSUM,Sell,12,789.01510616,23.6704531848,9468.18127392,9988.277337678,12,0
13,2022-12-28,TATACONSUM,Buy,12,770.73829016,23.1221487048,9248.85948192,9917.141025133202,0,12
14,2023-02-09,TATACONSUM,Buy,1,713.24040508,1.7831010127,713.24040508,9333.1178128805,12,13
15,2023-02-15,TATACONSUM,Sell,13,719.31618184,23.377775909800004,9351.110363920001,9329.004788970702,13,0
16,2023-03-13,TATACONSUM,Buy,7,685.77579416,12.0010763978,4800.43055912,9311.125285892904,0,7
17,2023-03-14,TATACONSUM,Buy,6,684.93601892,10.2740402838,4109.61611352,9227.003029609103,7,13
18,2023-03-21,TATACONSUM,Sell,13,692.44436216,22.5044417702,9001.77670808,9375.955265958903,13,0
19,2023-03-28,TATACONSUM,Buy,13,687.65284292,22.3487173949,8939.48695796,9372.871300564004,0,13
20,2023-03-29,TATACONSUM,Sell,13,689.13474692,22.3968792749,8958.75170996,9350.474421289104,13,0
21,2023-04-10,TATACONSUM,Buy,6,711.95609816,10.6793414724,4271.7365889600005,9319.937388376704,0,6
22,2023-04-11,TATACONSUM,Buy,7,708.64648292,12.4013134511,4960.52538044,9321.663945045606,6,13
23,2023-04-24,TATACONSUM,Sell,13,723.71250692,23.5206564749,9408.26258996,9479.873730450705,13,0
24,2023-05-09,TATACONSUM,Buy,6,779.481504,11.692222560000001,4676.889024,9480.926000850704,0,6
