account_value,date
10000.0,2021-01-05
10087.566490000001,2021-01-06
10156.417000000001,2021-01-07
10227.816490000001,2021-01-08
11375.316490000001,2021-01-11
12249.967000000002,2021-01-12
12494.767510000001,2021-01-13
12622.267510000001,2021-01-14
13397.46649,2021-01-15
12665.617,2021-01-18
13313.316490000001,2021-01-19
14142.066490000001,2021-01-20
14942.767510000001,2021-01-21
14879.017510000001,2021-01-22
14358.816490000001,2021-01-25
13764.667000000001,2021-01-27
13728.96649,2021-01-28
13519.867510000002,2021-01-29
14381.767510000001,2021-02-01
16544.167,2021-02-02
17003.167,2021-02-03
16755.81649,2021-02-04
16233.066490000001,2021-02-05
17255.617510000004,2021-02-08
16699.71649,2021-02-09
16896.06649,2021-02-10
16697.167,2021-02-11
16717.56649,2021-02-12
17123.01751,2021-02-15
16911.367510000004,2021-02-16
16959.81649,2021-02-17
16638.51751,2021-02-18
16026.517510000001,2021-02-19
15651.667000000001,2021-02-22
16646.167,2021-02-23
16533.96649,2021-02-24
17112.81649,2021-02-25
16592.617510000004,2021-02-26
16865.46649,2021-03-01
17755.417,2021-03-02
17895.667,2021-03-03
17421.367510000004,2021-03-04
16704.81649,2021-03-05
16505.917,2021-03-08
16197.367510000002,2021-03-09
16516.117510000004,2021-03-10
16317.21649,2021-03-12
16368.21649,2021-03-15
16439.617510000004,2021-03-16
15717.96649,2021-03-17
15779.167000000001,2021-03-18
15878.617510000002,2021-03-19
15577.71649,2021-03-22
15799.566490000001,2021-03-23
15139.117510000002,2021-03-24
14685.21649,2021-03-25
15238.566490000001,2021-03-26
15271.71649,2021-03-30
15513.96649,2021-03-31
15817.417000000001,2021-04-01
15679.71649,2021-04-05
15817.417000000001,2021-04-06
15819.96649,2021-04-07
16133.617510000002,2021-04-08
16350.367510000002,2021-04-09
14736.21649,2021-04-12
15567.517510000001,2021-04-13
15600.667000000001,2021-04-15
15932.167000000001,2021-04-16
15493.566490000001,2021-04-19
15351.277990275,2021-04-20
15321.472991275,2021-04-22
15321.472991275,2021-04-23
15321.472991275,2021-04-26
15321.472991275,2021-04-27
15321.472991275,2021-04-28
15321.472991275,2021-04-29
15321.472991275,2021-04-30
15321.472991275,2021-05-03
15321.472991275,2021-05-04
15321.472991275,2021-05-05
15321.472991275,2021-05-06
15321.472991275,2021-05-07
15321.472991275,2021-05-10
