trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-01-05,TATAMOTORS,Buy,51,193.2,24.633,9853.199999999999,10087.566490000001,0,51
2,2021-04-19,TATAMOTORS,Sell,11,301.39999,8.288499725000001,3315.39989,15351.277990275,51,40
3,2021-04-20,TATAMOTORS,Sell,40,298.04999,29.804999,11921.9996,15321.472991275,40,0
4,2021-05-10,TATAMOTORS,Buy,38,314.85001,29.91075095,11964.30038,15318.161480325001,0,38
5,2021-05-11,TATAMOTORS,Buy,10,315.54999,7.88874975,3155.4999,15811.873210575002,38,48
6,2021-07-13,TATAMOTORS,Sell,5,310.95001,3.8868751250000004,1554.75005,15025.385955450001,48,43
7,2021-07-14,TATAMOTORS,Buy,5,309.54999,3.8693748749999997,1547.74995,15055.117060575001,43,48
8,2021-07-15,TATAMOTORS,Sell,5,310.25,3.8781250000000003,1551.25,15094.238935575002,48,43
9,2021-07-16,TATAMOTORS,Sell,5,311.25,3.890625,1556.25,14999.148690575003,43,38
10,2021-07-19,TATAMOTORS,Buy,10,308.85001,7.721250250000001,3088.5001,14669.826480325002,38,48
11,2021-08-20,TATAMOTORS,Sell,48,283.10001,33.9720012,13588.80048,13721.455439125002,48,0
12,2021-08-30,TATAMOTORS,Buy,16,291.95001,11.6780004,4671.20016,13635.377118725002,0,16
13,2021-08-31,TATAMOTORS,Buy,25,287.29999,17.956249375,7182.499749999999,13943.371279350004,16,41
14,2021-09-01,TATAMOTORS,Buy,6,295.25,4.42875,1771.5,13840.242059350005,41,47
15,2022-02-15,TATAMOTORS,Sell,47,504.0,59.22,23688.0,23690.972529350005,47,0
16,2022-03-21,TATAMOTORS,Buy,2,427.95001,2.13975005,855.90002,23713.632779300005,0,2
17,2022-03-22,TATAMOTORS,Buy,51,440.35001,56.144626275,22457.85051,23416.337093025006,2,53
18,2022-05-06,TATAMOTORS,Sell,7,408.54999,7.149624825,2859.84993,21753.338388200005,53,46
19,2022-05-09,TATAMOTORS,Sell,35,403.95001,35.345625875,14138.25035,21583.792652325006,46,11
20,2022-05-10,TATAMOTORS,Sell,6,391.75,5.87625,2350.5,21559.916352325006,11,5
21,2022-05-11,TATAMOTORS,Sell,5,388.14999,4.851874875,1940.74995,21555.064477450003,5,0
22,2022-05-17,TATAMOTORS,Buy,36,424.14999,38.1734991,15269.39964,21192.890978350006,0,36
23,2022-05-18,TATAMOTORS,Buy,14,415.14999,14.530249650000002,5812.09986,20353.360728700005,36,50
24,2022-05-19,TATAMOTORS,Buy,1,398.64999,0.996624975,398.64999,21339.214613725006,50,51
25,2022-10-10,TATAMOTORS,Sell,9,395.95001,8.908875225000001,3563.55009,20096.556248500005,51,42
26,2022-10-11,TATAMOTORS,Sell,3,393.35001,2.950125075,1180.0500299999999,20218.405343425,42,39
27,2022-10-12,TATAMOTORS,Buy,11,396.54999,10.905124725,4362.04989,20330.000718700005,39,50
28,2022-10-21,TATAMOTORS,Sell,50,398.04999,49.75624875,19902.499499999998,20232.743969950003,50,0
29,2022-10-31,TATAMOTORS,Buy,2,412.75,2.06375,825.5,20247.880239950002,0,2
30,2022-11-01,TATAMOTORS,Buy,45,421.35001,47.401876125,18960.75045,20238.077423825005,2,47
31,2022-12-22,TATAMOTORS,Buy,1,394.45001,0.9861250250000001,394.45001,18162.392238800003,47,48
32,2023-03-21,TATAMOTORS,Sell,42,412.54999,43.317748949999995,17327.09958,19781.973649850006,48,6
33,2023-03-22,TATAMOTORS,Sell,6,416.10001,6.241500149999999,2496.6000599999998,19775.732149700005,6,0
34,2023-03-28,TATAMOTORS,Buy,5,401.60001,5.020000125,2008.00005,19808.712149575003,0,5
35,2023-03-29,TATAMOTORS,Buy,43,409.20001,43.989001075000004,17595.600430000002,20321.522188500003,5,48
36,2023-08-31,TATAMOTORS,Sell,17,601.0,25.5425,10217.0,29261.780478500004,48,31
37,2023-09-01,TATAMOTORS,Sell,31,611.20001,47.368000775,18947.20031,29214.412477725007,31,0
38,2023-09-08,TATAMOTORS,Buy,46,627.25,72.13375,28853.5,29491.87780772501,0,46
39,2024-05-23,TATAMOTORS,Sell,6,962.34998,14.4352497,5774.09988,44470.44295802501,46,40
40,2024-05-24,TATAMOTORS,Buy,6,960.54999,14.40824985,5763.29994,44361.73516817501,40,46
41,2024-06-05,TATAMOTORS,Sell,26,929.95001,60.446750650000006,24178.70026,43153.98867752501,46,20
42,2024-06-06,TATAMOTORS,Sell,20,938.25,46.9125,18765.0,43107.076177525014,20,0
43,2024-06-11,TATAMOTORS,Buy,8,987.09998,19.7419996,7896.79984,43100.134417925015,0,8
44,2024-06-12,TATAMOTORS,Buy,35,988.70001,86.511250875,34604.50035,42891.07187705001,8,43
45,2024-10-09,TATAMOTORS,Sell,23,939.15,54.001125,21600.45,40615.971612050016,43,20
46,2024-10-10,TATAMOTORS,Sell,20,928.5,46.425000000000004,18570.0,40569.54661205002,20,0
47,2024-10-17,TATAMOTORS,Buy,8,891.6,17.832,7132.8,40700.11461205002,0,8
48,2024-10-18,TATAMOTORS,Sell,8,910.15,18.203,7281.2,40681.911612050026,8,0
49,2024-10-21,TATAMOTORS,Buy,5,903.3,11.29125,4516.5,40551.620362050024,0,5
50,2024-10-22,TATAMOTORS,Buy,14,879.5,30.782500000000002,12313.0,40485.68786205002,5,19
51,2024-10-23,TATAMOTORS,Buy,6,877.65,13.16475,5265.9,40531.273112050025,19,25
52,2024-10-24,TATAMOTORS,Sell,1,880.0,2.2,880.0,40152.273112050025,25,24
53,2024-10-25,TATAMOTORS,Buy,13,864.3,28.08975,11235.9,40647.73336205003,24,37
54,2024-10-28,TATAMOTORS,Sell,14,878.45,30.745750000000005,12298.300000000001,39795.88761205003,37,23
55,2024-10-29,TATAMOTORS,Buy,22,842.75,46.35125,18540.5,39634.78636205003,23,45
56,2024-10-30,TATAMOTORS,Buy,2,840.2,4.2010000000000005,1680.4,39341.535362050025,45,47
57,2024-11-05,TATAMOTORS,Sell,11,835.65,22.980375,9192.15,39539.554987050025,47,36
58,2024-11-06,TATAMOTORS,Sell,19,839.7,39.88575,15954.300000000001,39160.51923705003,36,17
59,2024-11-08,TATAMOTORS,Buy,3,805.45,6.040875000000001,2416.3500000000004,38896.37836205003,17,20
60,2024-11-11,TATAMOTORS,Sell,7,804.7,14.082250000000002,5632.900000000001,38624.24611205003,20,13
61,2024-11-12,TATAMOTORS,Buy,10,784.85,19.62125,7848.5,38636.82486205003,13,23
62,2024-11-13,TATAMOTORS,Buy,1,786.25,1.965625,786.25,38348.05923705002,23,24
63,2024-11-14,TATAMOTORS,Buy,8,774.3,15.485999999999999,6194.4,38255.77323705003,24,32
64,2024-11-18,TATAMOTORS,Buy,6,771.9,11.5785,4631.4,38673.594737050036,32,38
65,2024-11-19,TATAMOTORS,Sell,12,783.2,23.496000000000006,9398.400000000001,38406.99873705003,38,26
66,2024-11-21,TATAMOTORS,Sell,9,773.85,17.411625,6964.650000000001,38681.13711205003,26,17
67,2024-11-22,TATAMOTORS,Sell,17,791.0,33.6175,13447.0,38647.51961205003,17,0
68,2025-01-03,TATAMOTORS,Buy,48,790.4,94.848,37939.2,37873.47161205004,0,48
69,2025-01-23,TATAMOTORS,Sell,8,752.5,15.05,6020.0,35982.421612050035,48,40
70,2025-01-24,TATAMOTORS,Buy,8,734.1,14.682,5872.8,34957.33961205003,40,48
71,2025-01-27,TATAMOTORS,Sell,10,713.05,17.82625,7130.5,35517.11336205004,48,38
72,2025-01-28,TATAMOTORS,Sell,38,728.25,69.18375,27673.5,35447.92961205004,38,0
73,2025-03-12,TATAMOTORS,Buy,41,668.3,68.50075,27400.3,34854.62886205004,0,41
74,2025-03-13,TATAMOTORS,Buy,12,655.5,19.665,7866.0,35129.113862050035,41,53
75,2025-04-08,TATAMOTORS,Sell,2,588.85,2.9442500000000003,1177.7,30996.119612050035,53,51
76,2025-04-11,TATAMOTORS,Sell,34,595.05,50.579249999999995,20231.699999999997,32026.740362050037,51,17
77,2025-04-15,TATAMOTORS,Sell,17,622.2,26.443500000000004,10577.400000000001,32000.29686205004,17,0
78,2025-04-23,TATAMOTORS,Buy,48,659.9,79.18799999999999,31675.199999999997,32326.708862050047,0,48
