account_value,date
10000.0,2020-12-04
9844.6916796,2020-12-07
9827.091999600001,2020-12-08
9761.4915196,2020-12-09
9773.491519600002,2020-12-10
9959.091999600001,2020-12-11
10039.8918396,2020-12-14
10177.4915196,2020-12-15
10306.292159600001,2020-12-16
10176.6916796,2020-12-17
10111.8918396,2020-12-18
9545.4915196,2020-12-21
9633.491519600002,2020-12-22
9954.292159600001,2020-12-23
9968.6916796,2020-12-24
10134.292159600001,2020-12-28
10127.091999600001,2020-12-29
10259.091999600001,2020-12-30
10310.292159600001,2020-12-31
10301.4915196,2021-01-01
11099.8918396,2021-01-04
10900.6916796,2021-01-05
10952.6916796,2021-01-06
11576.6916796,2021-01-07
11422.292159600001,2021-01-08
11142.292159600001,2021-01-11
11130.292159600001,2021-01-12
11358.292159600001,2021-01-13
11313.4915196,2021-01-14
11306.292159600001,2021-01-15
10679.091999600001,2021-01-18
10909.491519600002,2021-01-19
11054.2921596,2021-01-20
10679.091999600001,2021-01-21
10363.8918396,2021-01-22
10443.091999600001,2021-01-25
10027.8918396,2021-01-27
9991.091999600001,2021-01-28
9627.8918396,2021-01-29
10189.4915196,2021-02-01
10278.292159600001,2021-02-02
10462.292159600001,2021-02-03
10507.091999600001,2021-02-04
10674.5150858575,2021-02-05
10712.7571609525,2021-02-08
10687.410773380001,2021-02-09
10534.240221135002,2021-02-10
10601.880373135,2021-02-11
10386.040221135001,2021-02-12
10259.120525135,2021-02-15
10385.849759140001,2021-02-16
10357.7819790475,2021-02-17
10365.540079072503,2021-02-18
10034.572012572502,2021-02-19
10222.85126153,2021-02-22
10887.7437490575,2021-02-23
10878.804047057502,2021-02-24
11090.384196057501,2021-02-25
10676.9091960575,2021-02-26
10904.133898057502,2021-03-01
10980.1238980575,2021-03-02
11600.7088980575,2021-03-03
11314.628898057501,2021-03-04
10947.343898057501,2021-03-05
11006.1988980575,2021-03-08
10551.7488980575,2021-03-09
10816.223898057502,2021-03-10
10748.428898057502,2021-03-12
10993.533898057502,2021-03-15
10809.5188980575,2021-03-16
10516.7338980575,2021-03-17
10523.4388980575,2021-03-18
10942.8738980575,2021-03-19
11099.3238980575,2021-03-22
11064.3088980575,2021-03-23
10865.164573057502,2021-03-24
10856.906673057503,2021-03-25
10856.906673057503,2021-03-26
11234.824460557504,2021-03-30
11396.924460557504,2021-03-31
12113.724460557505,2021-04-01
12179.524460557504,2021-04-05
12110.924460557504,2021-04-06
12278.924460557504,2021-04-07
12888.624460557505,2021-04-08
12624.024460557504,2021-04-09
11952.724460557505,2021-04-12
12337.024460557504,2021-04-13
12605.824460557504,2021-04-15
12494.524460557504,2021-04-16
12463.724460557505,2021-04-19
12547.024460557504,2021-04-20
12930.624460557505,2021-04-22
12989.424460557504,2021-04-23
13201.524460557504,2021-04-26
13719.524460557504,2021-04-27
13630.624460557505,2021-04-28
14469.924460557506,2021-04-29
14507.024460557504,2021-04-30
14937.524460557504,2021-05-03
14924.924460557506,2021-05-04
15013.124460557505,2021-05-05
15443.624460557505,2021-05-06
16583.924460557504,2021-05-07
17059.924460557504,2021-05-10
17305.6244605575,2021-05-11
16539.124460557505,2021-05-12
15880.424460557504,2021-05-14
16142.924460557504,2021-05-17
16551.024460557503,2021-05-18
16330.524460557504,2021-05-19
15501.724460557503,2021-05-20
15614.424460557504,2021-05-21
15319.024460557504,2021-05-24
15503.824460557504,2021-05-25
15181.124460557505,2021-05-26
15384.124460557505,2021-05-27
15480.024460557504,2021-05-28
15790.124460557505,2021-05-31
15443.624460557505,2021-06-01
15767.724460557505,2021-06-02
15739.024460557504,2021-06-03
15720.824460557504,2021-06-04
15831.744285557505,2021-06-07
15604.838185557503,2021-06-08
15487.551560557502,2021-06-09
15636.571310557501,2021-06-10
16049.163510557502,2021-06-11
16125.721248057504,2021-06-14
16256.821248057504,2021-06-15
15813.151248057504,2021-06-16
15283.231248057504,2021-06-17
15125.221248057504,2021-06-18
15316.351248057503,2021-06-21
15401.221248057504,2021-06-22
15232.861248057505,2021-06-23
15412.951248057503,2021-06-24
16109.978098057503,2021-06-25
16367.562848057505,2021-06-28
16209.552848057503,2021-06-29
16127.442848057504,2021-06-30
16085.352848057504,2021-07-01
15705.162848057504,2021-07-02
15992.892848057505,2021-07-05
16136.412848057504,2021-07-06
16845.7328480575,2021-07-07
16446.912848057502,2021-07-08
17131.3928480575,2021-07-09
16960.272848057502,2021-07-12
16985.112848057503,2021-07-13
17205.222848057503,2021-07-14
17360.472848057503,2021-07-15
17670.972848057503,2021-07-16
17504.682848057502,2021-07-19
17048.592848057502,2021-07-20
17595.7628480575,2021-07-22
17711.682848057502,2021-07-23
17940.0728480575,2021-07-26
18391.332848057504,2021-07-27
18865.362848057503,2021-07-28
20157.042848057503,2021-07-29
19821.702848057503,2021-07-30
19487.0528480575,2021-08-02
19447.722848057503,2021-08-03
19571.922848057504,2021-08-04
19991.4428480575,2021-08-05
19746.4928480575,2021-08-06
19516.722848057503,2021-08-09
18984.042848057503,2021-08-10
19709.922848057504,2021-08-11
19836.1928480575,2021-08-12
20199.132848057503,2021-08-13
20996.082848057504,2021-08-16
20779.422848057504,2021-08-17
20734.5728480575,2021-08-18
19011.6428480575,2021-08-20
18777.732848057505,2021-08-23
19412.532848057504,2021-08-24
19213.122848057505,2021-08-25
19004.0528480575,2021-08-26
19129.632848057503,2021-08-27
19908.6428480575,2021-08-30
20041.812848057503,2021-08-31
19510.007723057504,2021-09-01
19664.191723057505,2021-09-02
19704.680998057505,2021-09-03
19691.327235557503,2021-09-06
19691.327235557503,2021-09-07
19691.327235557503,2021-09-08
19691.327235557503,2021-09-09
19691.327235557503,2021-09-13
19691.327235557503,2021-09-14
19691.327235557503,2021-09-15
19691.327235557503,2021-09-16
19691.327235557503,2021-09-17
19691.327235557503,2021-09-20
20252.416335557504,2021-09-21
20464.576335557507,2021-09-22
20665.816335557505,2021-09-23
19938.856335557502,2021-09-24
19913.896335557503,2021-09-27
20076.916335557504,2021-09-28
20304.676335557506,2021-09-29
20200.9363355575,2021-09-30
20340.556335557503,2021-10-01
20750.836335557502,2021-10-04
20651.318985557504,2021-10-05
20611.813485557504,2021-10-06
20611.813485557504,2021-10-07
20611.813485557504,2021-10-08
20611.813485557504,2021-10-11
20611.813485557504,2021-10-12
20611.813485557504,2021-10-13
20611.813485557504,2021-10-14
20611.813485557504,2021-10-18
20611.813485557504,2021-10-19
20611.813485557504,2021-10-20
20611.813485557504,2021-10-21
20611.813485557504,2021-10-22
20611.813485557504,2021-10-25
20611.813485557504,2021-10-26
20611.813485557504,2021-10-27
20611.813485557504,2021-10-28
20611.813485557504,2021-10-29
20611.813485557504,2021-11-01
20611.813485557504,2021-11-02
20611.813485557504,2021-11-03
20611.813485557504,2021-11-04
20611.813485557504,2021-11-08
20611.813485557504,2021-11-09
20611.813485557504,2021-11-10
20611.813485557504,2021-11-11
20611.813485557504,2021-11-12
20611.813485557504,2021-11-15
20611.813485557504,2021-11-16
20611.813485557504,2021-11-17
20611.813485557504,2021-11-18
20611.813485557504,2021-11-22
20611.813485557504,2021-11-23
20611.813485557504,2021-11-24
20611.813485557504,2021-11-25
20611.813485557504,2021-11-26
20611.813485557504,2021-11-29
20611.813485557504,2021-11-30
20611.813485557504,2021-12-01
20611.813485557504,2021-12-02
20611.813485557504,2021-12-03
20611.813485557504,2021-12-06
20611.813485557504,2021-12-07
20611.813485557504,2021-12-08
20611.813485557504,2021-12-09
20611.813485557504,2021-12-10
20611.813485557504,2021-12-13
20611.813485557504,2021-12-14
20611.813485557504,2021-12-15
20611.813485557504,2021-12-16
20611.813485557504,2021-12-17
20611.813485557504,2021-12-20
20611.813485557504,2021-12-21
20611.813485557504,2021-12-22
20611.813485557504,2021-12-23
20611.813485557504,2021-12-24
20611.813485557504,2021-12-27
20611.813485557504,2021-12-28
20611.813485557504,2021-12-29
20611.813485557504,2021-12-30
20611.813485557504,2021-12-31
20611.813485557504,2022-01-03
20611.813485557504,2022-01-04
20611.813485557504,2022-01-05
20611.813485557504,2022-01-06
20611.813485557504,2022-01-07
20611.813485557504,2022-01-10
20611.813485557504,2022-01-11
20611.813485557504,2022-01-12
20611.813485557504,2022-01-13
20575.763710557505,2022-01-14
20807.739710557504,2022-01-17
20217.929710557506,2022-01-18
20467.204710557504,2022-01-19
20418.194710557505,2022-01-20
19792.894710557506,2022-01-21
18601.444710557505,2022-01-24
18768.754710557507,2022-01-25
18418.079710557504,2022-01-27
18355.549710557505,2022-01-28
18370.759710557508,2022-01-31
19753.179710557506,2022-02-01
19755.714710557506,2022-02-02
19740.504710557507,2022-02-03
19773.223110557505,2022-02-04
19754.108235557505,2022-02-07
19754.108235557505,2022-02-08
19753.988635557504,2022-02-09
19881.403673057503,2022-02-10
19945.9365730575,2022-02-11
18871.096573057504,2022-02-14
19203.40657305751,2022-02-15
18949.801573057506,2022-02-16
18936.286573057507,2022-02-17
18933.901573057505,2022-02-18
18791.596573057504,2022-02-21
18105.511573057505,2022-02-22
18110.28157305751,2022-02-23
17076.78157305751,2022-02-24
18211.246573057506,2022-02-25
19410.106573057506,2022-02-28
20500.846573057504,2022-03-02
20722.651573057505,2022-03-03
20306.071573057503,2022-03-04
20541.391573057503,2022-03-07
20185.231573057506,2022-03-08
19960.246573057506,2022-03-09
20808.511573057505,2022-03-10
20697.211573057502,2022-03-11
20622.481573057506,2022-03-14
19616.806573057504,2022-03-15
20117.65657305751,2022-03-16
20725.036573057507,2022-03-17
20717.086573057502,2022-03-21
20701.981573057506,2022-03-22
21163.081573057505,2022-03-23
21473.926573057506,2022-03-24
21289.486573057504,2022-03-25
21289.486573057504,2022-03-28
21221.11657305751,2022-03-29
20798.176573057506,2022-03-30
20784.661573057507,2022-03-31
20942.07157305751,2022-04-01
21336.391573057503,2022-04-04
21384.091573057507,2022-04-05
21795.106573057506,2022-04-06
21457.231573057506,2022-04-07
21755.708573057505,2022-04-08
21612.473010557507,2022-04-11
21551.121310557504,2022-04-12
21548.480810557503,2022-04-13
21548.480810557503,2022-04-18
21548.480810557503,2022-04-19
21548.480810557503,2022-04-20
21548.480810557503,2022-04-21
21548.480810557503,2022-04-22
21463.929385557505,2022-04-25
21612.0082730575,2022-04-26
21830.772673057505,2022-04-27
22078.397673057505,2022-04-28
22256.897673057505,2022-04-29
22622.134660557505,2022-05-02
22192.680660557504,2022-05-04
22341.163110557507,2022-05-05
22318.046610557507,2022-05-06
22318.046610557507,2022-05-09
22318.046610557507,2022-05-10
22318.046610557507,2022-05-11
22318.046610557507,2022-05-12
22318.046610557507,2022-05-13
22325.561610557506,2022-05-16
22702.06473555751,2022-05-17
22608.073160557506,2022-05-18
22315.620285557507,2022-05-19
22302.154485557505,2022-05-20
22302.154485557505,2022-05-23
22302.154485557505,2022-05-24
22302.154485557505,2022-05-25
22302.154485557505,2022-05-26
22302.154485557505,2022-05-27
22302.154485557505,2022-05-30
22302.154485557505,2022-05-31
22302.154485557505,2022-06-01
22302.154485557505,2022-06-02
22302.154485557505,2022-06-03
22302.154485557505,2022-06-06
22302.154485557505,2022-06-07
22302.154485557505,2022-06-08
22302.154485557505,2022-06-09
22302.154485557505,2022-06-10
22302.154485557505,2022-06-13
22302.154485557505,2022-06-14
22302.154485557505,2022-06-15
22302.154485557505,2022-06-16
22302.154485557505,2022-06-17
22302.154485557505,2022-06-20
22302.154485557505,2022-06-21
22302.154485557505,2022-06-22
22302.154485557505,2022-06-23
22302.154485557505,2022-06-24
22302.154485557505,2022-06-27
22302.154485557505,2022-06-28
22302.154485557505,2022-06-29
22302.154485557505,2022-06-30
22302.154485557505,2022-07-01
22302.154485557505,2022-07-04
22302.154485557505,2022-07-05
22302.154485557505,2022-07-06
22302.154485557505,2022-07-07
22302.154485557505,2022-07-08
22302.154485557505,2022-07-11
22302.154485557505,2022-07-12
22302.154485557505,2022-07-13
22302.154485557505,2022-07-14
22302.154485557505,2022-07-15
22302.154485557505,2022-07-18
22302.154485557505,2022-07-19
22302.154485557505,2022-07-20
22302.154485557505,2022-07-21
22302.154485557505,2022-07-22
22302.154485557505,2022-07-25
22302.154485557505,2022-07-26
22302.154485557505,2022-07-27
22314.664935557503,2022-07-28
23736.239935557503,2022-07-29
23874.666935557503,2022-08-01
23599.666935557503,2022-08-02
23610.666935557503,2022-08-03
23753.666935557503,2022-08-04
23676.666935557503,2022-08-05
23643.666935557503,2022-08-08
24083.666935557503,2022-08-10
24061.666935557503,2022-08-11
24842.666935557503,2022-08-12
24919.666935557503,2022-08-16
24809.666935557503,2022-08-17
24820.666935557503,2022-08-18
24270.666935557503,2022-08-19
23170.666935557503,2022-08-22
23731.666935557503,2022-08-23
23500.666935557503,2022-08-24
23434.666935557503,2022-08-25
23676.666935557503,2022-08-26
