trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2020-12-04,TATASTEEL,Buy,160,62.270001,24.908000400000002,9963.20016,9844.6916796,0,160
2,2021-02-04,TATASTEEL,Sell,97,65.595001,15.906787742499999,6362.715096999999,10674.5150858575,160,63
3,2021-02-05,TATASTEEL,Sell,38,68.504999,6.507974905,2603.189962,10712.7571609525,63,25
4,2021-02-08,TATASTEEL,Buy,29,70.295001,5.096387572499999,2038.5550289999999,10687.410773380001,25,54
5,2021-02-09,TATASTEEL,Buy,98,69.920001,17.130400245,6852.160098,10534.240221135002,54,152
6,2021-02-15,TATASTEEL,Sell,99,67.215002,16.635712995,6654.285198,10385.849759140001,152,53
7,2021-02-16,TATASTEEL,Buy,37,69.920001,6.4676000925,2587.0400369999998,10357.7819790475,53,90
8,2021-02-17,TATASTEEL,Buy,10,69.679999,1.741999975,696.79999,10365.540079072503,90,100
9,2021-02-18,TATASTEEL,Buy,21,69.775,3.6631875000000003,1465.275,10034.572012572502,100,121
10,2021-02-19,TATASTEEL,Buy,17,67.070001,2.8504750425000003,1140.1900170000001,10222.85126153,121,138
11,2021-02-22,TATASTEEL,Buy,11,68.454999,1.8825124725000002,753.004989,10887.7437490575,138,149
12,2021-03-23,TATASTEEL,Sell,102,74.115,18.899325,7559.73,10865.164573057502,149,47
13,2021-03-24,TATASTEEL,Sell,47,70.28,8.2579,3303.16,10856.906673057503,47,0
14,2021-03-26,TATASTEEL,Buy,121,76.685,23.197212500000003,9278.885,11234.824460557504,0,121
15,2021-03-30,TATASTEEL,Buy,19,80.0,3.8000000000000003,1520.0,11396.924460557504,121,140
16,2021-06-04,TATASTEEL,Sell,1,112.07,0.280175,112.07,15831.744285557505,140,139
17,2021-06-07,TATASTEEL,Sell,12,112.87,3.3861000000000003,1354.44,15604.838185557503,139,127
18,2021-06-08,TATASTEEL,Sell,15,111.11,4.166625000000001,1666.65,15487.551560557502,127,112
19,2021-06-09,TATASTEEL,Sell,1,110.1,0.27525,110.1,15636.571310557501,112,111
20,2021-06-10,TATASTEEL,Sell,16,111.445,4.4578,1783.12,16049.163510557502,111,95
21,2021-06-11,TATASTEEL,Buy,43,115.835,12.4522625,4980.905,16125.721248057504,95,138
22,2021-06-24,TATASTEEL,Sell,4,111.315,1.11315,445.26,16109.978098057503,138,134
23,2021-06-25,TATASTEEL,Buy,4,116.525,1.1652500000000001,466.1,16367.562848057505,134,138
24,2021-08-31,TATASTEEL,Sell,2,145.025,0.725125,290.05,19510.007723057504,138,136
25,2021-09-01,TATASTEEL,Sell,20,141.12,7.056,2822.4,19664.191723057505,136,116
26,2021-09-02,TATASTEEL,Sell,79,142.51,28.145725,11258.289999999999,19704.680998057505,116,37
27,2021-09-03,TATASTEEL,Sell,37,144.365,13.3537625,5341.505,19691.327235557503,37,0
28,2021-09-20,TATASTEEL,Buy,156,125.31,48.870900000000006,19548.36,20252.416335557504,0,156
29,2021-10-04,TATASTEEL,Sell,36,132.415,11.917349999999999,4766.94,20651.318985557504,156,120
30,2021-10-05,TATASTEEL,Sell,120,131.685,39.505500000000005,15802.2,20611.813485557504,120,0
31,2022-01-13,TATASTEEL,Buy,34,122.115,10.379775,4151.91,20575.763710557505,0,34
32,2022-01-14,TATASTEEL,Buy,135,121.36,40.959,16383.6,20807.739710557504,34,169
33,2022-02-03,TATASTEEL,Sell,104,116.66,30.331599999999998,12132.64,19773.223110557505,169,65
34,2022-02-04,TATASTEEL,Sell,65,117.63,19.114875,7645.95,19754.108235557505,65,0
35,2022-02-08,TATASTEEL,Buy,4,121.96,1.2196,487.84,19753.988635557504,0,4
36,2022-02-09,TATASTEEL,Buy,51,122.235,15.5849625,6233.985,19881.403673057503,4,55
37,2022-02-10,TATASTEEL,Buy,104,124.835,32.457100000000004,12982.84,19945.9365730575,55,159
38,2022-04-07,TATASTEEL,Sell,16,134.95,5.398,2159.2,21755.708573057505,159,143
39,2022-04-08,TATASTEEL,Sell,43,137.075,14.735562499999999,5894.224999999999,21612.473010557507,143,100
40,2022-04-11,TATASTEEL,Sell,92,135.79,31.231699999999996,12492.679999999998,21551.121310557504,100,8
41,2022-04-12,TATASTEEL,Sell,8,132.025,2.6405000000000003,1056.2,21548.480810557503,8,0
42,2022-04-22,TATASTEEL,Buy,14,127.755,4.471425,1788.57,21463.929385557505,0,14
43,2022-04-25,TATASTEEL,Buy,127,122.035,38.7461125,15498.445,21612.0082730575,14,141
44,2022-04-26,TATASTEEL,Buy,34,123.36,10.4856,4194.24,21830.772673057505,141,175
45,2022-04-29,TATASTEEL,Sell,21,127.105,6.6730125,2669.205,22622.134660557505,175,154
46,2022-05-02,TATASTEEL,Sell,30,129.52,9.714,3885.6000000000004,22192.680660557504,154,124
47,2022-05-04,TATASTEEL,Sell,52,126.135,16.397550000000003,6559.02,22341.163110557507,124,72
48,2022-05-05,TATASTEEL,Sell,72,128.425,23.116500000000002,9246.6,22318.046610557507,72,0
49,2022-05-13,TATASTEEL,Buy,20,109.7,5.485,2194.0,22325.561610557506,0,20
50,2022-05-16,TATASTEEL,Buy,25,110.35,6.8968750000000005,2758.75,22702.06473555751,20,45
51,2022-05-17,TATASTEEL,Buy,49,118.87,14.561575000000001,5824.63,22608.073160557506,45,94
52,2022-05-18,TATASTEEL,Sell,46,118.025,13.572875000000002,5429.150000000001,22315.620285557507,94,48
53,2022-05-19,TATASTEEL,Sell,48,112.215,13.4658,5386.32,22302.154485557505,48,0
54,2022-07-27,TATASTEEL,Buy,3,95.94,0.71955,287.82,22314.664935557503,0,3
