account_value,date
10000.0,2022-05-27
10317.390249999999,2022-05-30
10292.075874999999,2022-05-31
10292.075874999999,2022-06-01
10292.075874999999,2022-06-02
10292.075874999999,2022-06-03
10292.075874999999,2022-06-06
10292.075874999999,2022-06-07
10292.075874999999,2022-06-08
10292.075874999999,2022-06-09
10292.075874999999,2022-06-10
10292.075874999999,2022-06-13
10240.77857425,2022-06-14
10228.02857425,2022-06-15
10035.128574249999,2022-06-16
9875.828274249998,2022-06-17
9946.328274249998,2022-06-20
10244.978574249997,2022-06-21
10277.978574249997,2022-06-22
10535.52857425,2022-06-23
10510.712574250001,2022-06-24
10510.712574250001,2022-06-27
10510.712574250001,2022-06-28
10510.712574250001,2022-06-29
10510.712574250001,2022-06-30
10510.712574250001,2022-07-01
10510.712574250001,2022-07-04
10510.712574250001,2022-07-05
10510.712574250001,2022-07-06
10510.712574250001,2022-07-07
10510.712574250001,2022-07-08
10510.712574250001,2022-07-11
10400.059074249999,2022-07-12
10262.20907425,2022-07-13
10142.20907425,2022-07-14
10129.759374250001,2022-07-15
10336.45907425,2022-07-18
10368.70907425,2022-07-19
10640.359074250002,2022-07-20
10616.623074250003,2022-07-21
10616.623074250003,2022-07-22
10616.623074250003,2022-07-25
10616.623074250003,2022-07-26
10616.623074250003,2022-07-27
10616.623074250003,2022-07-28
10616.623074250003,2022-07-29
10616.623074250003,2022-08-01
10616.623074250003,2022-08-02
10616.623074250003,2022-08-03
10616.623074250003,2022-08-04
10616.623074250003,2022-08-05
10616.623074250003,2022-08-08
10616.623074250003,2022-08-10
10616.623074250003,2022-08-11
10616.623074250003,2022-08-12
10616.623074250003,2022-08-16
10616.623074250003,2022-08-17
10616.623074250003,2022-08-18
10616.623074250003,2022-08-19
10616.623074250003,2022-08-22
10616.623074250003,2022-08-23
10616.623074250003,2022-08-24
10480.7576485,2022-08-25
10492.7576485,2022-08-26
10223.807648500004,2022-08-29
10459.607348500002,2022-08-30
10221.2576485,2022-09-01
10217.357348500002,2022-09-02
10226.357348500002,2022-09-05
10207.307648500004,2022-09-06
10274.957948500003,2022-09-07
10335.107348500002,2022-09-08
10367.259099000003,2022-09-09
10359.214974250002,2022-09-12
10359.214974250002,2022-09-13
10359.214974250002,2022-09-14
10287.662575000004,2022-09-15
10000.712275000002,2022-09-16
10061.012275000005,2022-09-19
10095.512275000005,2022-09-20
9978.212275000002,2022-09-21
9996.811975000002,2022-09-22
9920.762275000005,2022-09-23
9957.811975000002,2022-09-26
10026.962275000002,2022-09-27
10081.561975000002,2022-09-28
10058.794600750003,2022-09-29
10058.794600750003,2022-09-30
10058.794600750003,2022-10-03
10058.794600750003,2022-10-04
10058.794600750003,2022-10-06
10058.794600750003,2022-10-07
10058.794600750003,2022-10-10
10058.794600750003,2022-10-11
10058.794600750003,2022-10-12
10058.794600750003,2022-10-13
10058.794600750003,2022-10-14
10058.794600750003,2022-10-17
10058.794600750003,2022-10-18
10058.794600750003,2022-10-19
10058.794600750003,2022-10-20
10058.794600750003,2022-10-21
10058.794600750003,2022-10-24
10058.794600750003,2022-10-25
10058.794600750003,2022-10-27
10058.794600750003,2022-10-28
10058.794600750003,2022-10-31
10058.794600750003,2022-11-01
10058.794600750003,2022-11-02
10058.794600750003,2022-11-03
10058.794600750003,2022-11-04
10058.794600750003,2022-11-07
