account_value,date
10000.0,2022-09-14
10000.0,2022-09-15
10000.0,2022-09-16
10000.0,2022-09-19
10000.0,2022-09-20
10000.0,2022-09-21
10000.0,2022-09-22
10000.0,2022-09-23
10000.0,2022-09-26
10000.0,2022-09-27
10000.0,2022-09-28
10000.0,2022-09-29
10000.0,2022-09-30
10000.0,2022-10-03
10000.0,2022-10-04
10000.0,2022-10-06
10000.0,2022-10-07
10000.0,2022-10-10
10000.0,2022-10-11
10000.0,2022-10-12
10000.0,2022-10-13
10000.0,2022-10-14
10000.0,2022-10-17
10000.0,2022-10-18
10000.0,2022-10-19
10000.0,2022-10-20
10000.0,2022-10-21
10000.0,2022-10-24
10000.0,2022-10-25
10000.0,2022-10-27
10000.0,2022-10-28
10047.3105,2022-10-31
10036.676500000001,2022-11-01
10036.676500000001,2022-11-02
10036.676500000001,2022-11-03
10020.187375000003,2022-11-04
10018.837375000003,2022-11-07
9906.468625000003,2022-11-09
9891.153375000004,2022-11-10
9888.600625000003,2022-11-11
9888.600625000003,2022-11-14
9888.600625000003,2022-11-15
9888.600625000003,2022-11-16
9888.600625000003,2022-11-17
9888.600625000003,2022-11-18
9888.600625000003,2022-11-21
9888.600625000003,2022-11-22
9888.600625000003,2022-11-23
9888.600625000003,2022-11-24
9888.600625000003,2022-11-25
9854.698375000004,2022-11-28
9822.769375000002,2022-11-29
9844.819375000003,2022-11-30
10065.319375000003,2022-12-01
10184.569375000003,2022-12-02
10049.569375000003,2022-12-05
9951.019375000002,2022-12-06
9854.269375000002,2022-12-07
9819.169375000003,2022-12-08
9469.519375000002,2022-12-09
9440.719375000002,2022-12-12
9563.569375000003,2022-12-13
9737.719375000002,2022-12-14
9713.754625000003,2022-12-15
9713.754625000003,2022-12-16
9713.754625000003,2022-12-19
9611.903875000004,2022-12-20
9684.803875000001,2022-12-21
9608.273625000002,2022-12-22
9590.496250000004,2022-12-23
9590.496250000004,2022-12-26
9590.496250000004,2022-12-27
9603.024625000004,2022-12-28
9595.402750000005,2022-12-29
9595.402750000005,2022-12-30
9595.402750000005,2023-01-02
9595.402750000005,2023-01-03
9595.402750000005,2023-01-04
9595.402750000005,2023-01-05
9595.402750000005,2023-01-06
9595.402750000005,2023-01-09
9595.402750000005,2023-01-10
9595.402750000005,2023-01-11
9595.402750000005,2023-01-12
9592.691125000005,2023-01-13
9585.167500000007,2023-01-16
9585.167500000007,2023-01-17
9585.167500000007,2023-01-18
9606.129625000007,2023-01-19
9544.929625000008,2023-01-20
9714.129625000007,2023-01-23
9761.829625000008,2023-01-24
9586.779625000008,2023-01-25
