trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-10-28,TECHM,Buy,4,1048.95,10.489500000000001,4195.8,10047.3105,0,4
2,2022-10-31,TECHM,Sell,4,1063.4,10.634,4253.6,10036.676500000001,4,0
3,2022-11-03,TECHM,Buy,9,1052.85,23.689125,9475.65,10020.187375000003,0,9
4,2022-11-07,TECHM,Sell,5,1053.5,13.168750000000001,5267.5,9906.468625000003,9,4
5,2022-11-09,TECHM,Sell,3,1028.7,7.715250000000001,3086.1000000000004,9891.153375000004,4,1
6,2022-11-10,TECHM,Sell,1,1021.1,2.55275,1021.1,9888.600625000003,1,0
7,2022-11-25,TECHM,Buy,6,1080.15,16.202250000000003,6480.900000000001,9854.698375000004,0,6
8,2022-11-28,TECHM,Buy,3,1077.2,8.079,3231.6000000000004,9822.769375000002,6,9
9,2022-12-14,TECHM,Sell,9,1065.1,23.96475,9585.9,9713.754625000003,9,0
10,2022-12-19,TECHM,Buy,9,1026.7,23.10075,9240.300000000001,9611.903875000004,0,9
11,2022-12-21,TECHM,Sell,2,1026.05,5.13025,2052.1,9608.273625000002,9,7
12,2022-12-22,TECHM,Sell,7,1015.85,17.777375,7110.95,9590.496250000004,7,0
13,2022-12-27,TECHM,Buy,3,1009.55,7.571624999999999,3028.6499999999996,9603.024625000004,0,3
14,2022-12-28,TECHM,Sell,3,1016.25,7.621875,3048.75,9595.402750000005,3,0
15,2023-01-12,TECHM,Buy,3,1001.55,7.5116249999999996,3004.6499999999996,9592.691125000005,0,3
16,2023-01-13,TECHM,Sell,3,1003.15,7.523625,3009.45,9585.167500000007,3,0
17,2023-01-18,TECHM,Buy,9,1048.35,23.587875,9435.15,9606.129625000007,0,9
18,2023-02-02,TECHM,Sell,7,1016.65,17.791375000000002,7116.55,9247.788250000009,9,2
19,2023-02-03,TECHM,Sell,2,1011.3,5.0565,2022.6,9242.731750000008,2,0
20,2023-04-12,TECHM,Buy,1,1109.9,2.7747500000000005,1109.9,9216.907000000008,0,1
21,2023-04-13,TECHM,Buy,3,1086.85,8.151375,3260.5499999999997,8981.155625000009,1,4
22,2023-04-17,TECHM,Sell,4,1029.95,10.2995,4119.8,8970.85612500001,4,0
23,2023-04-18,TECHM,Buy,8,1025.2,20.504,8201.6,8859.95212500001,0,8
24,2023-05-02,TECHM,Sell,8,1053.45,21.069000000000003,8427.6,9155.28312500001,8,0
25,2023-05-16,TECHM,Buy,4,1057.2,10.572000000000001,4228.8,9132.511125000012,0,4
26,2023-05-17,TECHM,Sell,4,1054.15,10.541500000000001,4216.6,9121.969625000012,4,0
27,2023-05-18,TECHM,Buy,8,1048.7,20.974,8389.6,9288.595625000013,0,8
28,2023-05-19,TECHM,Sell,8,1072.15,21.443,8577.2,9267.152625000013,8,0
29,2023-05-29,TECHM,Buy,7,1114.05,19.495874999999998,7798.349999999999,9138.106750000015,0,7
30,2023-05-30,TECHM,Buy,1,1098.4,2.7460000000000004,1098.4,9272.560750000013,7,8
31,2023-05-31,TECHM,Sell,8,1115.55,22.311,8924.4,9250.249750000014,8,0
32,2023-06-05,TECHM,Buy,5,1109.35,13.866875,5546.75,9120.882875000014,0,5
33,2023-06-06,TECHM,Buy,3,1086.25,8.146875,3258.75,9188.336000000014,5,8
34,2023-06-07,TECHM,Sell,8,1095.7,21.914,8765.6,9166.422000000015,8,0
35,2023-06-26,TECHM,Buy,8,1111.9,22.238000000000003,8895.2,9206.584000000015,0,8
36,2023-07-13,TECHM,Sell,8,1175.25,23.505,9402.0,9627.479000000016,8,0
37,2023-09-13,TECHM,Buy,7,1260.4,22.057000000000002,8822.800000000001,9741.572000000015,0,7
38,2023-09-14,TECHM,Sell,7,1279.85,22.397374999999997,8958.949999999999,9719.174625000016,7,0
39,2023-09-18,TECHM,Buy,7,1289.8,22.5715,9028.6,9588.453125000015,0,7
