account_value,date
10000.0,2021-07-23
10000.0,2021-07-26
10000.0,2021-07-27
10000.0,2021-07-28
10000.0,2021-07-29
10000.0,2021-07-30
10000.0,2021-08-02
10000.0,2021-08-03
9773.997500000001,2021-08-04
9772.497500000001,2021-08-05
9714.747500000001,2021-08-06
9771.747500000001,2021-08-09
9771.997500000001,2021-08-10
9722.997500000001,2021-08-11
9893.997500000001,2021-08-12
9965.497500000001,2021-08-13
9961.997500000001,2021-08-16
10148.247500000001,2021-08-17
10177.497500000001,2021-08-18
10159.997500000001,2021-08-20
10127.747500000001,2021-08-23
10123.997500000001,2021-08-24
9889.247500000001,2021-08-25
9852.747500000001,2021-08-26
9888.747500000001,2021-08-27
10168.247500000001,2021-08-30
10383.997500000001,2021-08-31
10472.997500000001,2021-09-01
10611.497500000001,2021-09-02
10872.497500000001,2021-09-03
10879.247500000001,2021-09-06
10945.497500000001,2021-09-07
11055.747500000001,2021-09-08
10947.497500000001,2021-09-09
10929.247500000001,2021-09-13
11054.497500000001,2021-09-14
11375.248000000001,2021-09-15
11319.497500000001,2021-09-16
11253.998000000001,2021-09-17
11162.748000000001,2021-09-20
11205.248000000001,2021-09-21
11181.247500000001,2021-09-22
11301.247500000001,2021-09-23
11240.497000000001,2021-09-24
11227.247500000001,2021-09-27
11422.497500000001,2021-09-28
11513.497500000001,2021-09-29
11585.248000000001,2021-09-30
11594.747500000001,2021-10-01
11552.497500000001,2021-10-04
11739.247000000001,2021-10-05
11514.247000000001,2021-10-06
12652.748000000001,2021-10-07
12566.997500000001,2021-10-08
12587.997000000001,2021-10-11
13238.998000000001,2021-10-12
13461.997500000001,2021-10-13
13596.247500000001,2021-10-14
13719.997500000001,2021-10-18
13200.497000000001,2021-10-19
12832.997000000001,2021-10-20
12754.497500000001,2021-10-21
12835.997500000001,2021-10-22
12671.747000000001,2021-10-25
13049.747500000001,2021-10-26
13076.498000000001,2021-10-27
12651.747000000001,2021-10-28
12693.747500000001,2021-10-29
12807.497500000001,2021-11-01
13045.747500000001,2021-11-02
12865.747500000001,2021-11-03
12934.747500000001,2021-11-04
13459.747500000001,2021-11-08
13336.498000000001,2021-11-09
13198.998000000001,2021-11-10
13416.498000000001,2021-11-11
13473.497500000001,2021-11-12
13472.997000000001,2021-11-15
13434.747500000001,2021-11-16
13272.748000000001,2021-11-17
13166.997500000001,2021-11-18
12732.497500000001,2021-11-22
12714.497500000001,2021-11-23
12655.248000000001,2021-11-24
12764.997500000001,2021-11-25
12237.497500000001,2021-11-26
12396.997500000001,2021-11-29
12653.497500000001,2021-11-30
12576.997500000001,2021-12-01
12708.497500000001,2021-12-02
12622.247500000001,2021-12-03
12402.497500000001,2021-12-06
12678.747500000001,2021-12-07
12803.747500000001,2021-12-08
12641.747000000001,2021-12-09
12472.748000000001,2021-12-10
12528.497500000001,2021-12-13
12550.248000000001,2021-12-14
12391.747000000001,2021-12-15
