account_value,date
10000.0,2022-05-17
10000.0,2022-05-18
10000.0,2022-05-19
10000.0,2022-05-20
10000.0,2022-05-23
10000.0,2022-05-24
10000.0,2022-05-25
10000.0,2022-05-26
10000.0,2022-05-27
10000.0,2022-05-30
10000.0,2022-05-31
10000.0,2022-06-01
10000.0,2022-06-02
10000.0,2022-06-03
10000.0,2022-06-06
10000.0,2022-06-07
9994.940875,2022-06-08
9970.190875,2022-06-09
10231.640875,2022-06-10
9991.790875,2022-06-13
9836.990875000001,2022-06-14
10066.040875,2022-06-15
9914.390875,2022-06-16
9606.140875,2022-06-17
9651.140875,2022-06-20
9664.190875,2022-06-21
9399.140875,2022-06-22
9479.690875,2022-06-23
9740.240875000001,2022-06-24
9653.840875,2022-06-27
9630.236125000001,2022-06-28
9630.236125000001,2022-06-29
9630.236125000001,2022-06-30
9603.953125,2022-07-01
9961.153125,2022-07-04
9978.353125,2022-07-05
10337.10225,2022-07-06
10316.592250000002,2022-07-07
10316.592250000002,2022-07-08
10316.592250000002,2022-07-11
10316.592250000002,2022-07-12
10316.592250000002,2022-07-13
10316.592250000002,2022-07-14
10316.592250000002,2022-07-15
10316.592250000002,2022-07-18
10316.592250000002,2022-07-19
10316.592250000002,2022-07-20
10316.592250000002,2022-07-21
10316.592250000002,2022-07-22
10316.592250000002,2022-07-25
10316.592250000002,2022-07-26
10316.592250000002,2022-07-27
10316.592250000002,2022-07-28
10316.592250000002,2022-07-29
10316.592250000002,2022-08-01
10316.592250000002,2022-08-02
10316.592250000002,2022-08-03
10316.592250000002,2022-08-04
10316.592250000002,2022-08-05
10316.592250000002,2022-08-08
10316.592250000002,2022-08-10
10316.592250000002,2022-08-11
10316.592250000002,2022-08-12
10316.592250000002,2022-08-16
10316.592250000002,2022-08-17
10316.592250000002,2022-08-18
10316.592250000002,2022-08-19
10316.592250000002,2022-08-22
10316.592250000002,2022-08-23
10316.592250000002,2022-08-24
10316.592250000002,2022-08-25
10316.592250000002,2022-08-26
10316.592250000002,2022-08-29
10316.592250000002,2022-08-30
10316.592250000002,2022-09-01
10316.592250000002,2022-09-02
10316.592250000002,2022-09-05
10316.592250000002,2022-09-06
10316.592250000002,2022-09-07
10316.592250000002,2022-09-08
10316.592250000002,2022-09-09
10316.592250000002,2022-09-12
10316.592250000002,2022-09-13
10316.592250000002,2022-09-14
10316.592250000002,2022-09-15
10316.592250000002,2022-09-16
10316.592250000002,2022-09-19
10316.592250000002,2022-09-20
10316.592250000002,2022-09-21
10316.592250000002,2022-09-22
10316.592250000002,2022-09-23
10316.592250000002,2022-09-26
10316.592250000002,2022-09-27
10316.592250000002,2022-09-28
10316.592250000002,2022-09-29
10316.592250000002,2022-09-30
10181.592250000002,2022-10-03
10462.718750000002,2022-10-04
10574.368750000003,2022-10-06
10569.944750000002,2022-10-07
10559.064125000004,2022-10-10
10559.064125000004,2022-10-11
10559.064125000004,2022-10-12
10559.064125000004,2022-10-13
10380.185250000002,2022-10-14
10370.735250000003,2022-10-17
10725.285250000004,2022-10-18
10692.035250000004,2022-10-19
10701.485250000003,2022-10-20
10739.985250000003,2022-10-21
10727.735250000003,2022-10-24
10760.635250000003,2022-10-25
10964.685250000002,2022-10-27
10935.635250000003,2022-10-28
11418.285250000004,2022-10-31
11391.547000000004,2022-11-01
11391.547000000004,2022-11-02
11391.547000000004,2022-11-03
11391.547000000004,2022-11-04
11391.547000000004,2022-11-07
11391.547000000004,2022-11-09
11391.547000000004,2022-11-10
11391.547000000004,2022-11-11
11391.547000000004,2022-11-14
11290.273625000005,2022-11-15
11141.173625000003,2022-11-16
11154.123625000004,2022-11-17
11058.573625000005,2022-11-18
11027.773625000005,2022-11-21
11234.273625000005,2022-11-22
11215.301375000005,2022-11-23
11211.775625000006,2022-11-24
11211.775625000006,2022-11-25
11211.775625000006,2022-11-28
11211.775625000006,2022-11-29
11211.775625000006,2022-11-30
11211.775625000006,2022-12-01
11211.775625000006,2022-12-02
11211.775625000006,2022-12-05
11211.775625000006,2022-12-06
11211.775625000006,2022-12-07
11211.775625000006,2022-12-08
11211.775625000006,2022-12-09
11211.775625000006,2022-12-12
11211.775625000006,2022-12-13
11211.775625000006,2022-12-14
11211.775625000006,2022-12-15
10985.745625000007,2022-12-16
11060.995625000007,2022-12-19
11021.445625000008,2022-12-20
10699.445625000008,2022-12-21
10461.795625000006,2022-12-22
10125.445625000008,2022-12-23
10637.145625000006,2022-12-26
10562.595625000005,2022-12-27
10556.528500000008,2022-12-28
10536.332500000008,2022-12-29
10536.332500000008,2022-12-30
10536.332500000008,2023-01-02
10536.332500000008,2023-01-03
10536.332500000008,2023-01-04
10290.184500000008,2023-01-05
10036.184500000008,2023-01-06
9808.984500000008,2023-01-09
9840.184500000008,2023-01-10
9736.584500000008,2023-01-11
9726.984500000008,2023-01-12
9694.184500000008,2023-01-13
9630.184500000008,2023-01-16
9595.784500000007,2023-01-17
9833.384500000007,2023-01-18
9808.928500000007,2023-01-19
9656.962500000007,2023-01-20
9616.562500000007,2023-01-23
9593.017500000007,2023-01-24
