trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-06-07,TRENT,Buy,9,1084.85,24.409125,9763.65,9994.940875,0,9
2,2022-06-27,TRENT,Sell,9,1049.1,23.60475,9441.9,9630.236125000001,9,0
3,2022-06-30,TRENT,Buy,8,1074.15,21.483,8593.2,9603.953125,0,8
4,2022-07-05,TRENT,Sell,1,1120.35,2.800875,1120.35,10337.10225,8,7
5,2022-07-06,TRENT,Sell,7,1172.0,20.51,8204.0,10316.592250000002,7,0
6,2022-09-30,TRENT,Buy,4,1420.0,14.200000000000001,5680.0,10181.592250000002,0,4
7,2022-10-03,TRENT,Buy,3,1389.8,10.423499999999999,4169.4,10462.718750000002,4,7
8,2022-10-06,TRENT,Sell,4,1447.4,14.474000000000002,5789.6,10569.944750000002,7,3
9,2022-10-07,TRENT,Sell,3,1450.75,10.880625,4352.25,10559.064125000004,3,0
10,2022-10-13,TRENT,Buy,7,1401.65,24.528875000000003,9811.550000000001,10380.185250000002,0,7
11,2022-10-31,TRENT,Sell,7,1527.9,26.738250000000004,10695.300000000001,11391.547000000004,7,0
12,2022-11-14,TRENT,Buy,7,1427.05,24.973375,9989.35,11290.273625000005,0,7
13,2022-11-22,TRENT,Sell,6,1408.15,21.122250000000005,8448.900000000001,11215.301375000005,7,1
14,2022-11-23,TRENT,Sell,1,1410.3,3.52575,1410.3,11211.775625000006,1,0
15,2022-12-15,TRENT,Buy,7,1436.0,25.13,10052.0,10985.745625000007,0,7
16,2022-12-27,TRENT,Sell,1,1346.85,3.3671249999999997,1346.85,10556.528500000008,7,6
17,2022-12-28,TRENT,Sell,6,1346.4,20.196,8078.400000000001,10536.332500000008,6,0
18,2023-01-04,TRENT,Buy,8,1307.4,26.148000000000003,10459.2,10290.184500000008,0,8
19,2023-01-18,TRENT,Sell,8,1222.8,24.456,9782.4,9808.928500000007,8,0
20,2023-01-19,TRENT,Buy,8,1198.3,23.966,9586.4,9656.962500000007,0,8
21,2023-01-23,TRENT,Sell,8,1177.25,23.545,9418.0,9593.017500000007,8,0
22,2023-01-31,TRENT,Buy,6,1196.6,17.948999999999998,7179.599999999999,9691.468500000008,0,6
23,2023-02-02,TRENT,Buy,1,1210.6,3.0265,1210.6,9831.392000000009,6,7
24,2023-02-09,TRENT,Sell,6,1341.9,20.128500000000003,8051.400000000001,10541.913500000008,7,1
25,2023-02-10,TRENT,Sell,1,1328.8,3.322,1328.8,10538.59150000001,1,0
26,2023-03-22,TRENT,Buy,7,1329.5,23.26625,9306.5,10624.875250000012,0,7
27,2023-04-21,TRENT,Sell,7,1383.35,24.208624999999998,9683.449999999999,10868.06662500001,7,0
28,2023-04-28,TRENT,Buy,7,1367.75,23.935625,9574.25,11115.38100000001,0,7
29,2023-05-02,TRENT,Sell,7,1406.5,24.61375,9845.5,11090.767250000012,7,0
30,2023-08-02,TRENT,Buy,6,1690.9,25.363500000000005,10145.400000000001,11044.703750000011,0,6
31,2023-08-10,TRENT,Sell,6,1895.45,28.43175,11372.7,12264.272000000012,6,0
32,2023-10-03,TRENT,Buy,2,2059.1001,10.295500500000001,4118.2002,12180.376299500012,0,2
33,2023-10-04,TRENT,Buy,4,2022.3,20.223,8089.2,12311.953299500012,2,6
34,2023-10-30,TRENT,Sell,6,2119.75,31.79625,12718.5,12713.057049500014,6,0
35,2024-04-01,TRENT,Buy,3,3886.8,29.151000000000003,11660.400000000001,12699.205749500012,0,3
