account_value,date
10000.0,2022-05-27
10000.0,2022-05-30
10000.0,2022-05-31
10000.0,2022-06-01
10000.0,2022-06-02
10000.0,2022-06-03
10000.0,2022-06-06
9959.89672475,2022-06-07
9936.54662475,2022-06-08
9886.596424750001,2022-06-09
9915.74632475,2022-06-10
9760.846424750001,2022-06-13
9833.29662475,2022-06-14
9858.846424750001,2022-06-15
9709.946524750001,2022-06-16
9581.99632475,2022-06-17
9737.99632475,2022-06-20
9823.596424750001,2022-06-21
9814.64672475,2022-06-22
9814.99632475,2022-06-23
9872.99632475,2022-06-24
9964.946524750001,2022-06-27
9977.446524750001,2022-06-28
10022.99632475,2022-06-29
10011.99632475,2022-06-30
10096.39672475,2022-07-01
10113.74632475,2022-07-04
10134.64672475,2022-07-05
10232.74632475,2022-07-06
10243.54662475,2022-07-07
10243.79662475,2022-07-08
10258.946524750001,2022-07-11
10244.31089975,2022-07-12
10249.963874500001,2022-07-13
10186.0634745,2022-07-14
10258.0634745,2022-07-15
10433.413574500002,2022-07-18
10536.863774500001,2022-07-19
10521.64914925,2022-07-20
10521.64914925,2022-07-21
10521.64914925,2022-07-22
10521.64914925,2022-07-25
10521.64914925,2022-07-26
10521.64914925,2022-07-27
10521.64914925,2022-07-28
10521.64914925,2022-07-29
10521.64914925,2022-08-01
10521.64914925,2022-08-02
10521.64914925,2022-08-03
10521.64914925,2022-08-04
10521.64914925,2022-08-05
10521.64914925,2022-08-08
10521.64914925,2022-08-10
10521.64914925,2022-08-11
10521.64914925,2022-08-12
10521.64914925,2022-08-16
10521.64914925,2022-08-17
10521.64914925,2022-08-18
10521.64914925,2022-08-19
10521.64914925,2022-08-22
10521.64914925,2022-08-23
10521.64914925,2022-08-24
10521.64914925,2022-08-25
10521.64914925,2022-08-26
10521.64914925,2022-08-29
10521.64914925,2022-08-30
10521.64914925,2022-09-01
10521.64914925,2022-09-02
10521.64914925,2022-09-05
10521.64914925,2022-09-06
10521.64914925,2022-09-07
10521.64914925,2022-09-08
10521.64914925,2022-09-09
10590.6402245,2022-09-12
10617.3399245,2022-09-13
10596.790124500001,2022-09-14
10511.0899245,2022-09-15
10202.440024500002,2022-09-16
10180.8902245,2022-09-19
10205.690024500002,2022-09-20
10189.478399750002,2022-09-21
10189.478399750002,2022-09-22
10074.430200000003,2022-09-23
10111.580100000001,2022-09-26
10127.330100000001,2022-09-27
10107.430200000003,2022-09-28
10110.379900000002,2022-09-29
10189.580100000001,2022-09-30
10173.942349750001,2022-10-03
10173.942349750001,2022-10-04
10173.942349750001,2022-10-06
10173.942349750001,2022-10-07
10173.942349750001,2022-10-10
10085.417700000002,2022-10-11
10186.367900000001,2022-10-12
10170.9236495,2022-10-13
10170.9236495,2022-10-14
10170.9236495,2022-10-17
10170.9236495,2022-10-18
10170.9236495,2022-10-19
10170.9236495,2022-10-20
10170.9236495,2022-10-21
10170.9236495,2022-10-24
10176.037249250001,2022-10-25
10197.13684925,2022-10-27
10206.18714925,2022-10-28
10475.287249250001,2022-10-31
10581.23694925,2022-11-01
10564.184699500001,2022-11-02
10564.184699500001,2022-11-03
10712.163874500002,2022-11-04
10694.931250000001,2022-11-07
10694.931250000001,2022-11-09
10694.931250000001,2022-11-10
10694.931250000001,2022-11-11
10694.931250000001,2022-11-14
10694.931250000001,2022-11-15
10694.931250000001,2022-11-16
10694.931250000001,2022-11-17
10694.931250000001,2022-11-18
10618.295024500001,2022-11-21
10706.4947245,2022-11-22
10689.387100000002,2022-11-23
10689.387100000002,2022-11-24
10689.387100000002,2022-11-25
10689.387100000002,2022-11-28
10689.387100000002,2022-11-29
10689.387100000002,2022-11-30
10689.387100000002,2022-12-01
10689.387100000002,2022-12-02
10689.387100000002,2022-12-05
10689.387100000002,2022-12-06
10689.387100000002,2022-12-07
10689.387100000002,2022-12-08
10569.789575500003,2022-12-09
10639.239775500002,2022-12-12
10717.689475500003,2022-12-13
10689.939475500003,2022-12-14
10606.289575500003,2022-12-15
10506.489775500002,2022-12-16
10568.389675500002,2022-12-19
10590.389675500002,2022-12-20
10443.089875500002,2022-12-21
10504.789575500003,2022-12-22
10487.258575750002,2022-12-23
10487.258575750002,2022-12-26
10487.258575750002,2022-12-27
10487.258575750002,2022-12-28
10487.258575750002,2022-12-29
10487.258575750002,2022-12-30
10487.258575750002,2023-01-02
10487.258575750002,2023-01-03
10487.258575750002,2023-01-04
10487.258575750002,2023-01-05
10487.258575750002,2023-01-06
10487.258575750002,2023-01-09
10487.258575750002,2023-01-10
10487.258575750002,2023-01-11
10487.258575750002,2023-01-12
10564.925000500003,2023-01-13
10600.875200500002,2023-01-16
10693.675000500003,2023-01-17
10599.475300500002,2023-01-18
10528.375200500002,2023-01-19
10493.175000500003,2023-01-20
10165.775100500003,2023-01-23
10125.725300500002,2023-01-24
10021.125200500002,2023-01-25
10031.625200500002,2023-01-27
10203.725300500002,2023-01-30
10186.506050000004,2023-01-31
10186.506050000004,2023-02-01
10186.506050000004,2023-02-02
10186.506050000004,2023-02-03
10186.506050000004,2023-02-06
10186.506050000004,2023-02-07
10186.506050000004,2023-02-08
10186.506050000004,2023-02-09
10194.856475000004,2023-02-10
10168.056675000003,2023-02-13
10128.006875000005,2023-02-14
10140.656775000003,2023-02-15
10160.556675000003,2023-02-16
10286.656775000003,2023-02-17
10415.656775000003,2023-02-20
10329.356475000004,2023-02-21
10194.556675000003,2023-02-22
10165.756875000005,2023-02-23
10205.506875000005,2023-02-24
10175.456575000004,2023-02-27
10250.106475000004,2023-02-28
10262.956575000004,2023-03-01
10278.006875000005,2023-03-02
10204.756875000005,2023-03-03
10189.406775000003,2023-03-06
10256.056675000003,2023-03-08
10237.888550000005,2023-03-09
10237.888550000005,2023-03-10
10069.022750250006,2023-03-13
10057.372850250005,2023-03-14
10094.172650250006,2023-03-15
10076.420775250004,2023-03-16
10076.420775250004,2023-03-17
10076.420775250004,2023-03-20
10076.420775250004,2023-03-21
10101.938800250005,2023-03-22
10113.239100250004,2023-03-23
10110.938800250005,2023-03-24
10155.489100250004,2023-03-27
10108.389000250005,2023-03-28
10276.038900250005,2023-03-29
10327.438800250005,2023-03-31
10308.383425500004,2023-04-03
10308.383425500004,2023-04-05
10308.383425500004,2023-04-06
10308.383425500004,2023-04-10
10308.383425500004,2023-04-11
10308.383425500004,2023-04-12
10308.383425500004,2023-04-13
10376.445500500005,2023-04-17
10229.295100500003,2023-04-18
10149.895200500005,2023-04-19
10109.795100500003,2023-04-20
9992.495300500004,2023-04-21
10074.545100500003,2023-04-24
10073.195500500005,2023-04-25
10054.597500000005,2023-04-26
10054.597500000005,2023-04-27
10054.597500000005,2023-04-28
10054.597500000005,2023-05-02
10054.597500000005,2023-05-03
10054.597500000005,2023-05-04
10054.597500000005,2023-05-05
10054.597500000005,2023-05-08
10054.597500000005,2023-05-09
10054.597500000005,2023-05-10
10127.489499500007,2023-05-11
9994.989499500007,2023-05-12
10052.989499500007,2023-05-15
9990.739499500007,2023-05-16
9992.489499500007,2023-05-17
9896.189199500006,2023-05-18
9973.339099500005,2023-05-19
10007.689199500006,2023-05-22
9946.289299500006,2023-05-23
9945.839099500005,2023-05-24
9913.789299500006,2023-05-25
9894.734924500006,2023-05-26
9894.734924500006,2023-05-29
9894.734924500006,2023-05-30
9894.734924500006,2023-05-31
9894.734924500006,2023-06-01
9882.978025000008,2023-06-02
9914.328125000007,2023-06-05
10141.877925000006,2023-06-06
10121.604050500006,2023-06-07
10121.604050500006,2023-06-08
10121.604050500006,2023-06-09
10121.604050500006,2023-06-12
10121.604050500006,2023-06-13
10121.604050500006,2023-06-14
10121.604050500006,2023-06-15
10121.604050500006,2023-06-16
10121.604050500006,2023-06-19
10121.604050500006,2023-06-20
10099.095025000008,2023-06-21
10020.295225000007,2023-06-22
9937.745425000008,2023-06-23
10024.645325000007,2023-06-26
10066.045225000007,2023-06-27
10118.195625000008,2023-06-28
10097.543999000009,2023-06-30
10097.543999000009,2023-07-03
10097.543999000009,2023-07-04
10097.543999000009,2023-07-05
10097.543999000009,2023-07-06
10097.543999000009,2023-07-07
10097.543999000009,2023-07-10
10097.543999000009,2023-07-11
10097.543999000009,2023-07-12
10097.543999000009,2023-07-13
10097.543999000009,2023-07-14
10097.543999000009,2023-07-17
10097.543999000009,2023-07-18
10230.30419900001,2023-07-19
10209.48119850001,2023-07-20
10209.48119850001,2023-07-21
10209.48119850001,2023-07-24
10209.48119850001,2023-07-25
10209.48119850001,2023-07-26
10124.50072450001,2023-07-27
10143.00072450001,2023-07-28
10154.401124500011,2023-07-31
10118.050524500011,2023-08-01
10123.95092450001,2023-08-02
9972.400624500011,2023-08-03
9994.400624500011,2023-08-04
10011.700924500012,2023-08-07
9993.10082450001,2023-08-08
9972.708699250012,2023-08-09
9972.708699250012,2023-08-10
9972.708699250012,2023-08-11
9972.708699250012,2023-08-14
9972.708699250012,2023-08-16
9972.708699250012,2023-08-17
9972.708699250012,2023-08-18
9972.708699250012,2023-08-21
9972.708699250012,2023-08-22
9972.708699250012,2023-08-23
9972.708699250012,2023-08-24
9812.229998250012,2023-08-25
9858.429698250013,2023-08-28
9940.479998250012,2023-08-29
10006.729998250012,2023-08-30
10038.229998250012,2023-08-31
10003.180198250013,2023-09-01
10323.329598250013,2023-09-04
10195.629398250012,2023-09-05
