trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-06-06,ULTRACEMCO,Buy,1,5581.3501,13.953375249999999,5581.3501,9959.89672475,0,1
2,2022-07-11,ULTRACEMCO,Sell,1,5854.25,14.635625000000001,5854.25,10244.31089975,1,0
3,2022-07-12,ULTRACEMCO,Buy,1,5778.8501,14.44712525,5778.8501,10249.963874500001,0,1
4,2022-07-19,ULTRACEMCO,Sell,1,6085.8501,15.21462525,6085.8501,10521.64914925,1,0
5,2022-09-09,ULTRACEMCO,Buy,1,6783.6499,16.95912475,6783.6499,10590.6402245,0,1
6,2022-09-20,ULTRACEMCO,Sell,1,6484.6499,16.211624750000002,6484.6499,10189.478399750002,1,0
7,2022-09-22,ULTRACEMCO,Buy,1,6239.3999,15.598499750000002,6239.3999,10074.430200000003,0,1
8,2022-09-30,ULTRACEMCO,Sell,1,6255.1001,15.63775025,6255.1001,10173.942349750001,1,0
9,2022-10-10,ULTRACEMCO,Buy,1,6149.8999,15.374749750000001,6149.8999,10085.417700000002,0,1
10,2022-10-12,ULTRACEMCO,Sell,1,6177.7002,15.4442505,6177.7002,10170.9236495,1,0
11,2022-10-24,ULTRACEMCO,Buy,1,6394.6001,15.986500249999999,6394.6001,10176.037249250001,0,1
12,2022-11-01,ULTRACEMCO,Sell,1,6820.8999,17.05224975,6820.8999,10564.184699500001,1,0
13,2022-11-03,ULTRACEMCO,Buy,1,6728.25,16.820625,6728.25,10712.163874500002,0,1
14,2022-11-04,ULTRACEMCO,Sell,1,6893.0498,17.2326245,6893.0498,10694.931250000001,1,0
15,2022-11-18,ULTRACEMCO,Buy,1,6814.4502,17.0361255,6814.4502,10618.295024500001,0,1
16,2022-11-22,ULTRACEMCO,Sell,1,6843.0498,17.1076245,6843.0498,10689.387100000002,1,0
17,2022-12-08,ULTRACEMCO,Buy,1,7179.0498,17.9476245,7179.0498,10569.789575500003,0,1
18,2022-12-22,ULTRACEMCO,Sell,1,7012.3999,17.530999750000003,7012.3999,10487.258575750002,1,0
19,2023-01-12,ULTRACEMCO,Buy,1,7153.3501,17.88337525,7153.3501,10564.925000500003,0,1
20,2023-01-30,ULTRACEMCO,Sell,1,6887.7002,17.2192505,6887.7002,10186.506050000004,1,0
21,2023-02-09,ULTRACEMCO,Buy,1,7179.75,17.949375,7179.75,10194.856475000004,0,1
22,2023-03-08,ULTRACEMCO,Sell,1,7267.25,18.168125,7267.25,10237.888550000005,1,0
23,2023-03-10,ULTRACEMCO,Buy,1,7226.3999,18.06599975,7226.3999,10069.022750250006,0,1
24,2023-03-15,ULTRACEMCO,Sell,1,7100.75,17.751875000000002,7100.75,10076.420775250004,1,0
25,2023-03-21,ULTRACEMCO,Buy,1,7352.75,18.381875,7352.75,10101.938800250005,0,1
26,2023-03-31,ULTRACEMCO,Sell,1,7622.1499,19.055374750000002,7622.1499,10308.383425500004,1,0
27,2023-04-13,ULTRACEMCO,Buy,1,7655.25,19.138125,7655.25,10376.445500500005,0,1
28,2023-04-25,ULTRACEMCO,Sell,1,7439.2002,18.5980005,7439.2002,10054.597500000005,1,0
29,2023-05-10,ULTRACEMCO,Buy,1,7743.2002,19.3580005,7743.2002,10127.489499500007,0,1
30,2023-05-25,ULTRACEMCO,Sell,1,7621.75,19.054375,7621.75,9894.734924500006,1,0
31,2023-06-01,ULTRACEMCO,Buy,1,7842.7998,19.6069995,7842.7998,9882.978025000008,0,1
32,2023-06-06,ULTRACEMCO,Sell,1,8109.5498,20.2738745,8109.5498,10121.604050500006,1,0
33,2023-06-20,ULTRACEMCO,Buy,1,8243.4502,20.6086255,8243.4502,10099.095025000008,0,1
34,2023-06-28,ULTRACEMCO,Sell,1,8260.6504,20.651626,8260.6504,10097.543999000009,1,0
35,2023-07-18,ULTRACEMCO,Buy,1,8176.0,20.44,8176.0,10230.30419900001,0,1
36,2023-07-19,ULTRACEMCO,Sell,1,8329.2002,20.8230005,8329.2002,10209.48119850001,1,0
37,2023-07-26,ULTRACEMCO,Buy,1,8352.3496,20.880874,8352.3496,10124.50072450001,0,1
38,2023-08-08,ULTRACEMCO,Sell,1,8156.8501,20.39212525,8156.8501,9972.708699250012,1,0
39,2023-08-24,ULTRACEMCO,Buy,1,8211.4004,20.528501000000002,8211.4004,9812.229998250012,0,1
40,2023-09-14,ULTRACEMCO,Sell,1,8687.9502,21.719875499999997,8687.9502,10407.010122750013,1,0
41,2023-09-18,ULTRACEMCO,Buy,1,8628.0,21.57,8628.0,10215.590522750013,0,1
42,2023-09-26,ULTRACEMCO,Sell,1,8228.9004,20.572251,8228.9004,9965.768271750014,1,0
43,2023-10-20,ULTRACEMCO,Buy,1,8461.0498,21.1526245,8461.0498,9808.815847250013,0,1
44,2023-11-08,ULTRACEMCO,Sell,1,8698.8496,21.747124,8698.8496,10160.668323250013,1,0
45,2023-11-09,ULTRACEMCO,Buy,1,8627.0498,21.5676245,8627.0498,10222.900498750012,0,1
46,2023-11-10,ULTRACEMCO,Sell,1,8710.8496,21.777124,8710.8496,10201.123374750012,1,0
47,2023-11-20,ULTRACEMCO,Buy,1,8661.5,21.65375,8661.5,10226.319224750012,0,1
48,2023-11-28,ULTRACEMCO,Sell,1,8726.5,21.81625,8726.5,10222.653374750013,1,0
49,2024-03-04,ULTRACEMCO,Buy,1,9978.4004,24.946001000000003,9978.4004,10057.656573750011,0,1
50,2024-03-05,ULTRACEMCO,Sell,1,9838.3496,24.595874,9838.3496,10033.060699750013,1,0
51,2024-04-04,ULTRACEMCO,Buy,1,10005.1,25.01275,10005.1,9826.547549750012,0,1
52,2024-04-15,ULTRACEMCO,Sell,1,9506.25,23.765625,9506.25,9485.432324750012,1,0
53,2024-04-18,ULTRACEMCO,Buy,1,9382.75,23.456875,9382.75,9443.175649750012,0,1
54,2024-04-22,ULTRACEMCO,Sell,1,9565.25,23.913125,9565.25,9620.562324750013,1,0
55,2024-05-08,ULTRACEMCO,Buy,1,9519.4004,23.798501,9519.4004,9523.463023750013,0,1
56,2024-05-09,ULTRACEMCO,Sell,1,9446.0996,23.615249,9446.0996,9499.847774750013,1,0
