account_value,date
10000.0,2021-02-01
10136.21211,2021-02-02
10257.236875,2021-02-03
10231.768750000001,2021-02-04
10123.273750500002,2021-02-05
10348.675188087502,2021-02-08
10443.850658087504,2021-02-09
10435.625423087502,2021-02-10
10388.625423087502,2021-02-11
10506.125423087502,2021-02-12
10452.075658087502,2021-02-15
10401.550188087502,2021-02-16
10228.825658087502,2021-02-17
10293.450658087502,2021-02-18
10222.950658087502,2021-02-19
9958.575658087502,2021-02-22
9883.375423087502,2021-02-23
10061.975658087504,2021-02-24
10019.675188087502,2021-02-25
9761.175188087502,2021-02-26
9857.525188087504,2021-03-01
10233.525188087504,2021-03-02
10353.375423087502,2021-03-03
10430.925188087502,2021-03-04
10009.100658087504,2021-03-05
9916.275188087504,2021-03-08
9970.325658087502,2021-03-09
10146.575658087502,2021-03-10
10111.325658087502,2021-03-12
10138.350658087504,2021-03-15
10207.675188087502,2021-03-16
9980.900188087504,2021-03-17
9757.650188087504,2021-03-18
9765.875423087502,2021-03-19
9858.700658087502,2021-03-22
9883.375423087502,2021-03-23
9777.625423087502,2021-03-24
9510.900188087504,2021-03-25
9610.775188087504,2021-03-26
9944.475658087504,2021-03-30
9851.650188087504,2021-03-31
9904.525188087504,2021-04-01
10117.200658087502,2021-04-05
10157.150188087504,2021-04-06
10412.125423087502,2021-04-07
10508.475658087504,2021-04-08
10696.475658087504,2021-04-09
10285.225658087504,2021-04-12
9964.450658087502,2021-04-13
10240.575658087502,2021-04-15
11145.325658087502,2021-04-16
11228.750423087502,2021-04-19
11166.475658087504,2021-04-20
11555.400188087504,2021-04-22
11298.075658087502,2021-04-23
11406.175188087502,2021-04-26
11517.800188087502,2021-04-27
11617.675188087502,2021-04-28
11630.600658087504,2021-04-29
11698.750423087502,2021-04-30
11571.850658087504,2021-05-03
11444.950658087502,2021-05-04
11648.225658087504,2021-05-05
12158.175188087502,2021-05-06
12227.500423087502,2021-05-07
12478.950658087502,2021-05-10
12301.525893087502,2021-05-11
12047.725658087504,2021-05-12
11832.700658087502,2021-05-14
11864.425188087502,2021-05-17
12058.300188087502,2021-05-18
12142.900188087504,2021-05-19
12063.000423087502,2021-05-20
12167.575658087502,2021-05-21
12219.275893087502,2021-05-24
12281.550188087502,2021-05-25
12509.500423087502,2021-05-26
12830.275893087502,2021-05-27
12778.575658087502,2021-05-28
12786.800188087502,2021-05-31
12874.925188087502,2021-06-01
12879.625423087502,2021-06-02
12786.800188087502,2021-06-03
12837.325658087502,2021-06-04
13003.000423087502,2021-06-07
13058.224953087501,2021-06-08
12907.825658087502,2021-06-09
13144.000423087502,2021-06-10
13145.175188087502,2021-06-11
13316.724953087501,2021-06-14
13229.775893087502,2021-06-15
13167.500423087502,2021-06-16
13248.575658087502,2021-06-17
13039.425188087502,2021-06-18
12859.650893087502,2021-06-21
13198.050188087502,2021-06-22
12812.650893087502,2021-06-23
13021.800188087502,2021-06-24
12985.375423087502,2021-06-25
12983.025893087502,2021-06-28
12870.224953087501,2021-06-29
12941.900893087502,2021-06-30
12793.849953087501,2021-07-01
12776.224953087501,2021-07-02
12723.349953087501,2021-07-05
12635.224953087501,2021-07-06
