trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-02-01,WIPRO,Buy,47,210.75,24.763125000000002,9905.25,10136.21211,0,47
2,2021-02-03,WIPRO,Sell,47,216.75,25.468125,10187.25,10231.768750000001,47,0
3,2021-02-04,WIPRO,Buy,40,214.949995,21.4949995,8597.9998,10123.273750500002,0,40
4,2021-02-05,WIPRO,Buy,7,212.774995,3.7235624124999998,1489.424965,10348.675188087502,40,47
5,2021-07-14,WIPRO,Sell,47,280.850005,32.9998755875,13199.950235,13286.075782500004,47,0
6,2021-07-16,WIPRO,Buy,4,288.875,2.88875,1155.5,13275.287012500004,0,4
7,2021-07-19,WIPRO,Buy,42,286.899995,30.124499474999997,12049.79979,13114.062283025005,4,46
8,2021-10-08,WIPRO,Sell,46,330.57501,38.01612615,15206.45046,15216.197076875005,46,0
9,2021-10-11,WIPRO,Buy,46,326.399995,37.535999425,15014.39977,15323.560847450006,0,46
10,2023-10-11,WIPRO,Sell,3,210.574995,1.5793124625000001,631.7249850000001,9762.057194987505,46,43
11,2023-10-12,WIPRO,Buy,3,208.550005,1.5641250375,625.6500149999999,9621.342609950007,43,46
12,2024-06-07,WIPRO,Sell,46,242.274995,27.861624425000002,11144.64977,11283.980985525008,46,0
13,2024-06-11,WIPRO,Buy,27,238.024995,16.0666871625,6426.674865,11279.389298362508,0,27
14,2024-06-12,WIPRO,Buy,20,238.449995,11.92249975,4768.9999,11401.41726861251,27,47
15,2025-01-20,WIPRO,Sell,47,300.25,35.279375,14111.75,14136.78765861251,47,0
16,2025-01-24,WIPRO,Buy,41,320.1,32.81025,13124.1,13605.82740861251,0,41
17,2025-01-27,WIPRO,Buy,3,307.95,2.309625,923.8499999999999,13412.117783612512,41,44
