trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-09-28,ADANIENT,Buy,2,3548.75,17.743750000000002,7097.5,9826.15625,0,2
2,2022-10-24,ADANIENT,Sell,2,3309.8,16.549,6619.6,9487.807250000002,2,0
3,2022-11-28,ADANIENT,Buy,2,3886.1499,19.4307495,7772.2998,9452.876500500002,0,2
4,2022-12-07,ADANIENT,Sell,2,3999.3,19.9965,7998.6,9674.680200500003,2,0
5,2022-12-22,ADANIENT,Buy,2,3868.55,19.342750000000002,7737.1,9202.637450500002,0,2
6,2023-02-02,ADANIENT,Buy,1,1565.25,3.913125,1565.25,5109.474325500002,2,3
7,2023-03-03,ADANIENT,Sell,3,1879.5,14.09625,5638.5,5973.478075500003,3,0
8,2023-03-29,ADANIENT,Buy,3,1740.4,13.053000000000003,5221.200000000001,5990.575075500003,0,3
9,2023-04-10,ADANIENT,Sell,3,1797.25,13.479375000000001,5391.75,6117.495700500002,3,0
10,2023-06-19,ADANIENT,Buy,2,2401.3999,12.0069995,4802.7998,6132.2889010000035,0,2
11,2023-07-11,ADANIENT,Sell,2,2422.8999,12.114499499999999,4845.7998,6136.374201500003,2,0
12,2023-07-13,ADANIENT,Buy,2,2362.05,11.810250000000002,4724.1,6152.664151500004,0,2
13,2023-07-18,ADANIENT,Sell,2,2416.8999,12.0844995,4833.7998,6222.1792520000035,2,0
14,2023-08-16,ADANIENT,Buy,2,2445.1001,12.2255005,4890.2002,6279.153551500003,0,2
15,2023-08-21,ADANIENT,Sell,2,2639.75,13.19875,5279.5,6586.054801500004,2,0
16,2023-08-28,ADANIENT,Buy,2,2472.45,12.36225,4944.9,6641.692551500004,0,2
17,2023-09-11,ADANIENT,Sell,2,2614.95,13.07475,5229.9,6845.617801500004,2,0
18,2023-09-20,ADANIENT,Buy,2,2470.3,12.351500000000001,4940.6,6851.166301500004,0,2
19,2023-10-12,ADANIENT,Sell,2,2506.3501,12.531750500000001,5012.7002,6892.834751000005,2,0
20,2023-10-13,ADANIENT,Buy,2,2454.55,12.272750000000002,4909.1,6830.162201000005,0,2
21,2023-11-28,ADANIENT,Sell,2,2423.5,12.1175,4847.0,6806.344501000005,2,0
22,2023-12-28,ADANIENT,Buy,2,2809.8999,14.0494995,5619.7998,6870.395201500005,0,2
23,2024-01-03,ADANIENT,Sell,2,3003.0,15.015,6006.0,7163.480201500006,2,0
24,2024-01-18,ADANIENT,Buy,2,2918.8999,14.5944995,5837.7998,7142.385702000006,0,2
25,2024-01-31,ADANIENT,Sell,2,3142.0,15.71,6284.0,7579.375902000006,2,0
26,2024-03-07,ADANIENT,Buy,2,3226.55,16.13275,6453.1,7524.843352000006,0,2
27,2024-04-01,ADANIENT,Sell,2,3252.1001,16.2605005,6504.2002,7598.082851500007,2,0
28,2024-04-16,ADANIENT,Buy,2,3106.3999,15.5319995,6212.7998,7408.351052000007,0,2
29,2024-05-16,ADANIENT,Sell,2,3041.6499,15.208249499999999,6083.2998,7437.842602500007,2,0
30,2024-06-06,ADANIENT,Buy,2,3185.6499,15.9282495,6371.2998,7489.714553000008,0,2
31,2024-06-19,ADANIENT,Sell,2,3261.8999,16.3094995,6523.7998,7558.104853500008,2,0
32,2024-06-21,ADANIENT,Buy,2,3189.3,15.946500000000002,6378.6,7552.758553500008,0,2
33,2024-07-31,ADANIENT,Sell,2,3169.3999,15.846999499999999,6338.7998,7486.511154000008,2,0
34,2024-08-16,ADANIENT,Buy,2,3108.8,15.544,6217.6,7458.467154000008,0,2
35,2024-09-24,ADANIENT,Sell,2,3093.9,15.4695,6187.8,7425.697654000009,2,0
36,2024-10-17,ADANIENT,Buy,2,3013.75,15.06875,6027.5,7387.128904000009,0,2
37,2024-11-05,ADANIENT,Sell,2,2915.55,14.577750000000002,5831.1,7199.65115400001,2,0
38,2024-11-14,ADANIENT,Buy,2,2826.8,14.134,5653.6,7169.317154000009,0,2
39,2024-12-05,ADANIENT,Sell,2,2522.55,12.612750000000002,5045.1,6564.404404000011,2,0
40,2024-12-24,ADANIENT,Buy,2,2372.45,11.86225,4744.9,6608.142154000011,0,2
41,2024-12-30,ADANIENT,Sell,2,2592.35,12.96175,5184.7,6979.380404000011,2,0
42,2025-01-14,ADANIENT,Buy,2,2380.55,11.902750000000001,4761.1,6982.677654000011,0,2
43,2025-02-12,ADANIENT,Sell,2,2353.45,11.767249999999999,4706.9,6901.510404000011,2,0
44,2025-02-13,ADANIENT,Buy,3,2244.7,16.83525,6734.099999999999,6608.525154000012,0,3
45,2025-03-06,ADANIENT,Sell,3,2252.85,16.896375,6758.549999999999,6892.228779000011,3,0
46,2025-04-09,ADANIENT,Buy,3,2236.9,16.776750000000003,6710.700000000001,7128.952029000011,0,3
47,2025-04-15,ADANIENT,Sell,3,2418.2,18.136499999999998,7254.599999999999,7401.21552900001,3,0
48,2025-04-30,ADANIENT,Buy,3,2301.3,17.25975,6903.900000000001,7362.65577900001,0,3
49,2025-05-05,ADANIENT,Sell,3,2455.5,18.41625,7366.5,7828.139529000011,3,0
50,2025-05-06,ADANIENT,Buy,3,2354.0,17.655,7062.0,7807.7845290000105,0,3
51,2025-05-13,ADANIENT,Sell,3,2441.2,18.308999999999997,7323.599999999999,8053.775529000011,3,0
52,2025-06-13,ADANIENT,Buy,3,2507.9,18.809250000000002,7523.700000000001,8143.266279000011,0,3
53,2025-06-26,ADANIENT,Sell,3,2586.2,19.3965,7758.599999999999,8250.46977900001,3,0
