trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-04-06,HDFCBANK,Buy,6,1440.25,21.60375,8641.5,10020.09625,0,6
2,2021-05-19,HDFCBANK,Sell,6,1458.2,21.873,8749.2,10064.223250000001,6,0
3,2021-05-21,HDFCBANK,Buy,6,1497.3,22.4595,8983.8,10117.663750000003,0,6
4,2021-05-24,HDFCBANK,Sell,6,1509.95,22.649250000000002,9059.7,10095.014500000003,6,0
5,2021-07-26,HDFCBANK,Buy,7,1434.55,25.104625000000002,10041.85,10106.309875000003,0,7
6,2021-08-13,HDFCBANK,Sell,7,1526.2,26.7085,10683.4,10684.751375000003,7,0
7,2021-11-10,HDFCBANK,Buy,6,1555.25,23.32875,9331.5,10619.722625000004,0,6
8,2022-01-11,HDFCBANK,Sell,6,1565.9,23.488500000000005,9395.400000000001,10701.834125000007,6,0
9,2022-02-28,HDFCBANK,Buy,7,1426.25,24.959375,9983.75,10312.874750000006,0,7
10,2022-03-31,HDFCBANK,Sell,7,1470.35,25.731125,10292.449999999999,10959.843625000005,7,0
11,2022-04-21,HDFCBANK,Buy,7,1374.35,24.051125,9620.449999999999,10804.542500000005,0,7
12,2022-05-12,HDFCBANK,Buy,1,1303.05,3.257625,1303.05,10339.834875000006,7,8
13,2022-06-02,HDFCBANK,Sell,8,1385.1,27.701999999999998,11080.8,11062.132875000007,8,0
14,2022-06-14,HDFCBANK,Buy,8,1312.0,26.240000000000002,10496.0,10999.492875000007,0,8
15,2022-07-06,HDFCBANK,Sell,8,1371.25,27.425,10970.0,11482.467875000008,8,0
16,2022-09-28,HDFCBANK,Buy,8,1389.55,27.791,11116.4,11397.076875000008,0,8
17,2022-10-27,HDFCBANK,Sell,8,1454.4,29.088,11635.2,11944.38887500001,8,0
18,2023-01-12,HDFCBANK,Buy,4,1599.4,15.994000000000002,6397.6,11933.394875000009,0,4
19,2023-01-13,HDFCBANK,Sell,4,1600.65,16.006500000000003,6402.6,11917.38837500001,4,0
20,2023-03-01,HDFCBANK,Buy,5,1598.05,19.975625,7990.25,11829.41275000001,0,5
21,2023-03-02,HDFCBANK,Buy,2,1584.45,7.92225,3168.9,12041.640500000012,5,7
22,2023-03-06,HDFCBANK,Sell,7,1627.3,28.47775,11391.1,12092.962750000012,7,0
23,2023-03-14,HDFCBANK,Buy,7,1564.35,27.376125,10950.449999999999,11908.436625000015,0,7
24,2023-03-23,HDFCBANK,Sell,7,1563.15,27.355125000000005,10942.050000000001,12029.831500000015,7,0
25,2023-03-24,HDFCBANK,Buy,7,1560.65,27.311375,10924.550000000001,12050.120125000014,0,7
26,2023-04-06,HDFCBANK,Sell,7,1666.35,29.161125,11664.449999999999,12713.259000000015,7,0
27,2023-05-25,HDFCBANK,Buy,6,1609.6,24.144,9657.599999999999,12726.315000000015,0,6
28,2023-05-26,HDFCBANK,Buy,1,1615.8,4.0395,1615.8,12860.175500000016,6,7
29,2023-06-19,HDFCBANK,Sell,7,1604.15,28.072625000000002,11229.050000000001,12612.652875000018,7,0
30,2023-08-14,HDFCBANK,Buy,7,1610.9,28.190750000000005,11276.300000000001,12551.562125000017,0,7
31,2023-09-13,HDFCBANK,Sell,7,1643.9,28.768250000000002,11507.300000000001,12786.693875000019,7,0
32,2023-09-25,HDFCBANK,Buy,8,1531.0,30.62,12248.0,12809.27387500002,0,8
33,2023-11-20,HDFCBANK,Sell,8,1505.2,30.104000000000003,12041.6,12519.569875000021,8,0
34,2023-11-21,HDFCBANK,Buy,8,1517.95,30.359,12143.6,12446.010875000022,0,8
35,2023-11-22,HDFCBANK,Sell,8,1512.55,30.251,12100.4,12415.759875000022,8,0
36,2024-01-17,HDFCBANK,Buy,8,1537.5,30.75,12300.0,11974.209875000022,0,8
37,2024-03-21,HDFCBANK,Sell,3,1445.75,10.843125,4337.25,11625.666750000022,8,5
38,2024-03-22,HDFCBANK,Sell,5,1442.85,18.035625,7214.25,11607.631125000022,5,0
39,2024-05-13,HDFCBANK,Buy,7,1455.25,25.466875,10186.75,11622.064250000021,0,7
40,2024-05-29,HDFCBANK,Sell,7,1508.3,26.39525,10558.1,11927.119000000022,7,0
41,2024-07-22,HDFCBANK,Buy,4,1642.55,16.4255,6570.2,11814.093500000025,0,4
42,2024-07-23,HDFCBANK,Sell,4,1618.4,16.184,6473.6,11797.909500000023,4,0
43,2024-07-24,HDFCBANK,Buy,7,1604.05,28.070875,11228.35,11857.688625000023,0,7
44,2024-08-05,HDFCBANK,Sell,7,1615.75,28.275625,11310.25,11823.463000000023,7,0
45,2025-01-01,HDFCBANK,Buy,6,1782.75,26.74125,10696.5,11862.721750000024,0,6
46,2025-02-07,HDFCBANK,Sell,6,1732.75,25.99125,10396.5,11470.730500000025,6,0
