account_value,date
10000.0,2022-09-16
10000.0,2022-09-19
10000.0,2022-09-20
10000.0,2022-09-21
10000.0,2022-09-22
10000.0,2022-09-23
10000.0,2022-09-26
10000.0,2022-09-27
10000.0,2022-09-28
9826.15625,2022-09-29
9796.25625,2022-09-30
9199.35625,2022-10-03
9360.15625,2022-10-04
9454.75625,2022-10-06
9439.956450000001,2022-10-07
9377.25625,2022-10-10
9432.65625,2022-10-11
9332.05605,2022-10-12
9352.05605,2022-10-13
9303.75625,2022-10-14
9309.956450000001,2022-10-17
9453.35625,2022-10-18
9439.25625,2022-10-19
9598.956450000001,2022-10-20
9508.55605,2022-10-21
9504.35625,2022-10-24
9485.75625,2022-10-25
9534.75625,2022-10-27
9531.35625,2022-10-28
9579.65625,2022-10-31
10036.15625,2022-11-01
10046.15625,2022-11-02
10065.55605,2022-11-03
10047.6040505,2022-11-04
10047.6040505,2022-11-07
10047.6040505,2022-11-09
10047.6040505,2022-11-10
10047.6040505,2022-11-11
10047.6040505,2022-11-14
10047.6040505,2022-11-15
10047.6040505,2022-11-16
10047.6040505,2022-11-17
10047.6040505,2022-11-18
10047.6040505,2022-11-21
10047.6040505,2022-11-22
10047.6040505,2022-11-23
10047.6040505,2022-11-24
10047.6040505,2022-11-25
10047.6040505,2022-11-28
10047.6040505,2022-11-29
10047.6040505,2022-11-30
10047.6040505,2022-12-01
10047.6040505,2022-12-02
10047.6040505,2022-12-05
10047.6040505,2022-12-06
10047.6040505,2022-12-07
10047.6040505,2022-12-08
10047.6040505,2022-12-09
10047.6040505,2022-12-12
10047.6040505,2022-12-13
10047.6040505,2022-12-14
10047.6040505,2022-12-15
10047.6040505,2022-12-16
10047.6040505,2022-12-19
10047.6040505,2022-12-20
10047.6040505,2022-12-21
10047.6040505,2022-12-22
9575.5613005,2022-12-23
9724.6613005,2022-12-26
9830.4611005,2022-12-27
9886.5613005,2022-12-28
9912.3615005,2022-12-29
10007.8615005,2022-12-30
9988.56975,2023-01-02
9988.56975,2023-01-03
9988.56975,2023-01-04
9988.56975,2023-01-05
9958.32075,2023-01-06
10020.420750000001,2023-01-09
9603.62055,2023-01-10
9581.420750000001,2023-01-11
9604.22075,2023-01-12
9752.12055,2023-01-13
9549.420750000001,2023-01-16
9588.520950000002,2023-01-17
9503.22075,2023-01-18
9236.920750000001,2023-01-19
9222.12055,2023-01-20
9182.520950000002,2023-01-23
9193.82075,2023-01-24
9087.72075,2023-01-25
7832.72075,2023-01-27
8095.520950000001,2023-01-30
8257.62055,2023-01-31
6580.520950000001,2023-02-01
4864.882274750001,2023-02-02
4929.53227475,2023-02-03
4887.232274750001,2023-02-06
5577.982274750001,2023-02-07
6661.882274750001,2023-02-08
5946.232274750001,2023-02-09
5709.982274750001,2023-02-10
5322.0822747500015,2023-02-13
5418.232274750001,2023-02-14
5506.43227475,2023-02-15
5558.93227475,2023-02-16
5337.232274750001,2023-02-17
5033.482274750001,2023-02-20
4882.43227475,2023-02-21
4383.68227475,2023-02-22
4317.0822747500015,2023-02-23
4116.082274750001,2023-02-24
3749.6322747500008,2023-02-27
4260.682274750001,2023-02-28
4862.03227475,2023-03-01
4990.882274750001,2023-03-02
5807.632274750001,2023-03-03
6117.8322747500015,2023-03-06
6288.0822747500015,2023-03-08
6028.5822747500015,2023-03-09
5857.732274750001,2023-03-10
5792.3322747500015,2023-03-13
5383.732274750001,2023-03-14
5686.132274750001,2023-03-15
5700.53227475,2023-03-16
5798.78227475,2023-03-17
5784.70814975,2023-03-20
5829.07102475,2023-03-21
5815.389149750001,2023-03-22
5815.389149750001,2023-03-23
5641.884149750002,2023-03-24
5589.0841497500005,2023-03-27
5222.48414975,2023-03-28
5641.134149750002,2023-03-29
5671.284149750001,2023-03-31
5658.155774750002,2023-04-03
5658.155774750002,2023-04-05
5813.570774750002,2023-04-06
5800.4153997500025,2023-04-10
5800.4153997500025,2023-04-11
5800.4153997500025,2023-04-12
5800.4153997500025,2023-04-13
5800.4153997500025,2023-04-17
5800.4153997500025,2023-04-18
5800.4153997500025,2023-04-19
5800.4153997500025,2023-04-20
5666.893649750002,2023-04-21
5663.743649750002,2023-04-24
5791.693649750001,2023-04-25
5801.593649750002,2023-04-26
5817.043649750001,2023-04-27
5803.145774750002,2023-04-28
5803.145774750002,2023-05-02
5803.145774750002,2023-05-03
6006.103274750002,2023-05-04
6033.253274750002,2023-05-05
6018.851024750002,2023-05-08
6018.851024750002,2023-05-09
6018.851024750002,2023-05-10
6018.851024750002,2023-05-11
6018.851024750002,2023-05-12
6018.851024750002,2023-05-15
6018.851024750002,2023-05-16
6018.851024750002,2023-05-17
5976.1047747500015,2023-05-18
6174.254774750001,2023-05-19
6159.5843997500015,2023-05-22
6159.5843997500015,2023-05-23
6159.5843997500015,2023-05-24
6159.5843997500015,2023-05-25
6159.5843997500015,2023-05-26
6159.5843997500015,2023-05-29
6159.5843997500015,2023-05-30
6159.5843997500015,2023-05-31
6159.5843997500015,2023-06-01
6159.5843997500015,2023-06-02
6159.5843997500015,2023-06-05
6159.5843997500015,2023-06-06
6159.5843997500015,2023-06-07
6159.5843997500015,2023-06-08
6159.5843997500015,2023-06-09
6159.5843997500015,2023-06-12
6159.5843997500015,2023-06-13
6159.5843997500015,2023-06-14
6159.5843997500015,2023-06-15
6159.5843997500015,2023-06-16
6159.5843997500015,2023-06-19
6159.5843997500015,2023-06-20
6159.5843997500015,2023-06-21
6159.5843997500015,2023-06-22
5820.198149750002,2023-06-23
5944.298349750002,2023-06-26
5921.998149750001,2023-06-27
6157.0981497500015,2023-06-28
6145.088149750002,2023-06-30
6145.088149750002,2023-07-03
6145.088149750002,2023-07-04
6145.088149750002,2023-07-05
6145.088149750002,2023-07-06
6145.088149750002,2023-07-07
6145.088149750002,2023-07-10
6145.088149750002,2023-07-11
6145.088149750002,2023-07-12
6145.088149750002,2023-07-13
6145.088149750002,2023-07-14
6198.107449250003,2023-07-17
6186.064699250003,2023-07-18
6186.064699250003,2023-07-19
6186.064699250003,2023-07-20
6186.064699250003,2023-07-21
6186.064699250003,2023-07-24
6186.064699250003,2023-07-25
6186.064699250003,2023-07-26
6186.064699250003,2023-07-27
6186.064699250003,2023-07-28
6186.064699250003,2023-07-31
6186.064699250003,2023-08-01
6186.064699250003,2023-08-02
6186.064699250003,2023-08-03
6186.064699250003,2023-08-04
6186.064699250003,2023-08-07
6186.064699250003,2023-08-08
6186.064699250003,2023-08-09
6186.064699250003,2023-08-10
6186.064699250003,2023-08-11
6186.064699250003,2023-08-14
6186.064699250003,2023-08-16
6243.038998750003,2023-08-17
6438.438798750003,2023-08-18
6425.551799250004,2023-08-21
6425.551799250004,2023-08-22
6425.551799250004,2023-08-23
6425.551799250004,2023-08-24
6425.551799250004,2023-08-25
6425.551799250004,2023-08-28
6425.551799250004,2023-08-29
6426.319749250005,2023-08-30
6238.619549250005,2023-08-31
6300.219549250005,2023-09-01
6341.319749250005,2023-09-04
6388.219549250005,2023-09-05
6375.749299250006,2023-09-06
6375.749299250006,2023-09-07
6375.749299250006,2023-09-08
6375.749299250006,2023-09-11
6375.749299250006,2023-09-12
6375.749299250006,2023-09-13
6375.749299250006,2023-09-14
6375.749299250006,2023-09-15
6375.749299250006,2023-09-18
6375.749299250006,2023-09-20
6381.2977992500055,2023-09-21
6352.597599250005,2023-09-22
6386.997999250006,2023-09-25
6338.697799250005,2023-09-26
6389.397799250006,2023-09-27
6373.2977992500055,2023-09-28
6250.597599250005,2023-09-29
6197.2977992500055,2023-10-03
6352.697799250005,2023-10-04
6355.497999250006,2023-10-05
6343.166248750006,2023-10-06
6343.166248750006,2023-10-09
6442.353048250006,2023-10-10
6429.861548250006,2023-10-11
6429.861548250006,2023-10-12
6429.861548250006,2023-10-13
6367.188998250006,2023-10-16
6365.288598250006,2023-10-17
6321.188998250006,2023-10-18
6312.8887982500055,2023-10-19
6295.988798250006,2023-10-20
6125.788598250006,2023-10-23
6022.488798250006,2023-10-25
5914.8887982500055,2023-10-26
6031.8887982500055,2023-10-27
6106.688998250006,2023-10-30
6097.788598250006,2023-10-31
5943.088798250006,2023-11-01
5939.088798250006,2023-11-02
5968.188998250006,2023-11-03
6000.488798250006,2023-11-06
5975.188998250006,2023-11-07
6028.3887982500055,2023-11-08
5937.788598250006,2023-11-09
5918.688998250006,2023-11-10
5931.188798250006,2023-11-12
5935.788598250006,2023-11-13
5959.288598250006,2023-11-15
5920.288598250006,2023-11-16
5926.088798250006,2023-11-17
5808.188998250006,2023-11-20
5901.788598250006,2023-11-21
5853.788598250006,2023-11-22
5858.988798250006,2023-11-23
5959.3887982500055,2023-11-24
6355.488798250006,2023-11-28
6301.688998250006,2023-11-29
6225.588798250006,2023-11-30
6213.796048250007,2023-12-01
6538.982548250007,2023-12-04
6526.326548250007,2023-12-05
6526.326548250007,2023-12-06
6526.326548250007,2023-12-07
6526.326548250007,2023-12-08
6526.326548250007,2023-12-11
6526.326548250007,2023-12-12
6526.326548250007,2023-12-13
6526.326548250007,2023-12-14
6526.326548250007,2023-12-15
6526.326548250007,2023-12-18
6526.326548250007,2023-12-19
6526.326548250007,2023-12-20
6526.326548250007,2023-12-21
6526.326548250007,2023-12-22
6526.326548250007,2023-12-26
6526.326548250007,2023-12-27
6526.326548250007,2023-12-28
6526.326548250007,2023-12-29
6526.326548250007,2024-01-01
6526.326548250007,2024-01-02
6526.326548250007,2024-01-03
6526.326548250007,2024-01-04
6526.326548250007,2024-01-05
6526.326548250007,2024-01-08
6526.326548250007,2024-01-09
6526.326548250007,2024-01-10
6526.326548250007,2024-01-11
