trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-09-23,AXISBANK,Buy,12,768.59998,23.0579994,9223.19976,9664.9420006,0,12
2,2022-09-26,AXISBANK,Buy,1,742.59998,1.85649995,742.59998,9596.78576065,12,13
3,2022-10-11,AXISBANK,Sell,13,785.54999,25.530374674999997,10212.14987,10195.905255975,13,0
4,2022-11-10,AXISBANK,Buy,11,843.70001,23.201750275,9280.70011,10249.703505700001,0,11
5,2022-11-11,AXISBANK,Buy,1,850.70001,2.126750025,850.70001,10251.176635675001,11,12
6,2022-11-14,AXISBANK,Sell,8,851.0,17.02,6808.0,10264.756715675001,12,4
7,2022-11-15,AXISBANK,Sell,4,858.65002,8.586500200000001,3434.60008,10256.170215475002,4,0
8,2022-12-23,AXISBANK,Buy,11,906.59998,24.93149945,9972.59978,10474.339046025001,0,11
9,2022-12-27,AXISBANK,Sell,11,932.20001,25.635500275,10254.20011,10487.203545750002,11,0
10,2022-12-28,AXISBANK,Buy,7,924.70001,16.182250175,6472.90007,10539.971155575004,0,7
11,2022-12-29,AXISBANK,Buy,4,934.54999,9.3454999,3738.19996,10521.825765675003,7,11
12,2023-01-03,AXISBANK,Sell,1,962.29999,2.405749975,962.29999,10784.970105700006,11,10
13,2023-01-04,AXISBANK,Sell,10,957.45001,23.936250250000004,9574.500100000001,10761.033855450007,10,0
14,2023-01-06,AXISBANK,Buy,9,939.90002,21.147750450000004,8459.100180000001,10909.535925000006,0,9
15,2023-01-09,AXISBANK,Sell,9,958.75,21.571875000000002,8628.75,10887.964050000006,9,0
16,2023-01-11,AXISBANK,Buy,2,949.75,4.74875,1899.5,10854.815280000006,0,2
17,2023-01-12,AXISBANK,Buy,9,935.54999,21.049874775,8419.94991,10818.365735225007,2,11
18,2023-03-08,AXISBANK,Sell,2,860.95001,4.30475005,1721.90002,10070.510695175006,11,9
19,2023-03-09,AXISBANK,Sell,2,867.79999,4.33899995,1735.59998,9954.871905225007,9,7
20,2023-03-10,AXISBANK,Buy,4,851.90002,8.5190002,3407.60008,9731.302465025008,7,11
21,2023-04-05,AXISBANK,Sell,6,860.5,12.9075,5163.0,9985.295235025009,11,5
22,2023-04-06,AXISBANK,Buy,6,851.95001,12.779250150000001,5111.70006,9921.915654875009,5,11
23,2023-04-27,AXISBANK,Sell,11,881.40002,24.238500549999998,9695.40022,10272.227594325008,11,0
24,2023-04-28,AXISBANK,Buy,11,860.0,23.650000000000002,9460.0,10365.727814325008,0,11
25,2023-05-11,AXISBANK,Sell,1,895.95001,2.239875025,895.95001,10788.787929300008,11,10
26,2023-05-12,AXISBANK,Sell,10,910.65002,22.7662505,9106.5002,10766.02167880001,10,0
27,2023-06-01,AXISBANK,Buy,11,919.70001,25.291750275,10116.70011,10811.129598525013,0,11
28,2023-06-05,AXISBANK,Sell,11,950.84998,26.148374450000002,10459.34978,11057.231224075013,11,0
29,2023-06-23,AXISBANK,Buy,11,958.40002,26.35600055,10542.40022,11054.524893525013,0,11
30,2023-06-26,AXISBANK,Sell,8,960.54999,19.2109998,7684.39992,11073.413923725013,11,3
31,2023-06-27,AXISBANK,Buy,8,973.25,19.465,7786.0,11108.399033725014,3,11
32,2023-06-28,AXISBANK,Sell,11,978.20001,26.900500275,10760.20011,11081.498533450012,11,0
33,2023-07-03,AXISBANK,Buy,6,982.09998,14.7314997,5892.59988,10998.367213750014,0,6
34,2023-07-04,AXISBANK,Buy,5,970.70001,12.133750125000002,4853.500050000001,10940.033353625013,6,11
35,2023-08-23,AXISBANK,Sell,11,979.25,26.929375,10771.75,11053.353978625013,11,0
36,2023-09-08,AXISBANK,Buy,11,980.29999,26.958249725,10783.29989,11247.495838900013,0,11
37,2023-09-11,AXISBANK,Sell,11,1000.4,27.511,11004.4,11219.984838900014,11,0
38,2023-10-04,AXISBANK,Buy,1,995.54999,2.488874975,995.54999,11225.195973925014,0,1
39,2023-10-05,AXISBANK,Buy,10,1003.25,25.08125,10032.5,11174.814723925016,1,11
40,2023-11-07,AXISBANK,Sell,11,1020.9,28.074749999999998,11229.9,11366.189973925015,11,0
41,2023-11-20,AXISBANK,Buy,11,988.70001,27.189250275,10875.70011,11373.100503650016,0,11
42,2023-11-23,AXISBANK,Sell,9,999.04999,22.478624775,8991.44991,11449.271898875015,11,2
43,2023-11-24,AXISBANK,Sell,2,1008.5,5.0425,2017.0,11444.229398875015,2,0
44,2023-12-20,AXISBANK,Buy,10,1110.25,27.75625,11102.5,11267.973148875017,0,10
45,2024-02-23,AXISBANK,Sell,10,1096.8,27.42,10968.0,11254.553148875017,10,0
46,2024-02-27,AXISBANK,Buy,7,1079.05,18.883374999999997,7553.349999999999,11201.719773875018,0,7
47,2024-02-28,AXISBANK,Buy,3,1074.2,8.056500000000002,3222.6000000000004,11202.663273875018,7,10
48,2024-03-02,AXISBANK,Sell,10,1096.7,27.4175,10967.0,11391.245773875018,10,0
49,2024-03-11,AXISBANK,Buy,10,1105.1,27.6275,11051.0,11282.61827387502,0,10
50,2024-04-08,AXISBANK,Sell,7,1076.05,18.830875,7532.349999999999,11066.13739887502,10,3
51,2024-04-09,AXISBANK,Sell,3,1080.0,8.1,3240.0,11058.03739887502,3,0
52,2024-04-16,AXISBANK,Buy,10,1051.9,26.2975,10519.0,10752.739898875021,0,10
53,2024-04-26,AXISBANK,Sell,10,1130.3,28.2575,11303.0,11787.482398875021,10,0
54,2024-05-22,AXISBANK,Buy,10,1126.0,28.150000000000002,11260.0,12151.832398875022,0,10
55,2024-05-23,AXISBANK,Sell,7,1165.25,20.391875,8156.75,12157.690523875022,10,3
56,2024-05-24,AXISBANK,Sell,3,1174.0,8.805,3522.0,12148.885523875022,3,0
57,2024-06-05,AXISBANK,Buy,10,1184.5,29.6125,11845.0,11983.773023875023,0,10
58,2024-06-19,AXISBANK,Sell,10,1226.65,30.66625,12266.5,12510.106773875023,10,0
59,2024-07-23,AXISBANK,Buy,9,1263.25,28.423125,11369.25,12265.683648875023,0,9
60,2024-08-13,AXISBANK,Sell,6,1159.6,17.394,6957.599999999999,11511.939648875023,9,3
61,2024-08-14,AXISBANK,Sell,3,1153.1,8.648249999999999,3459.2999999999997,11503.291398875022,3,0
62,2024-09-06,AXISBANK,Buy,4,1158.75,11.5875,4635.0,11540.103898875022,0,4
63,2024-09-09,AXISBANK,Buy,5,1170.85,14.635625000000001,5854.25,11672.618273875025,4,9
64,2024-09-12,AXISBANK,Sell,9,1203.35,27.075375,10830.15,11790.892898875023,9,0
65,2024-10-03,AXISBANK,Buy,10,1175.7,29.392500000000002,11757.0,11788.500398875023,0,10
66,2024-12-05,AXISBANK,Sell,4,1166.4,11.664000000000001,4665.6,11765.736398875022,10,6
67,2024-12-06,AXISBANK,Sell,6,1184.55,17.76825,7107.299999999999,11747.968148875025,6,0
68,2024-12-11,AXISBANK,Buy,10,1147.25,28.681250000000002,11472.5,11703.286898875025,0,10
69,2025-02-03,AXISBANK,Sell,10,989.4,24.735,9894.0,10116.051898875026,10,0
70,2025-02-21,AXISBANK,Buy,4,1008.95,10.089500000000001,4035.8,10110.362398875026,0,4
71,2025-02-24,AXISBANK,Buy,5,1010.05,12.625625,5050.25,10089.186773875026,4,9
72,2025-03-04,AXISBANK,Buy,1,1001.8,2.5044999999999997,1001.8,10147.482273875028,9,10
