trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-02-05,INFY,Buy,7,1272.1,22.26175,8904.699999999999,10197.888250000002,0,7
2,2021-03-08,INFY,Sell,7,1335.75,23.375625,9350.25,10399.912625000003,7,0
3,2021-03-25,INFY,Buy,7,1333.8,23.3415,9336.6,10393.371125000003,0,7
4,2021-04-05,INFY,Sell,7,1409.9,24.673250000000003,9869.300000000001,10884.597875000005,7,0
5,2021-04-15,INFY,Buy,7,1360.75,23.813125,9525.25,10811.784750000006,0,7
6,2021-05-04,INFY,Buy,1,1329.4,3.3235,1329.4,10734.811250000006,7,8
7,2021-05-25,INFY,Sell,8,1361.6,27.232,10892.8,10868.379250000005,8,0
8,2021-07-12,INFY,Buy,7,1547.85,27.087374999999998,10834.949999999999,10820.991875000007,0,7
9,2021-07-26,INFY,Sell,7,1603.9,28.068250000000003,11227.300000000001,11205.573625000008,7,0
10,2021-08-31,INFY,Buy,5,1706.45,21.330625,8532.25,11040.74300000001,0,5
11,2021-09-01,INFY,Buy,1,1677.75,4.194375,1677.75,11104.648625000009,5,6
12,2021-09-21,INFY,Sell,6,1718.45,25.776750000000003,10310.7,11254.971875000012,6,0
13,2021-09-28,INFY,Buy,3,1687.1,12.653249999999998,5061.299999999999,11257.768625000013,0,3
14,2021-09-29,INFY,Buy,3,1692.25,12.691875,5076.75,11142.776750000015,3,6
15,2021-10-18,INFY,Sell,6,1792.15,26.882250000000003,10752.900000000001,11817.594500000017,6,0
16,2021-10-25,INFY,Buy,6,1707.55,25.613249999999997,10245.3,11768.881250000019,0,6
17,2021-11-12,INFY,Sell,6,1780.2,26.703000000000003,10681.2,12201.178250000019,6,0
18,2021-11-24,INFY,Buy,7,1696.0,29.68,11872.0,12356.298250000022,0,7
19,2021-12-16,INFY,Sell,7,1771.6,31.002999999999997,12401.199999999999,12669.69525000002,7,0
20,2022-01-07,INFY,Buy,6,1814.3,27.214499999999997,10885.8,12861.180750000021,0,6
21,2022-01-13,INFY,Sell,6,1896.8,28.451999999999998,11380.8,13109.028750000021,6,0
22,2022-01-19,INFY,Buy,2,1867.05,9.33525,3734.1,13012.99350000002,0,2
23,2022-01-20,INFY,Buy,5,1823.7,22.79625,9118.5,12724.197250000021,2,7
24,2022-03-09,INFY,Sell,7,1813.35,31.733624999999996,12693.449999999999,12886.013625000021,7,0
25,2022-04-05,INFY,Buy,6,1861.1,27.916499999999996,11166.599999999999,12664.597125000022,0,6
26,2022-04-18,INFY,Buy,1,1621.4,4.0535000000000005,1621.4,11000.043625000024,6,7
27,2022-07-04,INFY,Sell,7,1488.0,26.04,10416.0,10456.003625000025,7,0
28,2022-07-12,INFY,Buy,7,1438.6,25.1755,10070.199999999999,10471.778125000026,0,7
29,2022-07-29,INFY,Sell,7,1549.7,27.11975,10847.9,11181.408375000026,7,0
30,2022-08-23,INFY,Buy,7,1542.4,26.992000000000004,10796.800000000001,11120.116375000025,0,7
31,2022-10-14,INFY,Sell,7,1474.25,25.799375,10319.75,10651.567000000026,7,0
32,2022-11-09,INFY,Buy,7,1511.2,26.445999999999998,10578.4,10560.371000000026,0,7
33,2022-11-11,INFY,Sell,7,1570.1,27.47675,10990.699999999999,11009.944250000026,7,0
34,2022-12-09,INFY,Buy,6,1569.3,23.5395,9415.8,10853.804750000028,0,6
35,2022-12-12,INFY,Buy,1,1547.2,3.8680000000000003,1547.2,11024.58675000003,6,7
36,2023-01-19,INFY,Sell,7,1538.9,26.930750000000003,10772.300000000001,10764.90600000003,7,0
37,2023-02-22,INFY,Buy,6,1561.8,23.427,9370.8,10674.879000000032,0,6
38,2023-04-17,INFY,Buy,1,1258.3,3.14575,1258.3,8924.683250000031,6,7
39,2023-05-26,INFY,Sell,7,1317.45,23.055374999999998,9222.15,9308.327875000032,7,0
40,2023-06-06,INFY,Buy,7,1279.0,22.3825,8953.0,9355.595375000032,0,7
41,2023-06-30,INFY,Sell,7,1335.5,23.37125,9348.5,9658.074125000032,7,0
42,2023-07-25,INFY,Buy,7,1334.6,23.3555,9342.199999999999,9734.468625000032,0,7
43,2023-08-14,INFY,Sell,7,1393.55,24.387125,9754.85,10022.981500000034,7,0
44,2023-09-26,INFY,Buy,6,1460.65,21.909750000000003,8763.900000000001,10039.171750000034,0,6
45,2023-11-20,INFY,Sell,6,1436.6,21.548999999999996,8619.599999999999,9835.222750000034,6,0
46,2024-01-03,INFY,Buy,6,1490.0,22.35,8940.0,9949.072750000034,0,6
47,2024-01-15,INFY,Sell,6,1652.1,24.781499999999998,9912.599999999999,10760.691250000033,6,0
48,2024-02-14,INFY,Buy,6,1666.2,24.993000000000002,9997.2,10796.598250000032,0,6
49,2024-02-16,INFY,Sell,6,1701.65,25.524750000000004,10209.900000000001,10922.873500000036,6,0
50,2024-02-20,INFY,Buy,6,1685.25,25.278750000000002,10111.5,10719.394750000036,0,6
51,2024-03-02,INFY,Sell,6,1656.3,24.8445,9937.8,10699.050250000037,6,0
52,2024-03-04,INFY,Buy,6,1637.2,24.558000000000003,9823.2,10490.292250000037,0,6
53,2024-05-18,INFY,Sell,5,1443.65,18.045625,7218.25,9485.646625000038,6,1
