account_value,date
10000.0,2021-01-12
10000.0,2021-01-13
10000.0,2021-01-14
10000.0,2021-01-15
10000.0,2021-01-18
10000.0,2021-01-19
10000.0,2021-01-20
10000.0,2021-01-21
10000.0,2021-01-22
10000.0,2021-01-25
10000.0,2021-01-27
10000.0,2021-01-28
10000.0,2021-01-29
10000.0,2021-02-01
10000.0,2021-02-02
10000.0,2021-02-03
10000.0,2021-02-04
10000.0,2021-02-05
10000.0,2021-02-08
10000.0,2021-02-09
10000.0,2021-02-10
10000.0,2021-02-11
10000.0,2021-02-12
10000.0,2021-02-15
10000.0,2021-02-16
10000.0,2021-02-17
10000.0,2021-02-18
10000.0,2021-02-19
10000.0,2021-02-22
10000.0,2021-02-23
10000.0,2021-02-24
10000.0,2021-02-25
10000.0,2021-02-26
10000.0,2021-03-01
10000.0,2021-03-02
10000.0,2021-03-03
10000.0,2021-03-04
10000.0,2021-03-05
10000.0,2021-03-08
10000.0,2021-03-09
10000.0,2021-03-10
10000.0,2021-03-12
10000.0,2021-03-15
10000.0,2021-03-16
10000.0,2021-03-17
10000.0,2021-03-18
10000.0,2021-03-19
10000.0,2021-03-22
10000.0,2021-03-23
10000.0,2021-03-24
10000.0,2021-03-25
10000.0,2021-03-26
10000.0,2021-03-30
10000.0,2021-03-31
10000.0,2021-04-01
10000.0,2021-04-05
10000.0,2021-04-06
10020.09625,2021-04-07
9933.696249999999,2021-04-08
9867.39625,2021-04-09
9539.196249999999,2021-04-12
9738.996249999998,2021-04-13
9917.496249999998,2021-04-15
9908.796250000001,2021-04-16
9811.296250000001,2021-04-19
9685.296250000001,2021-04-20
9871.89625,2021-04-22
9821.796250000001,2021-04-23
9765.696249999999,2021-04-26
9969.09625,2021-04-27
10197.696249999999,2021-04-28
10171.89625,2021-04-29
9810.696249999999,2021-04-30
9823.59625,2021-05-03
9666.996249999998,2021-05-04
9752.496249999998,2021-05-05
9742.296250000001,2021-05-06
9825.39625,2021-05-07
9855.996249999998,2021-05-10
9758.196249999999,2021-05-11
9733.89625,2021-05-12
9657.996249999998,2021-05-14
9978.39625,2021-05-17
10197.09625,2021-05-18
10086.09625,2021-05-19
10064.223250000001,2021-05-20
10064.223250000001,2021-05-21
10117.663750000003,2021-05-24
10095.014500000003,2021-05-25
10095.014500000003,2021-05-26
10095.014500000003,2021-05-27
10095.014500000003,2021-05-28
10095.014500000003,2021-05-31
10095.014500000003,2021-06-01
10095.014500000003,2021-06-02
10095.014500000003,2021-06-03
10095.014500000003,2021-06-04
10095.014500000003,2021-06-07
10095.014500000003,2021-06-08
10095.014500000003,2021-06-09
10095.014500000003,2021-06-10
10095.014500000003,2021-06-11
10095.014500000003,2021-06-14
10095.014500000003,2021-06-15
10095.014500000003,2021-06-16
10095.014500000003,2021-06-17
10095.014500000003,2021-06-18
10095.014500000003,2021-06-21
10095.014500000003,2021-06-22
10095.014500000003,2021-06-23
10095.014500000003,2021-06-24
10095.014500000003,2021-06-25
10095.014500000003,2021-06-28
10095.014500000003,2021-06-29
10095.014500000003,2021-06-30
10095.014500000003,2021-07-01
10095.014500000003,2021-07-02
10095.014500000003,2021-07-05
10095.014500000003,2021-07-06
10095.014500000003,2021-07-07
10095.014500000003,2021-07-08
10095.014500000003,2021-07-09
10095.014500000003,2021-07-12
10095.014500000003,2021-07-13
10095.014500000003,2021-07-14
10095.014500000003,2021-07-15
10095.014500000003,2021-07-16
10095.014500000003,2021-07-19
10095.014500000003,2021-07-20
10095.014500000003,2021-07-22
10095.014500000003,2021-07-23
10095.014500000003,2021-07-26
10106.309875000003,2021-07-27
9949.159875000003,2021-07-28
9955.809875000003,2021-07-29
10013.209875000002,2021-07-30
9986.609875000004,2021-08-02
10070.959875000002,2021-08-03
10285.159875000003,2021-08-04
10422.009875000002,2021-08-05
10476.609875000004,2021-08-06
10555.359875000004,2021-08-09
10581.609875000004,2021-08-10
10492.709875000002,2021-08-11
10537.859875000004,2021-08-12
10711.459875000002,2021-08-13
10684.751375000003,2021-08-16
10684.751375000003,2021-08-17
10684.751375000003,2021-08-18
10684.751375000003,2021-08-20
10684.751375000003,2021-08-23
10684.751375000003,2021-08-24
10684.751375000003,2021-08-25
10684.751375000003,2021-08-26
10684.751375000003,2021-08-27
10684.751375000003,2021-08-30
10684.751375000003,2021-08-31
10684.751375000003,2021-09-01
