account_value,date
10000.0,2020-12-04
10000.0,2020-12-07
10000.0,2020-12-08
10000.0,2020-12-09
10000.0,2020-12-10
10000.0,2020-12-11
10000.0,2020-12-14
10000.0,2020-12-15
10000.0,2020-12-16
10000.0,2020-12-17
10000.0,2020-12-18
10000.0,2020-12-21
10000.0,2020-12-22
10000.0,2020-12-23
10000.0,2020-12-24
10000.0,2020-12-28
10000.0,2020-12-29
10001.5089183641,2020-12-30
9941.519865291599,2020-12-31
9952.5049591916,2021-01-01
9969.2322612116,2021-01-04
9845.6499548916,2021-01-05
9586.7512646216,2021-01-06
9571.272268671599,2021-01-07
9683.8694810916,2021-01-08
9501.8664481216,2021-01-11
9800.461273221601,2021-01-12
9709.3349260416,2021-01-13
9818.1872201416,2021-01-14
9702.5940729116,2021-01-15
9934.7790122716,2021-01-18
10096.8091472416,2021-01-19
10288.0496455916,2021-01-20
10262.400699641226,2021-01-21
10262.400699641226,2021-01-22
10262.400699641226,2021-01-25
10262.400699641226,2021-01-27
10262.400699641226,2021-01-28
10262.400699641226,2021-01-29
10262.400699641226,2021-02-01
10262.400699641226,2021-02-02
10262.400699641226,2021-02-03
10262.400699641226,2021-02-04
10262.400699641226,2021-02-05
10262.400699641226,2021-02-08
10262.400699641226,2021-02-09
10262.400699641226,2021-02-10
10262.400699641226,2021-02-11
10262.400699641226,2021-02-12
10262.400699641226,2021-02-15
10262.400699641226,2021-02-16
10262.400699641226,2021-02-17
10262.400699641226,2021-02-18
10262.400699641226,2021-02-19
10262.400699641226,2021-02-22
10262.400699641226,2021-02-23
10262.400699641226,2021-02-24
10262.400699641226,2021-02-25
10262.400699641226,2021-02-26
10262.400699641226,2021-03-01
10262.400699641226,2021-03-02
10262.400699641226,2021-03-03
10262.400699641226,2021-03-04
10262.400699641226,2021-03-05
10262.400699641226,2021-03-08
10262.400699641226,2021-03-09
10262.400699641226,2021-03-10
10262.400699641226,2021-03-12
10262.400699641226,2021-03-15
10262.400699641226,2021-03-16
10262.400699641226,2021-03-17
10262.400699641226,2021-03-18
10262.400699641226,2021-03-19
10262.400699641226,2021-03-22
10262.400699641226,2021-03-23
10262.400699641226,2021-03-24
10262.400699641226,2021-03-25
10262.400699641226,2021-03-26
10262.400699641226,2021-03-30
10262.400699641226,2021-03-31
10262.400699641226,2021-04-01
10262.400699641226,2021-04-05
10262.400699641226,2021-04-06
10262.400699641226,2021-04-07
10262.400699641226,2021-04-08
10262.400699641226,2021-04-09
10262.400699641226,2021-04-12
10262.400699641226,2021-04-13
10262.400699641226,2021-04-15
10262.400699641226,2021-04-16
10262.400699641226,2021-04-19
10262.400699641226,2021-04-20
10262.400699641226,2021-04-22
10262.400699641226,2021-04-23
10262.400699641226,2021-04-26
10262.400699641226,2021-04-27
10262.400699641226,2021-04-28
10262.400699641226,2021-04-29
10262.400699641226,2021-04-30
10262.400699641226,2021-05-03
10262.400699641226,2021-05-04
10262.400699641226,2021-05-05
10262.400699641226,2021-05-06
10262.400699641226,2021-05-07
10262.400699641226,2021-05-10
10262.400699641226,2021-05-11
10262.400699641226,2021-05-12
10359.105102630652,2021-05-14
10474.198927300651,2021-05-17
10612.011923610651,2021-05-18
10612.743147253877,2021-05-19
10603.677948174178,2021-05-20
10603.677948174178,2021-05-21
10603.677948174178,2021-05-24
10603.677948174178,2021-05-25
10603.677948174178,2021-05-26
10603.677948174178,2021-05-27
10603.677948174178,2021-05-28
10603.677948174178,2021-05-31
10603.677948174178,2021-06-01
10603.677948174178,2021-06-02
10603.677948174178,2021-06-03
10603.677948174178,2021-06-04
10603.677948174178,2021-06-07
10603.677948174178,2021-06-08
10603.677948174178,2021-06-09
10603.677948174178,2021-06-10
10603.677948174178,2021-06-11
10603.677948174178,2021-06-14
10603.677948174178,2021-06-15
10603.677948174178,2021-06-16
10603.677948174178,2021-06-17
10603.677948174178,2021-06-18
10603.677948174178,2021-06-21
10603.677948174178,2021-06-22
10603.677948174178,2021-06-23
10603.677948174178,2021-06-24
10603.677948174178,2021-06-25
10603.677948174178,2021-06-28
10603.677948174178,2021-06-29
10603.677948174178,2021-06-30
10603.677948174178,2021-07-01
10603.677948174178,2021-07-02
10603.677948174178,2021-07-05
10603.677948174178,2021-07-06
10603.677948174178,2021-07-07
10603.677948174178,2021-07-08
10603.677948174178,2021-07-09
10603.677948174178,2021-07-12
10603.677948174178,2021-07-13
10603.677948174178,2021-07-14
10603.677948174178,2021-07-15
10603.677948174178,2021-07-16
10603.677948174178,2021-07-19
10603.677948174178,2021-07-20
10603.677948174178,2021-07-22
10603.677948174178,2021-07-23
10603.677948174178,2021-07-26
10603.677948174178,2021-07-27
10603.677948174178,2021-07-28
10603.677948174178,2021-07-29
10603.677948174178,2021-07-30
10603.677948174178,2021-08-02
10621.959958806678,2021-08-03
10612.483045670378,2021-08-04
10612.483045670378,2021-08-05
10612.483045670378,2021-08-06
10534.757945620879,2021-08-09
10586.827393032054,2021-08-10
10732.879209602053,2021-08-11
10698.925283002052,2021-08-12
10672.579782233928,2021-08-13
10672.579782233928,2021-08-16
10672.579782233928,2021-08-17
10672.579782233928,2021-08-18
10672.579782233928,2021-08-20
10672.579782233928,2021-08-23
10672.579782233928,2021-08-24
10672.579782233928,2021-08-25
10672.579782233928,2021-08-26
10672.579782233928,2021-08-27
10672.579782233928,2021-08-30
10672.579782233928,2021-08-31
10672.579782233928,2021-09-01
10672.579782233928,2021-09-02
10672.579782233928,2021-09-03
10672.579782233928,2021-09-06
10672.579782233928,2021-09-07
10672.579782233928,2021-09-08
10672.579782233928,2021-09-09
10672.579782233928,2021-09-13
10672.579782233928,2021-09-14
10672.579782233928,2021-09-15
10672.579782233928,2021-09-16
10672.579782233928,2021-09-17
10672.579782233928,2021-09-20
10672.579782233928,2021-09-21
10672.579782233928,2021-09-22
10672.579782233928,2021-09-23
10672.579782233928,2021-09-24
10672.579782233928,2021-09-27
10672.579782233928,2021-09-28
10672.579782233928,2021-09-29
10672.579782233928,2021-09-30
10672.579782233928,2021-10-01
10672.579782233928,2021-10-04
10672.579782233928,2021-10-05
10672.579782233928,2021-10-06
10672.579782233928,2021-10-07
10672.579782233928,2021-10-08
10672.579782233928,2021-10-11
10672.579782233928,2021-10-12
10672.579782233928,2021-10-13
10672.579782233928,2021-10-14
10672.579782233928,2021-10-18
10672.579782233928,2021-10-19
10672.579782233928,2021-10-20
10672.579782233928,2021-10-21
10672.579782233928,2021-10-22
10672.579782233928,2021-10-25
10672.579782233928,2021-10-26
10672.579782233928,2021-10-27
10672.579782233928,2021-10-28
10672.579782233928,2021-10-29
10672.579782233928,2021-11-01
10672.579782233928,2021-11-02
10672.579782233928,2021-11-03
10672.579782233928,2021-11-04
10672.579782233928,2021-11-08
10672.579782233928,2021-11-09
10672.579782233928,2021-11-10
10672.579782233928,2021-11-11
10672.579782233928,2021-11-12
10672.579782233928,2021-11-15
10672.579782233928,2021-11-16
10672.579782233928,2021-11-17
10672.579782233928,2021-11-18
10672.579782233928,2021-11-22
10672.579782233928,2021-11-23
10672.579782233928,2021-11-24
10672.579782233928,2021-11-25
10672.579782233928,2021-11-26
10672.579782233928,2021-11-29
10672.579782233928,2021-11-30
10672.579782233928,2021-12-01
10672.579782233928,2021-12-02
10672.579782233928,2021-12-03
10672.579782233928,2021-12-06
10672.579782233928,2021-12-07
10672.579782233928,2021-12-08
10672.579782233928,2021-12-09
10672.579782233928,2021-12-10
10672.579782233928,2021-12-13
10672.579782233928,2021-12-14
10672.579782233928,2021-12-15
