account_value,date
10000.0,2021-07-19
9814.395750575,2021-07-20
9840.845750575001,2021-07-22
9998.395750575,2021-07-23
9869.595750575001,2021-07-26
10022.546210575001,2021-07-27
9920.195980575001,2021-07-28
10289.345750575001,2021-07-29
10263.956626150002,2021-07-30
10263.956626150002,2021-08-02
10263.956626150002,2021-08-03
10263.956626150002,2021-08-04
10263.956626150002,2021-08-05
10263.956626150002,2021-08-06
10263.956626150002,2021-08-09
10263.956626150002,2021-08-10
10263.956626150002,2021-08-11
10263.956626150002,2021-08-12
10263.956626150002,2021-08-13
10263.956626150002,2021-08-16
10166.889655600002,2021-08-17
10121.582395600002,2021-08-18
9809.582395600002,2021-08-20
9876.782155600002,2021-08-23
10071.1823956,2021-08-24
10038.782155600002,2021-08-25
9906.782155600002,2021-08-26
9947.582395600002,2021-08-27
10193.582395600002,2021-08-30
10273.981915600001,2021-08-31
10366.381915600003,2021-09-01
10340.587916200004,2021-09-02
10340.587916200004,2021-09-03
10340.587916200004,2021-09-06
10340.587916200004,2021-09-07
10340.587916200004,2021-09-08
10340.587916200004,2021-09-09
10328.381126775004,2021-09-13
10331.830896775004,2021-09-14
10581.381126775004,2021-09-15
11037.931126775004,2021-09-16
10834.012626725005,2021-09-17
10448.792126675004,2021-09-20
10426.082356125004,2021-09-21
10424.985356150004,2021-09-22
10582.631035750004,2021-09-23
10493.309625925005,2021-09-24
10612.433605925005,2021-09-27
10573.333145925004,2021-09-28
10920.633375925005,2021-09-29
10894.183375925008,2021-09-30
10894.183375925008,2021-10-01
10894.183375925008,2021-10-04
10894.183375925008,2021-10-05
10894.183375925008,2021-10-06
10894.183375925008,2021-10-07
10894.183375925008,2021-10-08
10894.183375925008,2021-10-11
10894.183375925008,2021-10-12
10894.183375925008,2021-10-13
10894.183375925008,2021-10-14
10894.183375925008,2021-10-18
10773.239750650007,2021-10-19
11017.213810375008,2021-10-20
11084.314250375008,2021-10-21
11084.314250375008,2021-10-22
11162.414030375008,2021-10-25
11295.513810375009,2021-10-26
11440.71447037501,2021-10-27
11049.114250375009,2021-10-28
11066.713810375008,2021-10-29
11364.814250375008,2021-11-01
11496.814250375008,2021-11-02
11627.71447037501,2021-11-03
11689.314250375008,2021-11-04
11530.914030375008,2021-11-08
11660.71447037501,2021-11-09
11556.21447037501,2021-11-10
11230.614250375009,2021-11-11
11269.114250375009,2021-11-12
11163.513810375009,2021-11-15
10911.614250375009,2021-11-16
10978.713810375008,2021-11-17
11103.013810375009,2021-11-18
10720.213810375008,2021-11-22
10866.513810375009,2021-11-23
10868.713810375008,2021-11-24
10811.513810375009,2021-11-25
10370.414030375008,2021-11-26
10251.614250375009,2021-11-29
10151.513810375009,2021-11-30
10476.013810375009,2021-12-01
10513.414030375008,2021-12-02
10428.713810375008,2021-12-03
10256.013810375009,2021-12-06
10506.814250375008,2021-12-07
10833.513810375009,2021-12-08
10806.478560925008,2021-12-09
10806.478560925008,2021-12-10
10806.478560925008,2021-12-13
10806.478560925008,2021-12-14
10806.478560925008,2021-12-15
10806.478560925008,2021-12-16
10806.478560925008,2021-12-17
10806.478560925008,2021-12-20
10707.04933035001,2021-12-21
10942.334570350009,2021-12-22
11085.13409035001,2021-12-23
10968.73457035001,2021-12-24
10995.13409035001,2021-12-27
11070.73457035001,2021-12-28
10907.534090350011,2021-12-29
10842.73457035001,2021-12-30
11052.73457035001,2021-12-31
11301.13409035001,2022-01-03
11272.88609095001,2022-01-04
11272.88609095001,2022-01-05
11272.88609095001,2022-01-06
11272.88609095001,2022-01-07
11272.88609095001,2022-01-10
11272.88609095001,2022-01-11
11272.88609095001,2022-01-12
11272.88609095001,2022-01-13
11272.88609095001,2022-01-14
11321.056355675011,2022-01-17
11207.916205675012,2022-01-18
11397.047205850013,2022-01-19
11300.247205850012,2022-01-20
11108.847645850012,2022-01-21
10920.747205850012,2022-01-24
11371.747865850013,2022-01-25
11483.721650200014,2022-01-27
11471.820274975014,2022-01-28
11729.106019500015,2022-01-31
11675.611269825014,2022-02-01
11667.626769975015,2022-02-02
11667.626769975015,2022-02-03
11489.222930775017,2022-02-04
11544.544390900017,2022-02-07
11511.446710900018,2022-02-08
11499.491336350016,2022-02-09
11582.690501350016,2022-02-10
11352.740291350015,2022-02-11
10760.540501350017,2022-02-14
10980.752001625016,2022-02-15
10967.632001875018,2022-02-16
10927.298001675019,2022-02-17
10959.976706350017,2022-02-18
10887.527126350018,2022-02-21
10605.076706350017,2022-02-22
10611.377126350018,2022-02-23
10064.326706350017,2022-02-24
10280.627126350018,2022-02-25
10285.877126350018,2022-02-28
10097.926916350018,2022-03-02
9954.076706350017,2022-03-03
9839.627126350018,2022-03-04
9384.976706350017,2022-03-07
9384.976706350017,2022-03-08
9624.377126350018,2022-03-09
9981.377126350018,2022-03-10
10016.027126350018,2022-03-11
9991.333750825019,2022-03-14
9991.333750825019,2022-03-15
9991.333750825019,2022-03-16
9991.333750825019,2022-03-17
9991.333750825019,2022-03-21
9991.333750825019,2022-03-22
9991.333750825019,2022-03-23
9991.333750825019,2022-03-24
9991.333750825019,2022-03-25
9991.333750825019,2022-03-28
9991.333750825019,2022-03-29
9991.333750825019,2022-03-30
9991.333750825019,2022-03-31
9991.333750825019,2022-04-01
9991.333750825019,2022-04-04
9991.333750825019,2022-04-05
9991.333750825019,2022-04-06
9991.333750825019,2022-04-07
9989.547485500018,2022-04-08
9959.00674580002,2022-04-11
9920.05598580002,2022-04-12
10012.206555800018,2022-04-13
9856.40636580002,2022-04-18
9900.106175800018,2022-04-19
9868.472676125019,2022-04-20
9984.920426450019,2022-04-21
9686.62080645002,2022-04-22
9575.47061645002,2022-04-25
9779.72061645002,2022-04-26
9622.97061645002,2022-04-27
9817.72061645002,2022-04-28
9604.920426450019,2022-04-29
9504.22061645002,2022-05-02
9288.57042645002,2022-05-04
9295.22061645002,2022-05-05
9370.270806450018,2022-05-06
9217.32042645002,2022-05-09
9204.020806450018,2022-05-10
9229.670426450019,2022-05-11
8965.57042645002,2022-05-12
8623.57042645002,2022-05-13
8820.22061645002,2022-05-16
9053.920426450019,2022-05-17
8877.22061645002,2022-05-18
8677.72061645002,2022-05-19
8960.82042645002,2022-05-20
8932.32042645002,2022-05-23
8954.170426450019,2022-05-24
8932.223051925019,2022-05-25
9164.523461500019,2022-05-26
