account_value,date
10000.0,2020-12-08
10000.0,2020-12-09
10000.0,2020-12-10
10000.0,2020-12-11
10016.7271602,2020-12-14
9987.831770050001,2020-12-15
10247.936020050001,2020-12-16
10158.163275050001,2020-12-17
10307.002954350002,2020-12-18
9585.403364350002,2020-12-21
9569.002954350002,2020-12-22
9745.30336435,2020-12-23
9776.05336435,2020-12-24
9897.002954350002,2020-12-28
9720.70377435,2020-12-29
9794.502954350002,2020-12-30
9923.653364350002,2020-12-31
9833.45377435,2021-01-01
10487.403364350002,2021-01-04
10323.403364350002,2021-01-05
10429.007974350003,2021-01-06
10419.941224700002,2021-01-07
10419.941224700002,2021-01-08
10419.941224700002,2021-01-11
10419.941224700002,2021-01-12
10419.941224700002,2021-01-13
10419.941224700002,2021-01-14
10419.941224700002,2021-01-15
10419.941224700002,2021-01-18
10747.210895750002,2021-01-19
10770.311315750001,2021-01-20
10635.910475750003,2021-01-21
10228.510895750002,2021-01-22
10274.710895750002,2021-01-25
9900.910475750003,2021-01-27
9802.210895750002,2021-01-28
9686.710895750002,2021-01-29
10310.410475750003,2021-02-01
10906.811315750001,2021-02-02
10879.999564700001,2021-02-03
10879.999564700001,2021-02-04
10879.999564700001,2021-02-05
10879.999564700001,2021-02-08
10879.999564700001,2021-02-09
10879.999564700001,2021-02-10
10879.999564700001,2021-02-11
10879.999564700001,2021-02-12
10879.999564700001,2021-02-15
10879.999564700001,2021-02-16
10879.999564700001,2021-02-17
10879.999564700001,2021-02-18
10879.999564700001,2021-02-19
10879.999564700001,2021-02-22
10879.999564700001,2021-02-23
10879.999564700001,2021-02-24
10879.999564700001,2021-02-25
10879.999564700001,2021-02-26
10879.999564700001,2021-03-01
10879.999564700001,2021-03-02
10879.999564700001,2021-03-03
10879.999564700001,2021-03-04
10879.999564700001,2021-03-05
10879.999564700001,2021-03-08
10879.999564700001,2021-03-09
10879.999564700001,2021-03-10
10879.999564700001,2021-03-12
10968.7829239,2021-03-15
10971.982923900001,2021-03-16
10731.982923900001,2021-03-17
10904.7829239,2021-03-18
11010.3835639,2021-03-19
11159.1832439,2021-03-22
10901.583563900002,2021-03-23
10455.1832439,2021-03-24
10335.1832439,2021-03-25
10755.982923900001,2021-03-26
10728.7829239,2021-03-30
10746.3835639,2021-03-31
11495.1832439,2021-04-01
11467.163243900002,2021-04-05
11467.163243900002,2021-04-06
11467.163243900002,2021-04-07
11467.163243900002,2021-04-08
11467.163243900002,2021-04-09
11467.163243900002,2021-04-12
11467.163243900002,2021-04-13
11467.163243900002,2021-04-15
11467.163243900002,2021-04-16
11467.163243900002,2021-04-19
11467.163243900002,2021-04-20
11467.163243900002,2021-04-22
11467.163243900002,2021-04-23
11467.163243900002,2021-04-26
12012.094923100003,2021-04-27
11982.794923100004,2021-04-28
11982.794923100004,2021-04-29
11982.794923100004,2021-04-30
11982.794923100004,2021-05-03
11982.794923100004,2021-05-04
11982.794923100004,2021-05-05
12126.252922900005,2021-05-06
12118.533922700004,2021-05-07
12118.533922700004,2021-05-10
12118.533922700004,2021-05-11
12118.533922700004,2021-05-12
12118.533922700004,2021-05-14
12118.533922700004,2021-05-17
12118.533922700004,2021-05-18
12118.533922700004,2021-05-19
12118.533922700004,2021-05-20
12118.533922700004,2021-05-21
12118.533922700004,2021-05-24
12118.533922700004,2021-05-25
11962.041782350003,2021-05-26
12096.199592350004,2021-05-27
12155.099282350004,2021-05-28
12356.599282350004,2021-05-31
12370.549592350004,2021-06-01
12497.648972350004,2021-06-02
12466.741973125005,2021-06-03
12466.741973125005,2021-06-04
12466.741973125005,2021-06-07
12417.316973125005,2021-06-08
12250.482288125006,2021-06-09
12320.232288125006,2021-06-10
12560.482288125006,2021-06-11
12611.632288125005,2021-06-14
12489.182908125005,2021-06-15
12160.582598125005,2021-06-16
11819.582598125005,2021-06-17
11885.859793125006,2021-06-18
11765.859793125006,2021-06-21
11764.259153125005,2021-06-22
11781.859793125006,2021-06-23
11812.259153125005,2021-06-24
12031.459153125006,2021-06-25
12236.259153125005,2021-06-28
12092.167313525006,2021-06-29
12028.746438525004,2021-06-30
