account_value,date
10000.0,2020-12-10
10000.0,2020-12-11
10000.0,2020-12-14
10000.0,2020-12-15
10000.0,2020-12-16
10000.0,2020-12-17
10000.0,2020-12-18
10000.0,2020-12-21
10000.0,2020-12-22
10000.0,2020-12-23
10000.0,2020-12-24
10000.0,2020-12-28
10000.0,2020-12-29
10000.0,2020-12-30
10000.0,2020-12-31
10000.0,2021-01-01
10000.0,2021-01-04
10000.0,2021-01-05
10000.0,2021-01-06
10000.0,2021-01-07
9976.1202848869,2021-01-08
9993.082830412499,2021-01-11
10045.666014154676,2021-01-12
10038.358172844926,2021-01-13
10038.358172844926,2021-01-14
10038.358172844926,2021-01-15
10038.358172844926,2021-01-18
10038.358172844926,2021-01-19
10038.358172844926,2021-01-20
10038.358172844926,2021-01-21
10038.358172844926,2021-01-22
10038.358172844926,2021-01-25
10038.358172844926,2021-01-27
10038.358172844926,2021-01-28
10038.358172844926,2021-01-29
10038.358172844926,2021-02-01
10038.358172844926,2021-02-02
10038.358172844926,2021-02-03
10038.358172844926,2021-02-04
10038.358172844926,2021-02-05
10038.358172844926,2021-02-08
10038.358172844926,2021-02-09
10038.358172844926,2021-02-10
10038.358172844926,2021-02-11
10038.358172844926,2021-02-12
10038.358172844926,2021-02-15
10038.358172844926,2021-02-16
10038.358172844926,2021-02-17
10038.358172844926,2021-02-18
10038.358172844926,2021-02-19
10038.358172844926,2021-02-22
10056.840338869977,2021-02-23
10062.485355242976,2021-02-24
10068.600149997976,2021-02-25
9867.992726227001,2021-02-26
10009.529551916952,2021-03-01
10153.95189404695,2021-03-02
10151.476580553552,2021-03-03
10136.445211695278,2021-03-04
10080.093595969725,2021-03-05
10053.616166689726,2021-03-08
10043.988010309726,2021-03-09
9981.404995369727,2021-03-10
9918.821980429726,2021-03-12
9930.857175649726,2021-03-15
10046.395530589727,2021-03-16
10178.782678009726,2021-03-17
10518.174219109726,2021-03-18
10729.188882342927,2021-03-19
10713.375697793103,2021-03-22
10709.255413327604,2021-03-23
10690.507883017255,2021-03-24
10572.02788534333,2021-03-25
10524.68469304368,2021-03-26
10703.84440312368,2021-03-30
10779.153102976481,2021-03-31
10766.778090519281,2021-04-01
10766.778090519281,2021-04-05
10766.778090519281,2021-04-06
10766.778090519281,2021-04-07
10766.778090519281,2021-04-08
10766.778090519281,2021-04-09
10766.778090519281,2021-04-12
10905.748489190906,2021-04-13
10813.653051994184,2021-04-15
10875.134256275782,2021-04-16
10753.130934175782,2021-04-19
10646.701531975781,2021-04-20
10768.704854075782,2021-04-22
10740.151802075781,2021-04-23
10737.555456675782,2021-04-26
10742.746590425782,2021-04-27
10747.938762025782,2021-04-28
10685.638928275783,2021-04-29
10597.381349525782,2021-04-30
10511.718558575782,2021-05-03
10441.631764875783,2021-05-04
10535.080477375783,2021-05-05
10605.168309475783,2021-05-06
10740.151802075781,2021-05-07
10750.534588775783,2021-05-10
10670.063969975783,2021-05-11
10631.126573675781,2021-05-12
11098.375327625783,2021-05-14
11116.546631875783,2021-05-17
10984.15896547578,2021-05-18
10864.750950925782,2021-05-19
10825.813554625784,2021-05-20
10932.242437625782,2021-05-21
11059.437931875782,2021-05-24
11028.287495525781,2021-05-25
11012.713575625781,2021-05-26
11041.266627625782,2021-05-27
11132.120551775783,2021-05-28
11304.237766379907,2021-05-31
11275.62794470491,2021-06-01
11273.59612057721,2021-06-02
11260.21581553046,2021-06-03
11240.07279222521,2021-06-04
11379.433273023109,2021-06-07
11389.62552584591,2021-06-08
11382.062821933534,2021-06-09
11382.062821933534,2021-06-10
