trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-01-07,ITC,Buy,14,191.43039866,6.7000639531,2680.02558124,9976.1202848869,0,14
2,2021-01-08,ITC,Buy,8,190.20328072,3.8040656144000002,1521.62624576,9993.082830412499,14,22
3,2021-01-11,ITC,Sell,7,191.14721759,3.345076307825,1338.03052313,10045.666014154676,22,15
4,2021-01-12,ITC,Sell,15,194.87576826,7.307841309750001,2923.1365239,10038.358172844926,15,0
5,2021-02-22,ITC,Buy,21,195.44213038,10.260711844950002,4104.2847379800005,10056.840338869977,0,21
6,2021-02-23,ITC,Buy,8,196.81083885,3.9362167770000003,1574.4867108,10062.485355242976,21,29
7,2021-02-24,ITC,Buy,10,197.1412262,4.928530655,1971.412262,10068.600149997976,29,39
8,2021-02-25,ITC,Buy,1,197.42438839,0.493560970975,197.42438839,9867.992726227001,39,40
9,2021-02-26,ITC,Buy,11,192.42154182,5.29159240005,2116.63696002,10009.529551916952,40,51
10,2021-03-02,ITC,Sell,9,198.13234104,4.4579776734,1783.19106936,10151.476580553552,51,42
11,2021-03-03,ITC,Buy,7,198.17954733,3.468142078275,1387.25683131,10136.445211695278,42,49
12,2021-03-04,ITC,Buy,2,197.94356311,0.98971781555,395.88712622,10080.093595969725,49,51
13,2021-03-18,ITC,Sell,8,205.44785184,4.1089570368,1643.58281472,10729.188882342927,51,43
14,2021-03-19,ITC,Sell,41,210.45072673,21.571199489825002,8628.479795930001,10713.375697793103,43,2
15,2021-03-22,ITC,Sell,1,213.3297342,0.5333243355,213.3297342,10709.255413327604,2,1
16,2021-03-23,ITC,Buy,2,209.74277407,1.04871387035,419.48554814,10690.507883017255,1,3
17,2021-03-24,ITC,Buy,23,203.84316859,11.720982193925002,4688.392877570001,10572.02788534333,3,26
18,2021-03-25,ITC,Buy,26,199.73705261,12.98290841965,5193.16336786,10524.68469304368,26,52
19,2021-03-30,ITC,Sell,28,202.52165696,14.1765159872,5670.60639488,10779.153102976481,52,24
20,2021-03-31,ITC,Sell,24,206.25020762,12.3750124572,4950.00498288,10766.778090519281,24,0
21,2021-04-12,ITC,Buy,51,193.79024085,24.708255708375,9883.30228335,10905.748489190906,0,51
22,2021-04-13,ITC,Sell,3,196.99962623,1.477497196725,590.99887869,10813.653051994184,51,48
23,2021-04-15,ITC,Buy,7,195.11175248,3.4144556684000005,1365.78226736,10875.134256275782,48,55
24,2021-05-28,ITC,Sell,5,200.96415167,2.512051895875,1004.82075835,11304.237766379907,55,50
25,2021-05-31,ITC,Sell,46,204.456737,23.512524755,9405.009902,11275.62794470491,50,4
26,2021-06-01,ITC,Sell,4,203.18241277,2.0318241277,812.72965108,11273.59612057721,4,0
27,2021-06-02,ITC,Buy,30,197.28280729,14.796210546749998,5918.4842186999995,11260.21581553046,0,30
28,2021-06-03,ITC,Buy,15,197.33000414,7.399875155250001,2959.9500621,11240.07279222521,30,45
29,2021-06-04,ITC,Buy,12,197.04682307,5.9114046921,2364.56187684,11379.433273023109,45,57
30,2021-06-07,ITC,Sell,42,199.59545264,20.9575225272,8383.00901088,11389.62552584591,57,15
31,2021-06-08,ITC,Sell,15,201.67210433,7.562703912375,3025.08156495,11382.062821933534,15,0
32,2021-06-10,ITC,Buy,57,197.56598836,28.153153341299998,11261.26133652,11278.582967602233,0,57
33,2021-08-03,ITC,Sell,18,198.13234104,8.9159553468,3566.38213872,11329.418952665435,57,39
34,2021-08-04,ITC,Buy,18,196.90524198,8.8607358891,3544.29435564,11678.356951806336,39,57
35,2021-08-05,ITC,Sell,57,203.18241277,28.953493819725004,11581.397527890002,11649.403457986611,57,0
36,2021-08-10,ITC,Buy,33,198.08516308,16.3420259541,6536.81038164,11595.680908742512,0,33
37,2021-08-11,ITC,Buy,25,196.95241995,12.309526246875,4923.81049875,11597.058467255636,33,58
38,2021-09-16,ITC,Sell,54,217.81343437,29.404813639950003,11761.925455980001,12765.415666455689,58,4
39,2021-09-17,ITC,Sell,4,218.19099968,2.1819099968,872.76399872,12763.233756458889,4,0
40,2021-10-08,ITC,Buy,34,218.7101744,18.590364824,7436.1459296,12948.43936341489,0,34
41,2021-10-11,ITC,Sell,34,224.70417357,19.09985475345,7639.94190138,12929.33950866144,34,0
42,2021-11-01,ITC,Buy,4,214.13208999,2.1413208999,856.52835996,12922.478503361539,0,4
43,2021-11-02,ITC,Buy,33,212.95216889,17.568553933425,7027.42157337,12794.893757228114,4,37
44,2021-11-03,ITC,Buy,22,209.97875829,11.548831705949999,4619.53268238,13011.683255732165,37,59
45,2021-11-04,ITC,Sell,18,213.84889948,9.623200476600001,3849.28019064,13127.839644105567,59,41
46,2021-11-08,ITC,Sell,17,216.91669433,9.218959509025002,3687.5838036100004,13094.83347531654,41,24
47,2021-11-09,ITC,Buy,23,215.92556061,12.415719735075,4966.28789403,13175.584768941466,24,47
48,2021-11-10,ITC,Sell,13,217.90783749,7.082004718425,2832.80188737,13141.222667703041,47,34
49,2021-11-11,ITC,Buy,11,217.10548171,5.970400747025,2388.16029881,13258.435604456017,34,45
50,2021-11-12,ITC,Sell,1,219.84288921,0.5496072230250001,219.84288921,13473.859585392991,45,44
51,2021-11-15,ITC,Sell,44,224.75137985,24.7226517835,9889.0607134,13449.136933609492,44,0
52,2021-11-16,ITC,Buy,22,222.24993769,12.223746572949999,4889.49862918,13521.017962736543,0,22
53,2021-11-17,ITC,Sell,10,226.07288204,5.651822051000001,2260.7288204,13492.711655685545,22,12
54,2021-11-18,ITC,Buy,48,224.18500829,26.9022009948,10760.88039792,13092.009884890744,12,60
55,2021-12-10,ITC,Sell,48,222.8635061,26.743620732,10697.4482928,13342.784838718744,60,12
56,2021-12-13,ITC,Buy,19,221.44760078,10.518761037049998,4207.5044148199995,13156.693818621698,12,31
57,2021-12-14,ITC,Buy,29,215.78397952,15.6443385152,6257.73540608,12883.354146306498,31,60
58,2022-02-01,ITC,Sell,57,214.98162374,30.634881382950002,12253.95255318,13074.733190383547,60,3
59,2022-02-02,ITC,Sell,3,219.13493656,1.6435120241999999,657.40480968,13073.089678359347,3,0
60,2022-02-08,ITC,Buy,15,218.28540281,8.185702605374999,3274.28104215,13049.328875603973,0,15
61,2022-02-09,ITC,Buy,8,217.2470628,4.344941256,1737.9765024,13090.576302587971,15,23
62,2022-02-10,ITC,Buy,3,219.22933968,1.6442200476,657.68801904,13093.84055442037,23,26
63,2022-02-11,ITC,Sell,11,219.41812706,6.03399849415,2413.59939766,12903.738864926221,26,15
64,2022-02-14,ITC,Buy,23,207.14694766,11.910949490450001,4764.37979618,13019.165000015772,15,38
65,2022-02-15,ITC,Sell,12,210.49792357,6.3149377071,2525.97508284,13006.714472588672,38,26
66,2022-02-16,ITC,Sell,22,210.26193935,11.56440666425,4625.7626657,12994.772453404423,26,4
67,2022-02-17,ITC,Sell,4,210.16753622,2.1016753622,840.67014488,12992.670778042224,4,0
68,2022-02-18,ITC,Buy,9,209.45958357,4.712840630325,1885.13625213,12954.825837991899,0,9
69,2022-02-21,ITC,Buy,47,205.77823919,24.178943104825,9671.57724193,12764.136958007075,9,56
70,2022-02-22,ITC,Buy,6,202.80484746,3.0420727119,1216.82908476,12825.470795355177,56,62
71,2022-02-25,ITC,Sell,4,201.95529483,2.0195529483000003,807.82117932,12810.425460866874,62,58
72,2022-02-28,ITC,Sell,2,203.74878434,1.0187439217,407.49756868,12780.332932625175,58,56
73,2022-03-02,ITC,Buy,6,203.22960962,3.0484441443,1219.37765772,13017.232656980877,56,62
74,2022-03-03,ITC,Sell,13,207.09974137,6.730741594525,2692.29663781,13292.645110496353,62,49
75,2022-03-04,ITC,Sell,41,212.85776576,21.817920990400005,8727.168396160001,13266.673867265952,49,8
76,2022-03-07,ITC,Sell,8,212.33860048,4.2467720096,1698.70880384,13262.427095256353,8,0
77,2022-03-09,ITC,Buy,14,216.39752905,7.57391351675,3029.5654067,13291.194751479605,0,14
78,2022-03-10,ITC,Buy,26,218.99335546,14.2345681049,5693.82724196,13441.205577774705,14,40
79,2022-03-11,ITC,Buy,4,223.09949032,2.2309949032,892.39796128,13549.037207191504,40,44
80,2022-03-14,ITC,Sell,1,225.6009136,0.5640022840000001,225.6009136,13501.795932197505,44,43
81,2022-03-15,ITC,Sell,1,224.51539563,0.5612884890750001,224.51539563,13689.550050848427,43,42
82,2022-03-16,ITC,Sell,9,228.9990958,5.1524796555000005,2060.9918622,13756.041757212928,42,33
83,2022-03-17,ITC,Sell,19,231.17013174,10.98058125765,4392.2325030599995,13739.775261615277,33,14
84,2022-03-21,ITC,Sell,6,230.79256643,3.4618884964500003,1384.75539858,13775.958721918827,14,8
85,2022-03-22,ITC,Sell,8,235.74823503,4.7149647005999995,1885.98588024,13771.243757218228,8,0
86,2022-04-25,ITC,Buy,32,240.93988785,19.275191028,7710.0764112,13863.73099467023,0,32
87,2022-04-26,ITC,Sell,20,244.43246374,12.221623187,4888.6492748,13835.084756563228,32,12
88,2022-04-27,ITC,Buy,29,243.06374583,17.622121572675,7048.848629069999,13956.788104780553,12,41
89,2022-04-28,ITC,Sell,36,246.46192802,22.1815735218,8872.62940872,13927.290926108755,41,5
90,2022-04-29,ITC,Buy,16,244.99880699,9.7999522796,3919.98091184,13988.852601579158,5,21
91,2022-05-02,ITC,Sell,20,248.39697974,12.419848987,4967.9395948,13973.223376652157,21,1
92,2022-05-04,ITC,Buy,27,245.1876038,16.5501632565,6620.0653026,14017.46248403566,1,28
93,2022-05-05,ITC,Sell,28,247.35864918,17.3151054426,6926.04217704,14000.147378593058,28,0
94,2022-05-10,ITC,Buy,32,245.1876038,19.615008304,7846.0033216,13856.687550129058,0,32
95,2022-05-11,ITC,Buy,25,241.31745317,15.082340823125001,6032.93632925,13693.643103365936,32,57
96,2022-05-17,ITC,Sell,10,249.86010078,6.2465025195,2498.6010078,14415.455302876435,57,47
97,2022-05-18,ITC,Sell,47,251.84234934,29.59147604745,11836.59041898,14385.863826828983,47,0
98,2022-06-10,ITC,Buy,23,255.00453788,14.662760928099999,5865.10437124,14251.793051040884,0,23
99,2022-06-13,ITC,Buy,33,249.81288506,20.60956301745,8243.82520698,14273.472917303434,23,56
100,2022-06-21,ITC,Sell,4,254.76855366,2.5476855366,1019.07421464,14280.363543326835,56,52
101,2022-06-22,ITC,Buy,5,250.42644403,3.130330550375,1252.13222015,14287.994630946461,52,57
102,2022-06-28,ITC,Sell,8,256.60924945,5.132184989,2052.8739956,14726.27640697746,57,49
103,2022-06-29,ITC,Sell,1,258.6858917,0.6467147292500001,258.6858917,14700.71021192821,49,48
104,2022-06-30,ITC,Buy,8,258.16673586,5.163334717200001,2065.33388688,15269.08345201101,48,56
105,2022-07-01,ITC,Sell,24,268.40846041,16.1045076246,6441.803049839999,15481.033489986408,56,32
106,2022-07-04,ITC,Sell,22,275.53516496,15.1544340728,6061.77362912,15418.68221201361,32,10
107,2022-07-05,ITC,Buy,4,270.81548057,2.7081548057,1083.26192228,15447.690336347909,10,14
108,2022-07-06,ITC,Buy,1,273.08092908,0.6827023227,273.08092908,15484.52940802521,14,15
109,2022-07-07,ITC,Sell,9,275.58238068,6.200603565300001,2480.24142612,15484.55867459991,15,6
110,2022-07-08,ITC,Sell,6,276.62069237,4.14931038555,1659.72415422,15480.40936421436,6,0
111,2022-10-10,ITC,Buy,8,309.46971456,6.1893942912,2475.75771648,15462.51500168316,0,8
112,2022-10-11,ITC,Buy,13,308.00659353,10.010214289724999,4004.08571589,15527.831346603436,8,21
113,2022-10-12,ITC,Sell,8,311.59357254,6.231871450800001,2492.74858032,15503.806019602634,21,13
114,2022-10-13,ITC,Buy,15,310.22484519,11.633431694625001,4653.37267785,15583.35741870801,13,28
115,2022-10-14,ITC,Sell,17,313.48144629,13.322961467325001,5329.1845869300005,15571.591849230685,28,11
116,2022-10-17,ITC,Buy,3,313.62302738,2.35217270535,940.86908214,15675.621230405335,11,14
117,2022-10-18,ITC,Sell,14,321.2217098,11.242759843,4497.1039372,15664.378470562337,14,0
118,2022-11-16,ITC,Buy,12,324.80868882,9.744260664599999,3897.7042658399996,15650.103312777737,0,12
119,2022-11-17,ITC,Buy,9,324.43111406,7.299700066350002,2919.8800265400005,15590.273129111385,12,21
120,2022-11-18,ITC,Buy,24,321.92966246,19.3157797476,7726.31189904,15407.421134863787,21,45
121,2022-11-21,ITC,Buy,3,318.29552436,2.3872164327000003,954.8865730800001,15543.225824351088,45,48
122,2022-11-22,ITC,Sell,7,321.1745224,5.620554142,2248.2216568,15520.189247979088,48,41
123,2022-11-23,ITC,Buy,7,320.74974137,5.613120473975,2245.24818959,15557.620102065111,41,48
124,2022-11-24,ITC,Sell,5,321.64649084,4.0205811355000005,1608.2324542000001,15535.33393620961,48,43
125,2022-11-25,ITC,Buy,5,321.2217098,4.0152713725,1606.108549,15519.991422277113,43,48
126,2022-11-28,ITC,Sell,2,320.98572558,1.6049286279000001,641.97145116,15616.083960729211,48,46
127,2022-11-29,ITC,Sell,7,323.10958356,5.6544177123,2261.76708492,15525.758773196912,46,39
128,2022-11-30,ITC,Buy,9,320.93853818,7.2211171090500015,2888.4468436200004,15498.148166647863,39,48
129,2023-01-30,ITC,Sell,7,325.46942575,5.695714950625001,2278.28598025,16022.520978797238,48,41
130,2023-01-31,ITC,Sell,14,332.59616805,11.64086588175,4656.3463527,16241.530579135486,41,27
131,2023-02-01,ITC,Sell,27,341.13877791,23.026867508924997,9210.747003569999,16218.503711626561,27,0
132,2023-03-01,ITC,Buy,7,357.46890476,6.2557058332999995,2502.28233332,16191.434065513262,0,7
133,2023-03-02,ITC,Buy,34,354.49548472,30.1321162012,12052.846480479999,16525.095995632062,7,41
134,2023-03-03,ITC,Sell,34,363.36851024,30.886323370399996,12354.529348159998,16515.353726171663,41,7
135,2023-03-06,ITC,Sell,7,366.38908937,6.411809063975,2564.72362559,16508.941917107688,7,0
136,2023-03-13,ITC,Buy,13,362.14137342,11.76959463615,4707.83785446,16448.701409331537,0,13
137,2023-03-14,ITC,Buy,32,358.41284164,28.6730273312,11469.21093248,16407.28438425034,13,45
138,2023-03-20,ITC,Sell,11,357.56327957,9.832990188175001,3933.19607527,16312.592110762162,45,34
139,2023-03-21,ITC,Buy,11,355.81701522,9.78496791855,3913.98716742,16336.788445993614,34,45
140,2023-03-23,ITC,Sell,11,359.30956279,9.881012976725,3952.4051906899995,16387.508397496887,45,34
141,2023-03-24,ITC,Buy,11,357.46890476,9.8303948809,3932.15795236,16441.39374156599,34,45
142,2023-03-27,ITC,Sell,3,358.88481007,2.6916360755250004,1076.65443021,16420.861302230463,45,42
143,2023-03-28,ITC,Buy,3,358.46002904,2.6884502178000003,1075.38008712,16545.604330362665,42,45
144,2023-03-29,ITC,Sell,2,361.29183967,1.80645919835,722.58367934,16574.239835544315,45,43
145,2023-03-31,ITC,Buy,2,361.99979233,1.80999896165,723.99958466,16377.034478432666,43,45
146,2023-04-17,ITC,Sell,13,377.71633189,12.275780786425,4910.31231457,17217.55877087624,45,32
147,2023-04-18,ITC,Buy,1,376.15884548,0.9403971137000001,376.15884548,17224.40585302254,32,33
148,2023-04-20,ITC,Sell,14,377.85792242,13.2250272847,5290.01091388,17402.044730277838,33,19
149,2023-04-21,ITC,Sell,16,385.36223004,15.4144892016,6165.79568064,17387.90458416624,19,3
150,2023-04-24,ITC,Sell,3,385.78701107,2.893402583025,1157.36103321,17385.011181583213,3,0
151,2023-06-27,ITC,Buy,14,420.14631339,14.705120968649998,5882.0483874599995,17426.470304834562,0,14
152,2023-06-28,ITC,Sell,14,424.15804512,14.845531579200001,5938.21263168,17411.624773255364,14,0
153,2023-08-02,ITC,Buy,2,434.30536655,2.17152683275,868.6107331,17401.807319962616,0,2
154,2023-08-03,ITC,Buy,16,430.48240332,17.2192961328,6887.71845312,17365.898413409814,2,18
155,2023-08-04,ITC,Buy,11,429.44409163,11.809712519825,4723.88500793,17352.719445009992,18,29
156,2023-08-08,ITC,Buy,11,426.98985575,11.742221033125,4696.88841325,17509.044977336867,29,40
157,2023-08-09,ITC,Sell,12,432.9366392,12.988099176,5195.2396704,17313.688537600865,40,28
158,2023-08-10,ITC,Buy,12,426.42348418,12.7927045254,5117.08181016,17187.623407875464,28,40
159,2023-08-22,ITC,Sell,2,428.78332638,2.1439166319000003,857.56665276,17256.841477843565,40,38
160,2023-08-23,ITC,Buy,2,425.19637568,2.1259818784,850.39275136,17271.705604765168,38,40
161,2023-12-01,ITC,Sell,1,424.58279784,1.0614569946,424.58279784,17385.568462450567,40,39
162,2023-12-04,ITC,Sell,32,428.59452956,34.2875623648,13715.02494592,17336.083582425767,39,7
163,2023-12-05,ITC,Buy,2,426.42348418,2.1321174209000002,852.84696836,17431.648931814867,7,9
164,2023-12-06,ITC,Sell,9,437.27875827,9.838772061075002,3935.5088244300005,17421.810159753793,9,0
165,2023-12-08,ITC,Buy,3,423.96923887,3.1797692915250004,1271.90771661,17427.97542217227,0,3
166,2023-12-11,ITC,Buy,11,427.08424944,11.7448168596,4697.92674384,17424.820430892665,3,14
167,2023-12-12,ITC,Sell,14,427.69780841,14.96942329435,5987.76931774,17409.851007598318,14,0
168,2024-01-23,ITC,Buy,33,433.55019817,35.767891349025,14307.15653961,17508.02838209929,0,33
169,2024-01-24,ITC,Sell,5,437.60914562,5.4701143202499996,2188.0457281,17292.437390379044,33,28
170,2024-01-25,ITC,Buy,12,430.10482857,12.903144857100001,5161.25794284,17058.653016321947,28,40
171,2024-03-22,ITC,Sell,6,404.57135492,6.0685703237999995,2427.42812952,16221.636926258145,40,34
172,2024-03-26,ITC,Buy,6,403.67459601,6.055118940150001,2422.04757606,16228.797301317994,34,40
173,2024-03-28,ITC,Sell,1,404.3353707,1.01083842675,404.3353707,16180.259618731245,40,39
174,2024-04-01,ITC,Buy,1,402.77787486,1.00694468715,402.77787486,16147.158820044095,39,40
175,2024-04-10,ITC,Sell,8,412.45322784,8.2490645568,3299.62582272,16351.106765487295,40,32
176,2024-04-12,ITC,Buy,8,405.98726024,8.119745204800001,3247.89808192,16184.404869482494,32,40
177,2024-04-25,ITC,Sell,12,413.01957109,12.3905871327,4956.23485308,16676.643201269795,40,28
178,2024-04-26,ITC,Sell,5,415.33222588,5.1916528235,2076.6611294,16632.372778826295,28,23
179,2024-04-29,ITC,Buy,3,413.63314894,3.1022486170500003,1240.89944682,16566.687024549243,23,26
180,2024-04-30,ITC,Buy,14,411.22609103,14.39291318605,5757.16527442,16678.782030163195,26,40
181,2024-05-02,ITC,Sell,3,414.388289,3.1079121675,1243.164867,16586.614023165694,40,37
182,2024-05-03,ITC,Buy,3,411.98125941,3.0898594455750006,1235.9437782300001,16519.33607852012,37,40
183,2024-05-07,ITC,Sell,16,415.66261323,16.626504529199998,6650.60181168,16728.87700071092,40,24
184,2024-05-08,ITC,Sell,7,416.27616276,7.2848328483,2913.93313932,16466.44619039262,24,17
185,2024-05-09,ITC,Buy,16,401.26757585,16.050703034,6420.2812136,16707.38230227862,17,33
186,2024-05-10,ITC,Sell,6,409.05505509,6.1358258263500005,2454.33033054,16663.01703281227,33,27
187,2024-05-13,ITC,Buy,1,407.63914977,1.019097874425,407.63914977,16605.172935097846,27,28
188,2024-05-14,ITC,Buy,4,405.60968549,4.0560968549,1622.43874196,16543.724871842947,28,32
189,2024-05-15,ITC,Buy,8,403.81618654,8.0763237308,3230.52949232,16673.464087312146,32,40
190,2024-05-18,ITC,Sell,3,412.1700279,3.09127520925,1236.5100837,16802.0984481629,40,37
191,2024-05-21,ITC,Buy,3,410.42374468,3.0781780851000002,1231.27123404,16991.583392877797,37,40
192,2024-05-22,ITC,Sell,3,415.23782275,3.114283670625,1245.71346825,17039.112021157172,40,37
193,2024-05-23,ITC,Sell,16,416.6065501,16.664262004,6665.7048016,16920.36098604317,37,21
194,2024-05-24,ITC,Buy,20,411.74527519,20.587263759499997,8234.905503799999,16717.876699123673,21,41
195,2024-06-07,ITC,Sell,10,414.5298701,10.3632467525,4145.298701,16937.739269461174,41,31
196,2024-06-10,ITC,Buy,10,412.40601212,10.310150303,4124.0601212,16776.49399957817,31,41
197,2024-07-09,ITC,Sell,15,427.22583997,16.020968998875,6408.387599549999,17490.797379349297,41,26
198,2024-07-10,ITC,Sell,2,426.14031256,2.1307015628,852.28062512,17651.7785171465,26,24
199,2024-07-11,ITC,Sell,6,432.9366392,6.494049588,2597.6198352,17652.0808130585,24,18
200,2024-07-12,ITC,Sell,8,433.31421395,8.666284279000001,3466.5137116,17684.4757828795,18,10
201,2024-07-15,ITC,Sell,2,437.42033936,2.1871016968,874.84067872,17698.5243955027,10,8
202,2024-07-16,ITC,Sell,2,439.44980365,2.19724901825,878.8996073,17722.946223044448,8,6
203,2024-07-18,ITC,Sell,4,443.88631641,4.4388631641,1775.54526564,17726.62519814035,6,2
204,2024-07-19,ITC,Sell,2,447.94523554,2.2397261777,895.89047108,17724.38547196265,2,0
205,2024-08-13,ITC,Buy,4,462.52906973,4.6252906973000005,1850.11627892,17728.06686354535,0,4
206,2024-08-14,ITC,Sell,4,464.6057403,4.6460574029999995,1858.4229612,17723.420806142352,4,0
207,2024-08-27,ITC,Buy,1,472.53481007,1.181337025175,472.53481007,17719.124458537175,0,1
208,2024-08-28,ITC,Buy,26,469.41979949,30.512286966850002,12204.91478674,17887.40578761033,1,27
209,2024-08-29,ITC,Sell,27,476.78252601,32.182820505675004,12873.128202270002,17855.222967104655,27,0
210,2024-09-04,ITC,Buy,3,477.96243767,3.5847182825250004,1433.88731301,17865.372558692132,0,3
211,2024-09-05,ITC,Sell,3,482.54054096,3.6190540571999996,1447.62162288,17861.753504634933,3,0
212,2024-09-06,ITC,Buy,29,473.57314063,34.334052695675,13733.62107827,18102.529580869257,0,29
213,2024-09-09,ITC,Sell,26,483.0596968,31.398880292,12559.5521168,18076.36955026726,29,3
214,2024-09-10,ITC,Sell,3,484.80598003,3.6360448502250002,1454.41794009,18072.733505417036,3,0
215,2024-09-16,ITC,Buy,11,482.44613783,13.267268790325,5306.90751613,18024.682162796715,0,11
216,2024-09-17,ITC,Buy,16,479.2839493,19.171357972000003,7668.5431888,17995.316286574714,11,27
217,2024-09-18,ITC,Buy,6,478.90637455,7.18359561825,2873.4382473,18016.167616226463,27,33
218,2024-09-19,ITC,Sell,4,479.75591774,4.7975591774,1919.02367096,18179.721198959065,33,29
219,2024-09-20,ITC,Sell,29,485.56112953,35.203181890925,14081.272756370001,18144.51801706814,29,0
220,2024-09-30,ITC,Buy,8,489.10089282,9.782017856400001,3912.80714256,18120.010583931744,0,8
221,2024-10-01,ITC,Buy,28,487.26021591,34.1082151137,13643.28604548,17968.665408538043,8,36
222,2024-10-03,ITC,Buy,1,484.00363368,1.2100090842,484.00363368,17646.13928646384,36,37
223,2024-10-15,ITC,Sell,3,470.59973003,3.529497975225,1411.79919009,17296.27934856862,37,34
224,2024-10-16,ITC,Buy,3,465.54966774,3.49162250805,1396.64900322,17142.607368970566,34,37
225,2025-01-08,ITC,Sell,2,449.55,2.24775,899.1,16717.802269680567,37,35
226,2025-01-09,ITC,Sell,19,450.1,21.379749999999998,8551.9,16613.222519680567,35,16
227,2025-01-10,ITC,Buy,21,444.9,23.35725,9342.9,16373.41526968057,16,37
228,2025-02-01,ITC,Sell,7,462.55,8.094625,3237.85,16988.82064468057,37,30
229,2025-02-03,ITC,Buy,7,454.35,7.951125000000001,3180.4500000000003,17010.46951968057,30,37
