trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2020-12-09,RELIANCE,Buy,2,920.09240003,4.60046200015,1840.18480006,9977.28775093985,0,2
2,2020-12-10,RELIANCE,Buy,2,911.0365065,4.5551825325,1822.073013,9970.55370680735,2,4
3,2020-12-11,RELIANCE,Buy,1,910.4917911,2.27622947775,910.4917911,9935.3675885796,4,5
4,2020-12-14,RELIANCE,Buy,3,903.90981335,6.779323600125,2711.72944005,9867.035424739475,5,8
5,2020-12-15,RELIANCE,Sell,1,896.21570832,2.2405392708,896.21570832,9871.785399838678,8,7
6,2020-12-16,RELIANCE,Sell,1,897.21435323,2.243035883075,897.21435323,9894.190735775603,7,6
7,2020-12-17,RELIANCE,Sell,2,901.3224152,4.506612076000001,1802.6448304,9900.487645779602,6,4
8,2020-12-18,RELIANCE,Sell,1,904.02329572,2.2600582393,904.02329572,9827.618853830303,4,3
9,2020-12-21,RELIANCE,Sell,3,880.48705115,6.603652883625,2641.46115345,9821.015200946676,3,0
10,2021-01-25,RELIANCE,Buy,8,881.0771595,17.62154319,7048.617276,9636.347601756675,0,8
11,2021-01-27,RELIANCE,Sell,2,860.1964025,4.3009820125,1720.392805,9581.796624064176,8,6
12,2021-01-28,RELIANCE,Sell,2,851.82140322,4.2591070161,1703.64280644,9514.713674288076,6,4
13,2021-01-29,RELIANCE,Buy,3,836.11544253,6.2708658189749995,2508.34632759,9677.962780209102,4,7
14,2021-02-01,RELIANCE,Sell,5,860.33258135,10.754157266875,4301.66290675,9694.898322442226,7,2
15,2021-02-02,RELIANCE,Sell,2,874.1774311,4.3708871555,1748.3548622,9690.527435286727,2,0
16,2021-02-18,RELIANCE,Buy,1,938.59002715,2.346475067875,938.59002715,9693.900471918852,0,1
17,2021-02-22,RELIANCE,Buy,8,911.53582895,18.230716579,7292.2866316,9705.606405909853,1,9
18,2021-02-23,RELIANCE,Sell,6,918.50364678,13.777554701700002,5511.02188068,9742.964009368152,9,3
19,2021-02-24,RELIANCE,Sell,3,935.5486995,7.01661524625,2806.6460985,9735.947394121902,3,0
20,2021-02-26,RELIANCE,Buy,1,946.8061511,2.36701537775,946.8061511,9740.797857794154,0,1
21,2021-03-01,RELIANCE,Sell,1,954.02363015,2.385059075375,954.02363015,9738.412798718779,1,0
22,2021-03-08,RELIANCE,Buy,1,994.60497284,2.4865124321,994.60497284,9735.90354442668,0,1
23,2021-03-09,RELIANCE,Buy,4,994.58223098,9.9458223098,3978.32892392,9705.30392981688,1,5
24,2021-03-10,RELIANCE,Buy,1,990.45147252,2.4761286813,990.45147252,9582.037433555579,5,6
25,2021-03-12,RELIANCE,Sell,1,970.31974459,2.425799361475,970.31974459,9514.472297044103,6,5
26,2021-03-15,RELIANCE,Sell,3,957.29187716,7.179689078700001,2871.8756314800003,9499.757559825404,5,2
27,2021-03-16,RELIANCE,Sell,2,953.52435309,4.76762176545,1907.04870618,9494.989938059955,2,0
28,2021-04-06,RELIANCE,Buy,1,900.73230685,2.251830767125,900.73230685,9501.15849952283,0,1
29,2021-04-07,RELIANCE,Sell,1,909.15269908,2.2728817477,909.15269908,9498.88561777513,1,0
30,2021-04-12,RELIANCE,Buy,9,867.52736393,19.519365688425,7807.74627537,9563.729049616704,0,9
31,2021-04-13,RELIANCE,Sell,1,876.9010081,2.1922525202500003,876.9010081,9606.929747096454,9,8
32,2021-04-15,RELIANCE,Sell,1,882.57512685,2.206437817125,882.57512685,9565.957729979329,8,7
33,2021-04-16,RELIANCE,Buy,1,877.03718695,2.192592967375,877.03718695,9453.369482611954,7,8
34,2021-04-19,RELIANCE,Buy,2,863.23773015,4.31618865075,1726.4754603,9446.556681761205,8,10
35,2021-04-26,RELIANCE,Sell,1,879.64728158,2.19911820395,879.64728158,9818.486257457254,10,9
36,2021-04-27,RELIANCE,Sell,7,902.70690018,15.797370753150002,6318.94830126,9810.541867044105,9,2
37,2021-04-28,RELIANCE,Sell,2,906.63339035,4.53316695175,1813.2667807,9806.008700092356,2,0
38,2021-04-30,RELIANCE,Buy,3,905.36238775,6.790217908125001,2716.0871632500002,9750.94307984423,0,3
39,2021-05-03,RELIANCE,Buy,6,889.27058697,13.33905880455,5335.62352182,9564.18025560968,3,9
40,2021-05-04,RELIANCE,Buy,1,870.0012797,2.1750031992500003,870.0012797,9577.892784910431,9,10
41,2021-05-05,RELIANCE,Sell,2,871.59003295,4.35795016475,1743.1800659,9613.117487145682,10,8
42,2021-05-06,RELIANCE,Sell,5,876.5378645,10.956723306249998,4382.689322499999,9603.18210519943,8,3
43,2021-05-07,RELIANCE,Sell,3,876.87831162,6.576587337149999,2630.6349348599997,9596.605517862281,3,0
44,2021-05-24,RELIANCE,Buy,1,901.34511168,2.2533627791999997,901.34511168,9584.138741333081,0,1
45,2021-05-25,RELIANCE,Buy,3,891.13169793,6.683487734475,2673.39509379,9589.983707758605,1,4
46,2021-05-26,RELIANCE,Sell,2,894.26381147,4.47131905735,1788.52762294,9591.004935661254,4,2
47,2021-05-27,RELIANCE,Sell,2,897.01008495,4.48505042475,1794.0201699,9586.519885236505,2,0
