account_value,date
10000.0,2022-09-22
9729.1236397,2022-09-23
9417.1236397,2022-09-26
9355.9238797,2022-09-27
9103.3239997,2022-09-28
9133.9238797,2022-09-29
9304.3239997,2022-09-30
9178.9238797,2022-10-03
9419.5237597,2022-10-04
9567.1236397,2022-10-06
9574.3239997,2022-10-07
9828.1236397,2022-10-10
9911.239489799998,2022-10-11
9891.600740049998,2022-10-12
9891.600740049998,2022-10-13
9891.600740049998,2022-10-14
9891.600740049998,2022-10-17
9891.600740049998,2022-10-18
9891.600740049998,2022-10-19
9891.600740049998,2022-10-20
9891.600740049998,2022-10-21
9891.600740049998,2022-10-24
9891.600740049998,2022-10-25
9891.600740049998,2022-10-27
9891.600740049998,2022-10-28
9891.600740049998,2022-10-31
9891.600740049998,2022-11-01
9891.600740049998,2022-11-02
9891.600740049998,2022-11-03
9891.600740049998,2022-11-04
9891.600740049998,2022-11-07
9891.600740049998,2022-11-09
9891.600740049998,2022-11-10
9891.600740049998,2022-11-11
9891.600740049998,2022-11-14
9891.600740049998,2022-11-15
9891.600740049998,2022-11-16
9891.600740049998,2022-11-17
9891.600740049998,2022-11-18
9891.600740049998,2022-11-21
9891.600740049998,2022-11-22
9891.600740049998,2022-11-23
9891.600740049998,2022-11-24
9891.600740049998,2022-11-25
9891.600740049998,2022-11-28
9891.600740049998,2022-11-29
9891.600740049998,2022-11-30
9891.600740049998,2022-12-01
9891.600740049998,2022-12-02
9891.600740049998,2022-12-05
9891.600740049998,2022-12-06
9891.600740049998,2022-12-07
9891.600740049998,2022-12-08
9891.600740049998,2022-12-09
9891.600740049998,2022-12-12
9891.600740049998,2022-12-13
9891.600740049998,2022-12-14
9891.600740049998,2022-12-15
9891.600740049998,2022-12-16
9891.600740049998,2022-12-19
9891.600740049998,2022-12-20
9891.600740049998,2022-12-21
9891.600740049998,2022-12-22
9754.360775275,2022-12-23
9973.094575325,2022-12-26
10008.094575325,2022-12-27
9933.094575325,2022-12-28
10031.594375324998,2022-12-29
10023.594475324999,2022-12-30
10102.094275324998,2023-01-02
10309.094375324998,2023-01-03
10260.594575325,2023-01-04
10181.594375324998,2023-01-05
10085.094675325,2023-01-06
10273.594475324999,2023-01-09
10207.594675325,2023-01-10
10183.594475324999,2023-01-11
10041.594375324998,2023-01-12
10027.594675325,2023-01-13
9817.594675325,2023-01-16
9863.094575325,2023-01-17
9926.094475324999,2023-01-18
9973.094575325,2023-01-19
9991.594375324998,2023-01-20
10013.094575325,2023-01-23
9788.094575325,2023-01-24
9609.594275324998,2023-01-25
9423.594475324999,2023-01-27
9404.594275324998,2023-01-30
9402.094275324998,2023-01-31
9258.594475324999,2023-02-01
9370.594575325,2023-02-02
9512.094275324998,2023-02-03
9512.594675325,2023-02-06
9477.094275324998,2023-02-07
9403.594475324999,2023-02-08
9363.094575325,2023-02-09
9358.594475324999,2023-02-10
9277.094275324998,2023-02-13
9393.594475324999,2023-02-14
9369.094375324998,2023-02-15
9333.594475324999,2023-02-16
9235.094675325,2023-02-17
9153.594475324999,2023-02-20
9126.594375324998,2023-02-21
9019.594275324998,2023-02-22
9129.594275324998,2023-02-23
9200.094675325,2023-02-24
9229.594275324998,2023-02-27
9127.094275324998,2023-02-28
9337.594675325,2023-03-01
9140.594575325,2023-03-02
9212.594675325,2023-03-03
9281.094475324999,2023-03-06
9295.594575325,2023-03-08
9274.070825075,2023-03-09
9274.070825075,2023-03-10
9274.070825075,2023-03-13
9256.681200625,2023-03-14
9159.881310625,2023-03-15
9231.381310625,2023-03-16
9306.731640625,2023-03-17
9308.381310625,2023-03-20
9506.931200625,2023-03-21
9441.481640625,2023-03-22
9427.034930425001,2023-03-23
9412.1809306,2023-03-24
9317.033240050001,2023-03-27
9307.13357005,2023-03-28
9418.783240050001,2023-03-29
9593.68346005,2023-03-31
9660.783240050001,2023-04-03
9637.006740600002,2023-04-05
9637.006740600002,2023-04-06
9637.006740600002,2023-04-10
9679.154726150002,2023-04-11
9654.404726150002,2023-04-12
9800.704616150002,2023-04-13
9802.904726150002,2023-04-17
9789.704616150002,2023-04-18
9900.255056150001,2023-04-19
9849.104836150002,2023-04-20
9799.054946150001,2023-04-21
9998.154726150002,2023-04-24
9954.704616150002,2023-04-25
10057.005056150001,2023-04-26
9988.255056150001,2023-04-27
9752.854836150002,2023-04-28
9870.005056150001,2023-05-02
9751.204616150002,2023-05-03
9818.304946150001,2023-05-04
9811.154726150002,2023-05-05
9955.804946150001,2023-05-08
10063.604836150002,2023-05-09
10081.755056150001,2023-05-10
