trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-04-22,HINDALCO,Buy,8,514.15002,10.2830004,4113.20016,9840.5168396,0,8
2,2022-04-25,HINDALCO,Buy,11,495.5,13.62625,5450.5,9787.940779600001,8,19
3,2022-04-28,HINDALCO,Sell,19,488.60001,23.208500475,9283.40019,9672.582279125003,19,0
4,2022-05-04,HINDALCO,Buy,20,461.64999,23.0824995,9232.9998,9648.500179625004,0,20
5,2022-05-05,HINDALCO,Sell,11,461.60001,12.694000275,5077.60011,9475.156089350003,20,9
6,2022-05-06,HINDALCO,Buy,12,443.75,13.3125,5325.0,9469.193799350003,9,21
7,2022-05-17,HINDALCO,Sell,21,428.39999,22.490999475,8996.39979,9117.002379875004,21,0
8,2022-06-16,HINDALCO,Buy,27,336.10001,22.686750675,9074.70027,9029.515629200007,0,27
9,2022-06-21,HINDALCO,Sell,27,339.25,22.899375,9159.75,9156.465984200007,27,0
10,2022-06-22,HINDALCO,Buy,28,316.45001,22.151500700000003,8860.60028,9166.514483500006,0,28
11,2022-06-24,HINDALCO,Sell,19,322.29999,15.309249525,6123.69981,9351.654853975007,28,9
12,2022-06-27,HINDALCO,Sell,9,329.95001,7.423875225000001,2969.55009,9344.230978750009,9,0
13,2022-09-26,HINDALCO,Buy,19,373.39999,17.736499525,7094.59981,9330.29485922501,0,19
14,2022-09-27,HINDALCO,Buy,5,373.60001,4.6700001250000005,1868.00005,9017.224619100009,19,24
15,2022-09-29,HINDALCO,Sell,24,371.20001,22.272000600000002,8908.80024,9245.75285850001,24,0
