trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-07-19,SBIN,Buy,23,427.89999,24.604249425,9841.69977,9814.395750575,0,23
2,2021-09-29,SBIN,Sell,6,460.0,6.9,2760.0,10587.795980575002,23,17
3,2021-09-30,SBIN,Buy,6,453.0,6.795,2718.0,10549.950750575,17,23
4,2021-12-10,SBIN,Sell,23,494.70001,28.445250575,11378.10023,11511.655960000002,23,0
5,2021-12-13,SBIN,Buy,23,487.79999,28.048499425,11219.39977,11500.857460575002,0,23
6,2022-01-03,SBIN,Sell,13,470.79999,15.300999674999998,6120.399869999999,11204.3065609,23,10
7,2022-01-04,SBIN,Sell,10,483.5,12.0875,4835.0,11192.219060900003,10,0
8,2022-01-07,SBIN,Buy,3,491.25,3.684375,1473.75,11225.734655900002,0,3
9,2022-01-10,SBIN,Buy,9,503.64999,11.332124775,4532.84991,11242.002771125002,3,12
10,2022-01-11,SBIN,Buy,10,505.95001,12.64875025,5059.5001,11323.953800875002,12,22
11,2022-03-14,SBIN,Sell,22,485.14999,26.683249449999998,10673.29978,10745.070331425002,22,0
12,2022-03-30,SBIN,Buy,15,494.29999,18.536249625,7414.49985,10715.284081800002,0,15
13,2022-03-31,SBIN,Buy,6,493.54999,7.40324985,2961.29994,11015.531251950004,15,21
14,2022-04-01,SBIN,Sell,21,508.20001,26.680500525000003,10672.20021,10988.850751425005,21,0
15,2022-04-04,SBIN,Buy,16,512.40002,20.4960008,8198.40032,10920.354270625005,0,16
16,2022-04-05,SBIN,Buy,5,509.39999,6.367499875,2546.99995,11009.537190750005,16,21
17,2022-05-26,SBIN,Sell,21,468.89999,24.617249474999998,9846.89979,10038.869521275006,21,0
18,2022-06-09,SBIN,Buy,9,466.95001,10.506375225000001,4202.550090000001,9982.463146050006,0,9
19,2022-06-10,SBIN,Buy,12,461.85001,13.8555003,5542.2001199999995,9632.607645750006,9,21
20,2022-06-28,SBIN,Sell,4,464.25,4.6425,1857.0,9926.815105750007,21,17
21,2022-06-29,SBIN,Buy,4,459.10001,4.5910001000000005,1836.40004,10065.023685650005,17,21
22,2022-06-30,SBIN,Sell,2,465.89999,2.32949995,931.79998,10080.744565700006,21,19
23,2022-07-01,SBIN,Buy,2,466.85001,2.33425005,933.70002,10217.010315650008,19,21
24,2022-10-17,SBIN,Sell,15,543.65002,20.38687575,8154.750300000001,11783.62358990001,21,6
25,2022-10-18,SBIN,Sell,6,562.45001,8.43675015,3374.70006,11775.18683975001,6,0
26,2022-10-27,SBIN,Buy,20,579.65002,28.982501000000003,11593.0004,11568.20393875001,0,20
27,2023-02-09,SBIN,Sell,10,550.79999,13.76999975,5507.9999,11177.933739000011,20,10
28,2023-02-10,SBIN,Sell,10,553.04999,13.82624975,5530.4999,11164.107489250011,10,0
29,2023-02-21,SBIN,Buy,7,523.45001,9.160375175,3664.15007,11105.246904075011,0,7
30,2023-02-22,SBIN,Buy,14,516.34998,18.0722493,7228.899719999999,11184.825074775012,7,21
31,2023-02-23,SBIN,Sell,1,521.0,1.3025,521.0,11184.522374775011,21,20
