account_value,date
10000.0,2021-02-04
9926.861375,2021-02-05
10147.011375000002,2021-02-08
10161.011375000002,2021-02-09
10097.661375000001,2021-02-10
10070.711375000003,2021-02-11
10190.761375000002,2021-02-12
10189.711375000003,2021-02-15
10054.961375000003,2021-02-16
9991.261375000002,2021-02-17
10069.311375000001,2021-02-18
10061.261375000002,2021-02-19
9878.561375000001,2021-02-22
9886.611375,2021-02-23
9942.261375000002,2021-02-24
9944.011375000002,2021-02-25
9795.261375000002,2021-02-26
9891.161375000001,2021-03-01
10153.661375000001,2021-03-02
10427.011375000002,2021-03-03
10334.611375,2021-03-04
10239.061375000001,2021-03-05
10372.411375000001,2021-03-08
10441.011375000002,2021-03-09
10599.211375000003,2021-03-10
10575.268750000003,2021-03-12
10575.268750000003,2021-03-15
10575.268750000003,2021-03-16
10575.268750000003,2021-03-17
10575.268750000003,2021-03-18
10575.268750000003,2021-03-19
10575.268750000003,2021-03-22
10575.268750000003,2021-03-23
10575.268750000003,2021-03-24
10575.268750000003,2021-03-25
10575.268750000003,2021-03-26
10575.268750000003,2021-03-30
10575.268750000003,2021-03-31
10575.268750000003,2021-04-01
10575.268750000003,2021-04-05
10575.268750000003,2021-04-06
10575.268750000003,2021-04-07
10575.268750000003,2021-04-08
10575.268750000003,2021-04-09
10575.268750000003,2021-04-12
10575.268750000003,2021-04-13
10575.268750000003,2021-04-15
10575.268750000003,2021-04-16
10575.268750000003,2021-04-19
10575.268750000003,2021-04-20
10575.268750000003,2021-04-22
10430.524500000005,2021-04-23
10498.774500000005,2021-04-26
10533.424500000005,2021-04-27
10585.924500000005,2021-04-28
10588.374500000004,2021-04-29
10574.374500000004,2021-04-30
10558.274500000005,2021-05-03
10399.724500000006,2021-05-04
10484.424500000005,2021-05-05
10625.124500000004,2021-05-06
10561.774500000005,2021-05-07
10470.774500000005,2021-05-10
10408.474500000006,2021-05-11
10382.924500000005,2021-05-12
10308.724500000006,2021-05-14
10399.724500000006,2021-05-17
10473.924500000005,2021-05-18
10452.924500000005,2021-05-19
10469.024500000005,2021-05-20
10575.424500000005,2021-05-21
10530.274500000005,2021-05-24
10625.124500000004,2021-05-25
10874.674500000005,2021-05-26
10909.674500000005,2021-05-27
10929.274500000005,2021-05-28
10850.174500000005,2021-05-31
10804.324500000004,2021-06-01
10780.048500000004,2021-06-02
10780.048500000004,2021-06-03
10780.048500000004,2021-06-04
10780.048500000004,2021-06-07
10780.048500000004,2021-06-08
10780.048500000004,2021-06-09
10780.048500000004,2021-06-10
10780.048500000004,2021-06-11
10780.048500000004,2021-06-14
10780.048500000004,2021-06-15
10780.048500000004,2021-06-16
10780.048500000004,2021-06-17
10780.048500000004,2021-06-18
10780.048500000004,2021-06-21
10780.048500000004,2021-06-22
10780.048500000004,2021-06-23
10780.048500000004,2021-06-24
10780.048500000004,2021-06-25
10780.048500000004,2021-06-28
10780.048500000004,2021-06-29
10780.048500000004,2021-06-30
10780.048500000004,2021-07-01
10780.048500000004,2021-07-02
10780.048500000004,2021-07-05
10780.048500000004,2021-07-06
10780.048500000004,2021-07-07
10780.048500000004,2021-07-08
10780.048500000004,2021-07-09
10780.048500000004,2021-07-12
10780.048500000004,2021-07-13
10780.048500000004,2021-07-14
10780.048500000004,2021-07-15
10780.048500000004,2021-07-16
10780.048500000004,2021-07-19
