account_value,date
10000.0,2021-01-05
10066.962610000002,2021-01-06
10129.9511203,2021-01-07
10201.3506103,2021-01-08
11348.8506103,2021-01-11
12223.501120300003,2021-01-12
12468.3016303,2021-01-13
12595.8016303,2021-01-14
13371.000610300001,2021-01-15
12639.151120300001,2021-01-18
13286.8506103,2021-01-19
14115.6006103,2021-01-20
14916.3016303,2021-01-21
14852.5516303,2021-01-22
14332.3506103,2021-01-25
13738.2011203,2021-01-27
13702.500610300001,2021-01-28
13493.401630300003,2021-01-29
14355.3016303,2021-02-01
16517.7011203,2021-02-02
16976.7011203,2021-02-03
16729.3506103,2021-02-04
16206.6006103,2021-02-05
17229.151630300003,2021-02-08
16673.250610299998,2021-02-09
16869.6006103,2021-02-10
16670.7011203,2021-02-11
16691.1006103,2021-02-12
17096.5516303,2021-02-15
16884.901630300003,2021-02-16
16933.3506103,2021-02-17
16612.0516303,2021-02-18
16000.0516303,2021-02-19
15625.2011203,2021-02-22
16619.7011203,2021-02-23
16507.500610299998,2021-02-24
17086.3506103,2021-02-25
16566.151630300003,2021-02-26
16839.000610299998,2021-03-01
17728.9511203,2021-03-02
17869.2011203,2021-03-03
17394.901630300003,2021-03-04
16678.3506103,2021-03-05
16479.4511203,2021-03-08
16170.901630300003,2021-03-09
16489.651630300003,2021-03-10
16290.750610300001,2021-03-12
16341.750610300001,2021-03-15
16413.151630300003,2021-03-16
15691.500610300001,2021-03-17
15752.7011203,2021-03-18
15852.151630300003,2021-03-19
15551.250610300001,2021-03-22
15773.1006103,2021-03-23
15112.651630300003,2021-03-24
14658.750610300001,2021-03-25
15212.1006103,2021-03-26
15245.250610300001,2021-03-30
15487.500610300001,2021-03-31
15790.9511203,2021-04-01
15653.250610300001,2021-04-05
15790.9511203,2021-04-06
15793.500610300001,2021-04-07
16107.151630300003,2021-04-08
16323.901630300003,2021-04-09
14709.750610300001,2021-04-12
15541.0516303,2021-04-13
15574.2011203,2021-04-15
15905.7011203,2021-04-16
15467.1006103,2021-04-19
15296.250610300001,2021-04-20
15117.750610300001,2021-04-22
15089.7011203,2021-04-23
15161.1006103,2021-04-26
15472.2011203,2021-04-27
15696.6006103,2021-04-28
15492.6006103,2021-04-29
15082.0516303,2021-04-30
15038.7011203,2021-05-03
14857.651630300003,2021-05-04
14962.2011203,2021-05-05
15459.4511203,2021-05-06
15535.9511203,2021-05-07
16153.0516303,2021-05-10
16188.750610300001,2021-05-11
16721.7011203,2021-05-12
16020.4511203,2021-05-14
16471.8016303,2021-05-17
17050.651630300003,2021-05-18
16132.651630300003,2021-05-19
15788.401630300003,2021-05-20
16063.8016303,2021-05-21
16000.0516303,2021-05-24
16173.4511203,2021-05-25
16186.2011203,2021-05-26
16344.3016303,2021-05-27
16351.9511203,2021-05-28
16351.9511203,2021-05-31
16318.8016303,2021-06-01
16568.7011203,2021-06-02
16703.8506103,2021-06-03
17178.151630300003,2021-06-04
17716.2011203,2021-06-07
18085.9511203,2021-06-08
17606.5516303,2021-06-09
17677.9511203,2021-06-10
17983.9511203,2021-06-11
18249.151630300003,2021-06-14
18083.401630300003,2021-06-15
17912.5516303,2021-06-16
17723.8506103,2021-06-17
17303.1006103,2021-06-18
17145.000610299998,2021-06-21
17328.6006103,2021-06-22
17193.4511203,2021-06-23
17162.8506103,2021-06-24
17417.8506103,2021-06-25
17578.500610299998,2021-06-28
17514.750610299998,2021-06-29
17415.3016303,2021-06-30
17652.4511203,2021-07-01
17685.6006103,2021-07-02
17746.8016303,2021-07-05
16257.6006103,2021-07-06
16267.8016303,2021-07-07
15719.5516303,2021-07-08
15717.000610300001,2021-07-09
15775.651630300003,2021-07-12
15954.151630300003,2021-07-13
15882.750610300001,2021-07-14
15918.4511203,2021-07-15
15969.4511203,2021-07-16
15847.0516303,2021-07-19
15505.3506103,2021-07-20
15525.750610300001,2021-07-22
15168.750610300001,2021-07-23
15046.3506103,2021-07-26
14957.1006103,2021-07-27
14602.651630300003,2021-07-28
15033.6006103,2021-07-29
15087.151630300003,2021-07-30
15235.0516303,2021-08-02
15584.401630300003,2021-08-03
15301.3506103,2021-08-04
15380.401630300003,2021-08-05
