trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2021-01-05,TATAMOTORS,Buy,39,193.2,18.837,7534.799999999999,10066.962610000002,0,39
2,2021-01-06,TATAMOTORS,Buy,12,195.39999,5.8619997,2344.79988,10129.9511203,39,51
3,2023-04-24,TATAMOTORS,Sell,10,475.20001,11.88000025,4752.0001,24251.37081005,51,41
4,2023-04-25,TATAMOTORS,Sell,38,473.54999,44.98724905,17994.89962,24220.333621000005,41,3
5,2023-04-26,TATAMOTORS,Sell,3,478.20001,3.586500075,1434.60003,24216.747120925003,3,0
6,2023-08-04,TATAMOTORS,Buy,21,615.0,32.2875,12915.0,24068.959620925005,0,21
7,2023-08-07,TATAMOTORS,Buy,18,609.5,27.427500000000002,10971.0,23955.731730925007,21,39
8,2023-12-05,TATAMOTORS,Sell,2,708.95001,3.54475005,1417.90002,28416.037760875006,39,37
9,2023-12-06,TATAMOTORS,Sell,22,722.45001,39.73475055,15893.90022,28368.803010325006,37,15
10,2023-12-07,TATAMOTORS,Sell,14,721.95001,25.26825035,10107.30014,28336.134739975005,15,1
11,2023-12-08,TATAMOTORS,Sell,1,714.54999,1.786374975,714.54999,28334.348365000005,1,0
12,2024-03-14,TATAMOTORS,Buy,26,967.75,62.90375,25161.5,27702.044095000005,0,26
13,2024-03-15,TATAMOTORS,Buy,3,945.84998,7.09387485,2837.54994,28466.35109015001,26,29
