account_value,date
10000.0,2022-05-26
10078.847875000003,2022-05-27
10420.697875000002,2022-05-30
10395.383500000002,2022-05-31
10395.383500000002,2022-06-01
10395.383500000002,2022-06-02
10395.383500000002,2022-06-03
10395.383500000002,2022-06-06
10395.383500000002,2022-06-07
10395.383500000002,2022-06-08
10395.383500000002,2022-06-09
10395.383500000002,2022-06-10
10395.383500000002,2022-06-13
10344.086199250003,2022-06-14
10331.336199250003,2022-06-15
10138.436199250002,2022-06-16
9979.13589925,2022-06-17
10049.63589925,2022-06-20
10348.28619925,2022-06-21
10381.28619925,2022-06-22
10638.836199250003,2022-06-23
10614.020199250004,2022-06-24
10614.020199250004,2022-06-27
10614.020199250004,2022-06-28
10614.020199250004,2022-06-29
10614.020199250004,2022-06-30
10614.020199250004,2022-07-01
10614.020199250004,2022-07-04
10614.020199250004,2022-07-05
10614.020199250004,2022-07-06
10614.020199250004,2022-07-07
10614.020199250004,2022-07-08
10614.020199250004,2022-07-11
10503.366699250002,2022-07-12
10365.516699250004,2022-07-13
10245.516699250004,2022-07-14
10233.066999250004,2022-07-15
10439.766699250004,2022-07-18
10472.016699250004,2022-07-19
10743.666699250005,2022-07-20
10781.166699250005,2022-07-21
10762.266699250004,2022-07-22
10738.484199250004,2022-07-25
10738.484199250004,2022-07-26
10738.484199250004,2022-07-27
10738.484199250004,2022-07-28
10738.484199250004,2022-07-29
10738.484199250004,2022-08-01
10738.484199250004,2022-08-02
10738.484199250004,2022-08-03
10738.484199250004,2022-08-04
10738.484199250004,2022-08-05
10738.484199250004,2022-08-08
10738.484199250004,2022-08-10
10738.484199250004,2022-08-11
10738.484199250004,2022-08-12
10738.484199250004,2022-08-16
10738.484199250004,2022-08-17
10738.484199250004,2022-08-18
10738.484199250004,2022-08-19
10738.484199250004,2022-08-22
10738.484199250004,2022-08-23
10738.484199250004,2022-08-24
10602.618773500002,2022-08-25
10614.618773500002,2022-08-26
10345.668773500005,2022-08-29
10581.468473500003,2022-08-30
10343.118773500002,2022-09-01
