trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2022-05-26,TCS,Buy,3,3226.95,24.202124999999995,9680.849999999999,10078.847875000003,0,3
2,2022-05-30,TCS,Sell,3,3375.25,25.314375000000002,10125.75,10395.383500000002,3,0
3,2022-06-13,TCS,Buy,3,3219.6001,24.147000750000004,9658.8003,10344.086199250003,0,3
4,2022-06-23,TCS,Sell,3,3308.8,24.816000000000003,9926.400000000001,10614.020199250004,3,0
5,2022-07-11,TCS,Buy,3,3113.8,23.353500000000004,9341.400000000001,10503.366699250002,0,3
6,2022-07-22,TCS,Sell,3,3171.0,23.7825,9513.0,10738.484199250004,3,0
7,2022-08-24,TCS,Buy,3,3255.3501,24.41512575,9766.0503,10602.618773500002,0,3
8,2022-09-09,TCS,Sell,3,3217.6499,24.132374249999998,9652.9497,10576.836099250004,3,0
9,2022-09-14,TCS,Buy,3,3120.3999,23.402999249999997,9361.1997,10505.283700000005,0,3
10,2022-10-04,TCS,Sell,3,3091.1499,23.183624249999998,9273.4497,10442.499475750004,3,0
11,2022-12-09,TCS,Buy,3,3292.75,24.695625,9878.25,10398.903850750003,0,3
12,2022-12-14,TCS,Sell,3,3365.3501,25.240125750000004,10096.0503,10610.364025000006,3,0
13,2022-12-15,TCS,Buy,3,3305.1001,24.788250750000003,9915.3003,10391.025474250006,0,3
14,2023-01-03,TCS,Sell,3,3311.3501,24.835125750000003,9934.0503,10579.490648500007,3,0
15,2023-01-06,TCS,Buy,3,3211.55,24.086625000000005,9634.650000000001,10880.604023500004,0,3
16,2023-01-09,TCS,Sell,3,3319.95,24.899624999999997,9959.849999999999,10855.704398500004,3,0
17,2023-02-21,TCS,Buy,3,3451.0,25.8825,10353.0,10681.471898500005,0,3
18,2023-03-31,TCS,Sell,3,3205.8999,24.04424925,9617.6997,10070.477349250004,3,0
19,2023-04-17,TCS,Buy,3,3139.5,23.54625,9418.5,10020.681099250005,0,3
20,2023-04-24,TCS,Sell,1,3174.8,7.937,3174.8,10147.294099250004,3,2
21,2023-04-25,TCS,Buy,1,3176.0,7.94,3176.0,10205.803799250005,2,3
